air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
8,0,27,0,1.9,65.5,151,2025-11-14T21:15:00Z,PT15M
8,0,20,0,1.9,65.7,152,2025-11-14T21:30:00Z,PT15M
8,0,12,1.2,1.9,65.9,153,2025-11-14T21:45:00Z,PT15M
8,0,4,8.3,1.9,66.2,153,2025-11-14T22:00:00Z,PT15M
8,0,-4,16.3,1.9,66.4,153,2025-11-14T22:15:00Z,PT15M
8,0,-11,24.6,1.9,66.6,153,2025-11-14T22:30:00Z,PT15M
8,0,-19,31.3,1.8,66.8,152,2025-11-14T22:45:00Z,PT15M
8,0,-26,36.5,1.8,67.1,151,2025-11-14T23:00:00Z,PT15M
8,0,-33,40.7,1.8,67.3,150,2025-11-14T23:15:00Z,PT15M
7,0,-39,43.7,1.8,67.5,148,2025-11-14T23:30:00Z,PT15M
7,0,-45,46.8,1.8,67.7,146,2025-11-14T23:45:00Z,PT15M
7,0,-50,49.4,1.8,68,145,2025-11-15,PT15M
7,0,-55,51.6,1.8,68.3,142,2025-11-15T00:15:00Z,PT15M
7,0,-59,53.3,1.8,68.6,140,2025-11-15T00:30:00Z,PT15M
7,0,-64,54.8,1.9,69,138,2025-11-15T00:45:00Z,PT15M
7,0,-67,55.6,1.9,69.3,135,2025-11-15T01:00:00Z,PT15M
7,0,-71,56.1,1.9,69.6,133,2025-11-15T01:15:00Z,PT15M
7,0,-74,56.7,1.9,69.7,130,2025-11-15T01:30:00Z,PT15M
7,0,-77,57.3,1.9,69.8,128,2025-11-15T01:45:00Z,PT15M
7,0,-80,57.9,1.9,69.9,125,2025-11-15T02:00:00Z,PT15M
7,0,-83,58.3,1.9,70.1,123,2025-11-15T02:15:00Z,PT15M
7,0,-86,58.6,1.9,70.4,120,2025-11-15T02:30:00Z,PT15M
7,0,-89,58.9,1.9,70.6,117,2025-11-15T02:45:00Z,PT15M
7,0,-91,59.2,1.9,70.8,115,2025-11-15T03:00:00Z,PT15M
7,0,-94,59.5,1.9,71.1,112,2025-11-15T03:15:00Z,PT15M
7,0,-97,59.8,1.9,71.5,109,2025-11-15T03:30:00Z,PT15M
7,0,-99,60.1,2,71.9,107,2025-11-15T03:45:00Z,PT15M
7,0,-102,60.4,2,72.3,104,2025-11-15T04:00:00Z,PT15M
7,0,-104,60.7,2,72.6,101,2025-11-15T04:15:00Z,PT15M
7,0,-107,61,2,72.8,99,2025-11-15T04:30:00Z,PT15M
7,0,-109,61.2,2.1,73.1,96,2025-11-15T04:45:00Z,PT15M
7,0,-112,61.5,2.1,73.4,94,2025-11-15T05:00:00Z,PT15M
7,0,-114,61.8,2.1,73.4,91,2025-11-15T05:15:00Z,PT15M
7,2,-117,62.1,2.2,73.3,89,2025-11-15T05:30:00Z,PT15M
7,10,-120,62.4,2.3,73.2,87,2025-11-15T05:45:00Z,PT15M
7,20,-122,62.7,2.4,73.1,84,2025-11-15T06:00:00Z,PT15M
7,31,-125,63,2.5,72.4,82,2025-11-15T06:15:00Z,PT15M
8,45,-128,61.5,2.6,71,80,2025-11-15T06:30:00Z,PT15M
8,61,-131,59.8,2.7,69.7,78,2025-11-15T06:45:00Z,PT15M
8,78,-134,58.3,2.8,68.5,76,2025-11-15T07:00:00Z,PT15M
9,96,-137,56.9,2.9,66.7,74,2025-11-15T07:15:00Z,PT15M
9,113,-141,55.8,2.9,64.5,72,2025-11-15T07:30:00Z,PT15M
10,129,-144,54.7,2.9,62.4,71,2025-11-15T07:45:00Z,PT15M
10,145,-147,53.8,2.9,60.3,69,2025-11-15T08:00:00Z,PT15M
11,164,-151,51.9,2.9,58.5,68,2025-11-15T08:15:00Z,PT15M
11,185,-155,49.1,2.9,56.9,67,2025-11-15T08:30:00Z,PT15M
12,206,-158,46.4,3,55.3,66,2025-11-15T08:45:00Z,PT15M
12,226,-162,43.9,3,53.8,65,2025-11-15T09:00:00Z,PT15M
13,245,-166,41.2,3,52.6,64,2025-11-15T09:15:00Z,PT15M
13,265,-170,38,3.1,51.6,64,2025-11-15T09:30:00Z,PT15M
13,284,-174,34.8,3.1,50.7,63,2025-11-15T09:45:00Z,PT15M
13,300,-178,31.6,3.2,49.9,63,2025-11-15T10:00:00Z,PT15M
14,311,178,29.4,3.2,49.2,63,2025-11-15T10:15:00Z,PT15M
14,315,174,28.1,3.4,48.7,63,2025-11-15T10:30:00Z,PT15M
14,316,170,26.9,3.5,48.3,63,2025-11-15T10:45:00Z,PT15M
15,314,166,25.7,3.6,47.9,64,2025-11-15T11:00:00Z,PT15M
15,311,162,24.1,3.7,47.7,65,2025-11-15T11:15:00Z,PT15M
15,306,159,22.2,3.8,47.7,66,2025-11-15T11:30:00Z,PT15M
15,298,155,20.5,3.9,47.7,67,2025-11-15T11:45:00Z,PT15M
15,287,151,18.7,4,47.8,68,2025-11-15T12:00:00Z,PT15M
15,270,148,17.5,4.2,48.2,69,2025-11-15T12:15:00Z,PT15M
15,248,144,17.1,4.4,48.9,71,2025-11-15T12:30:00Z,PT15M
15,225,141,16.7,4.5,49.7,72,2025-11-15T12:45:00Z,PT15M
15,199,138,16.3,4.7,50.4,74,2025-11-15T13:00:00Z,PT15M
15,172,135,16,4.9,51.6,76,2025-11-15T13:15:00Z,PT15M
14,142,132,15.9,5,53.2,78,2025-11-15T13:30:00Z,PT15M
14,113,129,15.5,5.2,54.8,80,2025-11-15T13:45:00Z,PT15M
14,84,126,15,5.3,56.4,82,2025-11-15T14:00:00Z,PT15M
14,55,123,14.4,5.4,58.3,84,2025-11-15T14:15:00Z,PT15M
13,29,120,14.4,5.5,60.3,87,2025-11-15T14:30:00Z,PT15M
13,8,117,14.4,5.5,62.4,89,2025-11-15T14:45:00Z,PT15M
12,0,115,14.4,5.6,64.6,91,2025-11-15T15:00:00Z,PT15M
12,0,112,14.4,5.6,66.2,94,2025-11-15T15:15:00Z,PT15M
12,0,110,14.4,5.7,67.1,96,2025-11-15T15:30:00Z,PT15M
11,0,107,14.4,5.7,68,99,2025-11-15T15:45:00Z,PT15M
11,0,105,14.4,5.8,68.9,101,2025-11-15T16:00:00Z,PT15M
11,0,102,14.6,5.8,69.7,104,2025-11-15T16:15:00Z,PT15M
11,0,100,15.1,5.8,70.2,106,2025-11-15T16:30:00Z,PT15M
11,0,97,15.5,5.8,70.8,109,2025-11-15T16:45:00Z,PT15M
11,0,94,15.9,5.8,71.4,112,2025-11-15T17:00:00Z,PT15M
11,0,92,16.1,5.8,71.9,114,2025-11-15T17:15:00Z,PT15M
11,0,89,16.1,5.8,72.3,117,2025-11-15T17:30:00Z,PT15M
11,0,87,16.1,5.7,72.6,120,2025-11-15T17:45:00Z,PT15M
10,0,84,16.1,5.7,73,122,2025-11-15T18:00:00Z,PT15M
10,0,81,16.1,5.7,73.3,125,2025-11-15T18:15:00Z,PT15M
10,0,78,16.1,5.7,73.7,128,2025-11-15T18:30:00Z,PT15M
10,0,75,16.1,5.6,74.1,130,2025-11-15T18:45:00Z,PT15M
10,0,71,16.1,5.6,74.4,133,2025-11-15T19:00:00Z,PT15M
10,0,68,16.1,5.6,74.7,135,2025-11-15T19:15:00Z,PT15M
10,0,64,16.1,5.6,75,138,2025-11-15T19:30:00Z,PT15M
10,0,60,16.1,5.5,75.2,140,2025-11-15T19:45:00Z,PT15M
10,0,56,16.1,5.5,75.5,142,2025-11-15T20:00:00Z,PT15M
10,0,51,17,5.5,75.5,145,2025-11-15T20:15:00Z,PT15M
10,0,46,18.7,5.4,75.4,146,2025-11-15T20:30:00Z,PT15M
10,0,40,20.3,5.3,75.3,148,2025-11-15T20:45:00Z,PT15M
9,0,34,22,5.2,75.1,150,2025-11-15T21:00:00Z,PT15M
9,0,27,23.6,5.2,75,151,2025-11-15T21:15:00Z,PT15M
9,0,20,25.3,5.1,74.8,152,2025-11-15T21:30:00Z,PT15M
9,0,12,26.9,5.1,74.7,153,2025-11-15T21:45:00Z,PT15M
9,0,4,28.5,5,74.6,153,2025-11-15T22:00:00Z,PT15M
9,0,-4,29.6,5,74.5,153,2025-11-15T22:15:00Z,PT15M
9,0,-11,30.4,5,74.5,153,2025-11-15T22:30:00Z,PT15M
9,0,-19,31.2,4.9,74.5,152,2025-11-15T22:45:00Z,PT15M
9,0,-26,32,4.9,74.5,151,2025-11-15T23:00:00Z,PT15M
9,0,-33,33.1,4.9,74.7,150,2025-11-15T23:15:00Z,PT15M
9,0,-39,34.6,4.9,75.1,149,2025-11-15T23:30:00Z,PT15M
9,0,-45,36.1,4.9,75.4,147,2025-11-15T23:45:00Z,PT15M
9,0,-50,37.6,4.9,75.8,145,2025-11-16,PT15M
9,0,-55,38.5,4.9,75.9,143,2025-11-16T00:15:00Z,PT15M
9,0,-60,38.9,4.8,75.6,140,2025-11-16T00:30:00Z,PT15M
9,0,-64,39.2,4.7,75.3,138,2025-11-16T00:45:00Z,PT15M
9,0,-68,39.6,4.6,75.1,136,2025-11-16T01:00:00Z,PT15M
9,0,-71,39.8,4.5,74.6,133,2025-11-16T01:15:00Z,PT15M
9,0,-74,39.8,4.3,73.9,131,2025-11-16T01:30:00Z,PT15M
9,0,-78,39.8,4,73.3,128,2025-11-16T01:45:00Z,PT15M
9,0,-81,39.8,3.8,72.6,125,2025-11-16T02:00:00Z,PT15M
8,0,-84,40.1,3.7,72.3,123,2025-11-16T02:15:00Z,PT15M
8,0,-86,40.8,3.6,72.5,120,2025-11-16T02:30:00Z,PT15M
8,0,-89,41.6,3.6,72.6,117,2025-11-16T02:45:00Z,PT15M
8,0,-92,42.3,3.5,72.7,115,2025-11-16T03:00:00Z,PT15M
8,0,-94,42.6,3.5,72.9,112,2025-11-16T03:15:00Z,PT15M
8,0,-97,42.6,3.5,73.1,110,2025-11-16T03:30:00Z,PT15M
8,0,-99,42.6,3.5,73.4,107,2025-11-16T03:45:00Z,PT15M
8,0,-102,42.6,3.5,73.6,104,2025-11-16T04:00:00Z,PT15M
8,0,-104,42.6,3.5,73.9,102,2025-11-16T04:15:00Z,PT15M
8,0,-107,42.6,3.5,74.1,99,2025-11-16T04:30:00Z,PT15M
8,0,-109,42.6,3.5,74.4,97,2025-11-16T04:45:00Z,PT15M
8,0,-112,42.6,3.5,74.6,94,2025-11-16T05:00:00Z,PT15M
8,0,-115,42.6,3.5,74.6,92,2025-11-16T05:15:00Z,PT15M
8,3,-117,42.6,3.5,74.4,89,2025-11-16T05:30:00Z,PT15M
8,15,-120,42.6,3.5,74.1,87,2025-11-16T05:45:00Z,PT15M
8,31,-123,42.6,3.5,73.9,85,2025-11-16T06:00:00Z,PT15M
8,49,-125,43.1,3.5,72.9,82,2025-11-16T06:15:00Z,PT15M
9,69,-128,42.4,3.5,71.2,80,2025-11-16T06:30:00Z,PT15M
9,91,-131,41.3,3.6,69.5,78,2025-11-16T06:45:00Z,PT15M
9,113,-134,40.2,3.6,67.9,76,2025-11-16T07:00:00Z,PT15M
10,134,-137,39.4,3.6,66.1,74,2025-11-16T07:15:00Z,PT15M
10,153,-141,39.6,3.6,64.3,73,2025-11-16T07:30:00Z,PT15M
10,171,-144,39.7,3.5,62.5,71,2025-11-16T07:45:00Z,PT15M
11,187,-147,39.9,3.5,60.7,70,2025-11-16T08:00:00Z,PT15M
11,204,-151,39.4,3.5,59.3,68,2025-11-16T08:15:00Z,PT15M
12,222,-155,38.2,3.5,58.1,67,2025-11-16T08:30:00Z,PT15M
12,238,-158,37,3.5,57,66,2025-11-16T08:45:00Z,PT15M
12,253,-162,36,3.5,55.9,65,2025-11-16T09:00:00Z,PT15M
12,266,-166,34.9,3.5,54.8,64,2025-11-16T09:15:00Z,PT15M
13,278,-170,33.5,3.5,53.8,64,2025-11-16T09:30:00Z,PT15M
13,288,-174,32.1,3.5,52.9,63,2025-11-16T09:45:00Z,PT15M
13,296,-178,30.8,3.5,51.9,63,2025-11-16T10:00:00Z,PT15M
13,298,178,30.2,3.5,51.1,63,2025-11-16T10:15:00Z,PT15M
14,295,174,30.5,3.5,50.5,63,2025-11-16T10:30:00Z,PT15M
14,289,170,30.9,3.5,49.8,64,2025-11-16T10:45:00Z,PT15M
14,280,166,31.2,3.5,49.2,64,2025-11-16T11:00:00Z,PT15M
14,273,163,30.7,3.5,48.7,65,2025-11-16T11:15:00Z,PT15M
14,266,159,29.6,3.5,48.4,66,2025-11-16T11:30:00Z,PT15M
14,256,155,28.5,3.5,48.1,67,2025-11-16T11:45:00Z,PT15M
14,243,151,27.4,3.5,47.8,68,2025-11-16T12:00:00Z,PT15M
15,225,148,27.6,3.5,47.6,69,2025-11-16T12:15:00Z,PT15M
15,200,144,29.2,3.6,47.6,71,2025-11-16T12:30:00Z,PT15M
15,175,141,30.8,3.6,47.6,73,2025-11-16T12:45:00Z,PT15M
