period_end,air_temp,azimuth,cloud_opacity,dewpoint_temp,ghi,period,relative_humidity,zenith
2025-10-03T10:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-10-03T11:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-10-03T12:00:00Z,10.0,-168.0,81.5,5.2,116.0,PT60M,73.3,49.0
2025-10-03T13:00:00Z,10.0,172.0,84.1,5.6,100.0,PT60M,76.9,49.0
2025-10-03T14:00:00Z,9.0,153.0,81.7,5.6,105.0,PT60M,77.9,52.0
2025-10-03T15:00:00Z,10.0,136.0,81.7,6.1,87.0,PT60M,76.2,58.0
2025-10-03T16:00:00Z,10.0,122.0,81.5,7.1,62.0,PT60M,80.1,66.0
2025-10-03T17:00:00Z,10.0,110.0,85.1,7.9,27.0,PT60M,88.9,76.0
2025-10-03T18:00:00Z,10.0,99.0,89.5,8.6,4.0,PT60M,94.1,86.0
2025-10-03T19:00:00Z,10.0,88.0,88.5,9.2,0.0,PT60M,96.1,97.0
2025-10-03T20:00:00Z,10.0,77.0,87.6,9.5,0.0,PT60M,97.4,107.0
2025-10-03T21:00:00Z,10.0,65.0,86.7,9.6,0.0,PT60M,96.7,118.0
2025-10-03T22:00:00Z,10.0,51.0,86.4,9.6,0.0,PT60M,94.5,127.0
2025-10-03T23:00:00Z,11.0,34.0,86.1,9.4,0.0,PT60M,91.7,134.0
2025-10-04,11.0,13.0,85.4,9.3,0.0,PT60M,90.2,138.0
2025-10-04T01:00:00Z,11.0,-9.0,84.1,9.4,0.0,PT60M,91.7,138.0
2025-10-04T02:00:00Z,10.0,-31.0,82.6,9.2,0.0,PT60M,93.2,135.0
2025-10-04T03:00:00Z,10.0,-49.0,81.9,9.0,0.0,PT60M,93.8,128.0
2025-10-04T04:00:00Z,10.0,-63.0,81.5,9.0,0.0,PT60M,94.1,119.0
2025-10-04T05:00:00Z,10.0,-75.0,81.5,8.9,0.0,PT60M,93.5,109.0
2025-10-04T06:00:00Z,10.0,-87.0,81.5,8.6,0.0,PT60M,92.9,99.0
2025-10-04T07:00:00Z,9.0,-97.0,81.1,8.2,4.0,PT60M,92.2,88.0
2025-10-04T08:00:00Z,9.0,-108.0,79.1,7.8,34.0,PT60M,90.7,78.0
2025-10-04T09:00:00Z,9.0,-120.0,76.3,7.6,78.0,PT60M,88.8,68.0
2025-10-04T10:00:00Z,10.0,-134.0,74.8,7.4,119.0,PT60M,87.0,60.0
2025-10-04T11:00:00Z,10.0,-150.0,76.9,7.4,134.0,PT60M,86.5,53.0
