air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
28,644,127,9.6,9.8,32.2,43,2026-08-19T12:45:00Z,PT15M
28,626,123,8.3,9.6,31.2,45,2026-08-19T13:00:00Z,PT15M
29,494,119,24.1,9.4,30.5,47,2026-08-19T13:15:00Z,PT15M
29,474,115,23,9.3,30,50,2026-08-19T13:30:00Z,PT15M
29,453,112,21.7,9.2,29.5,52,2026-08-19T13:45:00Z,PT15M
29,397,108,26.5,9.1,29.1,55,2026-08-19T14:00:00Z,PT15M
29,379,105,24.1,8.9,28.8,57,2026-08-19T14:15:00Z,PT15M
29,381,102,16.6,8.8,28.6,60,2026-08-19T14:30:00Z,PT15M
29,359,99,13.2,8.7,28.4,62,2026-08-19T14:45:00Z,PT15M
29,327,96,11.6,8.6,28.3,65,2026-08-19T15:00:00Z,PT15M
29,294,94,9.5,8.6,28.6,68,2026-08-19T15:15:00Z,PT15M
28,258,91,7.8,8.8,29.3,70,2026-08-19T15:30:00Z,PT15M
28,219,88,6.8,9,30,73,2026-08-19T15:45:00Z,PT15M
28,179,86,5.8,9.2,30.8,76,2026-08-19T16:00:00Z,PT15M
27,141,83,4.4,9.3,32,78,2026-08-19T16:15:00Z,PT15M
27,102,81,4,9.3,33.7,81,2026-08-19T16:30:00Z,PT15M
26,66,78,4.2,9.2,35.4,83,2026-08-19T16:45:00Z,PT15M
25,34,75,4.2,9.2,37.3,86,2026-08-19T17:00:00Z,PT15M
24,10,73,4,9.2,38.9,89,2026-08-19T17:15:00Z,PT15M
24,0,70,3.5,9.2,40.1,91,2026-08-19T17:30:00Z,PT15M
23,0,67,3.1,9.1,41.3,94,2026-08-19T17:45:00Z,PT15M
23,0,65,2.7,9.1,42.6,96,2026-08-19T18:00:00Z,PT15M
22,0,62,2.4,9.1,43.6,98,2026-08-19T18:15:00Z,PT15M
22,0,59,2.4,9.2,44.5,101,2026-08-19T18:30:00Z,PT15M
22,0,56,2.4,9.2,45.4,103,2026-08-19T18:45:00Z,PT15M
21,0,53,2.4,9.3,46.4,105,2026-08-19T19:00:00Z,PT15M
21,0,50,2.4,9.3,47.2,107,2026-08-19T19:15:00Z,PT15M
21,0,47,2.4,9.4,48,109,2026-08-19T19:30:00Z,PT15M
