air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
12,196,119,0,1.2,47.3,76,2025-10-16T14:15:00Z,PT15M
12,156,116,0,1.3,49.5,78,2025-10-16T14:30:00Z,PT15M
11,93,113,21.3,1.5,51.7,81,2025-10-16T14:45:00Z,PT15M
11,37,110,50.5,1.6,54,83,2025-10-16T15:00:00Z,PT15M
10,37,107,17.7,1.6,55.8,86,2025-10-16T15:15:00Z,PT15M
10,14,105,14.7,1.4,57,88,2025-10-16T15:30:00Z,PT15M
9,0,102,15.8,1.2,58.2,91,2025-10-16T15:45:00Z,PT15M
9,0,99,15.2,1,59.4,93,2025-10-16T16:00:00Z,PT15M
8,0,96,13.6,0.9,60.3,96,2025-10-16T16:15:00Z,PT15M
8,0,94,23.1,0.8,60.8,98,2025-10-16T16:30:00Z,PT15M
8,0,91,20.4,0.8,61.3,101,2025-10-16T16:45:00Z,PT15M
8,0,88,16.4,0.7,61.8,103,2025-10-16T17:00:00Z,PT15M
7,0,85,12.8,0.7,62.3,106,2025-10-16T17:15:00Z,PT15M
7,0,83,10.2,0.7,62.7,108,2025-10-16T17:30:00Z,PT15M
7,0,80,8.3,0.6,63.1,111,2025-10-16T17:45:00Z,PT15M
7,0,77,7.3,0.6,63.5,113,2025-10-16T18:00:00Z,PT15M
7,0,74,7.3,0.6,64,116,2025-10-16T18:15:00Z,PT15M
7,0,71,7.3,0.6,64.4,118,2025-10-16T18:30:00Z,PT15M
7,0,67,7.3,0.6,64.9,121,2025-10-16T18:45:00Z,PT15M
7,0,64,7.3,0.6,65.3,123,2025-10-16T19:00:00Z,PT15M
7,0,60,7.3,0.6,65.7,125,2025-10-16T19:15:00Z,PT15M
6,0,57,7.3,0.6,66,128,2025-10-16T19:30:00Z,PT15M
6,0,53,7.3,0.5,66.4,130,2025-10-16T19:45:00Z,PT15M
6,0,49,7.3,0.5,66.7,132,2025-10-16T20:00:00Z,PT15M
6,0,44,7.3,0.5,67.1,133,2025-10-16T20:15:00Z,PT15M
