period_end,air_temp,azimuth,cloud_opacity,dewpoint_temp,ghi,period,relative_humidity,zenith
2025-11-30T13:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-11-30T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-11-30T15:00:00Z,6.0,147.0,86.3,5.6,26.0,PT60M,96.3,75.0
2025-11-30T16:00:00Z,6.0,135.0,84.8,5.4,13.0,PT60M,96.6,81.0
2025-11-30T17:00:00Z,6.0,123.0,76.2,5.2,2.0,PT60M,96.9,89.0
2025-11-30T18:00:00Z,5.0,113.0,74.2,5.0,0.0,PT60M,96.9,98.0
2025-11-30T19:00:00Z,5.0,102.0,70.5,4.8,0.0,PT60M,96.6,108.0
2025-11-30T20:00:00Z,5.0,92.0,70.2,4.4,0.0,PT60M,96.2,118.0
2025-11-30T21:00:00Z,5.0,80.0,69.7,4.1,0.0,PT60M,95.2,128.0
2025-11-30T22:00:00Z,5.0,67.0,69.2,3.8,0.0,PT60M,94.5,138.0
2025-11-30T23:00:00Z,4.0,48.0,69.2,3.4,0.0,PT60M,94.5,147.0
2025-12-01,4.0,23.0,69.7,3.2,0.0,PT60M,94.2,153.0
2025-12-01T01:00:00Z,4.0,-8.0,71.1,3.1,0.0,PT60M,93.9,154.0
2025-12-01T02:00:00Z,4.0,-37.0,72.1,3.0,0.0,PT60M,93.8,150.0
2025-12-01T03:00:00Z,4.0,-59.0,72.1,2.9,0.0,PT60M,93.8,143.0
2025-12-01T04:00:00Z,4.0,-74.0,72.1,2.9,0.0,PT60M,94.2,133.0
2025-12-01T05:00:00Z,4.0,-87.0,72.1,2.8,0.0,PT60M,94.2,123.0
2025-12-01T06:00:00Z,4.0,-97.0,72.1,2.8,0.0,PT60M,93.5,113.0
2025-12-01T07:00:00Z,4.0,-108.0,72.1,2.7,0.0,PT60M,93.5,103.0
2025-12-01T08:00:00Z,4.0,-118.0,72.1,2.7,0.0,PT60M,93.5,94.0
2025-12-01T09:00:00Z,4.0,-129.0,72.9,2.7,11.0,PT60M,93.2,85.0
2025-12-01T10:00:00Z,4.0,-141.0,72.0,2.8,36.0,PT60M,92.9,78.0
2025-12-01T11:00:00Z,4.0,-155.0,72.4,2.8,60.0,PT60M,92.2,73.0
2025-12-01T12:00:00Z,4.0,-169.0,71.5,2.8,78.0,PT60M,91.6,69.0
2025-12-01T13:00:00Z,4.0,176.0,72.5,2.8,80.0,PT60M,91.2,69.0
2025-12-01T14:00:00Z,4.0,161.0,74.9,2.8,65.0,PT60M,90.9,71.0
2025-12-01T15:00:00Z,4.0,148.0,75.7,2.8,45.0,PT60M,90.6,75.0
2025-12-01T16:00:00Z,4.0,135.0,76.6,2.8,20.0,PT60M,90.9,82.0
2025-12-01T17:00:00Z,4.0,123.0,55.0,2.9,3.0,PT60M,91.6,89.0
2025-12-01T18:00:00Z,4.0,113.0,33.9,3.0,0.0,PT60M,92.2,98.0
2025-12-01T19:00:00Z,4.0,103.0,33.9,3.0,0.0,PT60M,92.5,108.0
2025-12-01T20:00:00Z,4.0,92.0,34.6,3.0,0.0,PT60M,92.5,118.0
2025-12-01T21:00:00Z,4.0,81.0,35.4,3.1,0.0,PT60M,92.5,129.0
2025-12-01T22:00:00Z,4.0,67.0,33.9,3.1,0.0,PT60M,92.5,138.0
2025-12-01T23:00:00Z,4.0,49.0,33.1,3.1,0.0,PT60M,92.5,147.0
2025-12-02,4.0,23.0,33.1,3.1,0.0,PT60M,92.2,153.0
2025-12-02T01:00:00Z,4.0,-8.0,33.1,3.1,0.0,PT60M,91.9,154.0
2025-12-02T02:00:00Z,4.0,-37.0,32.3,3.1,0.0,PT60M,91.6,150.0
2025-12-02T03:00:00Z,4.0,-59.0,30.8,3.1,0.0,PT60M,91.3,143.0
2025-12-02T04:00:00Z,4.0,-74.0,31.6,3.1,0.0,PT60M,91.3,133.0
2025-12-02T05:00:00Z,4.0,-87.0,31.6,3.2,0.0,PT60M,91.3,123.0
2025-12-02T06:00:00Z,5.0,-97.0,30.8,3.2,0.0,PT60M,91.3,113.0
2025-12-02T07:00:00Z,5.0,-108.0,30.8,3.2,0.0,PT60M,91.3,103.0
2025-12-02T08:00:00Z,4.0,-118.0,30.8,3.2,0.0,PT60M,91.9,94.0
2025-12-02T09:00:00Z,4.0,-129.0,44.3,3.2,26.0,PT60M,91.6,85.0
2025-12-02T10:00:00Z,5.0,-141.0,53.3,3.3,77.0,PT60M,89.1,78.0
2025-12-02T11:00:00Z,6.0,-155.0,50.3,3.4,130.0,PT60M,86.1,73.0
2025-12-02T12:00:00Z,6.0,-169.0,49.3,3.6,163.0,PT60M,83.1,70.0
2025-12-02T13:00:00Z,7.0,176.0,51.0,3.6,165.0,PT60M,80.6,69.0
2025-12-02T14:00:00Z,7.0,162.0,53.7,3.8,139.0,PT60M,78.7,71.0
2025-12-02T15:00:00Z,7.0,148.0,56.8,3.9,95.0,PT60M,78.2,75.0
2025-12-02T16:00:00Z,7.0,135.0,61.7,3.9,41.0,PT60M,80.9,82.0
2025-12-02T17:00:00Z,6.0,124.0,59.4,3.8,5.0,PT60M,86.1,90.0
2025-12-02T18:00:00Z,5.0,113.0,57.6,3.5,0.0,PT60M,89.7,99.0
2025-12-02T19:00:00Z,5.0,103.0,57.6,3.3,0.0,PT60M,91.3,108.0
2025-12-02T20:00:00Z,4.0,92.0,59.9,3.2,0.0,PT60M,91.9,118.0
2025-12-02T21:00:00Z,4.0,81.0,62.2,3.1,0.0,PT60M,91.9,129.0
2025-12-02T22:00:00Z,4.0,67.0,62.8,3.0,0.0,PT60M,92.2,138.0
2025-12-02T23:00:00Z,4.0,49.0,62.8,2.8,0.0,PT60M,92.5,147.0
2025-12-03,4.0,23.0,59.3,2.6,0.0,PT60M,92.5,153.0
2025-12-03T01:00:00Z,4.0,-8.0,48.0,2.4,0.0,PT60M,92.5,154.0
2025-12-03T02:00:00Z,3.0,-37.0,33.0,2.2,0.0,PT60M,92.5,151.0
2025-12-03T03:00:00Z,3.0,-59.0,25.3,2.0,0.0,PT60M,92.5,143.0
2025-12-03T04:00:00Z,3.0,-74.0,24.5,2.0,0.0,PT60M,92.2,134.0
2025-12-03T05:00:00Z,3.0,-87.0,23.6,1.8,0.0,PT60M,91.8,124.0
2025-12-03T06:00:00Z,3.0,-98.0,22.8,1.6,0.0,PT60M,91.8,113.0
2025-12-03T07:00:00Z,3.0,-108.0,22.8,1.2,0.0,PT60M,91.5,103.0
2025-12-03T08:00:00Z,2.0,-118.0,24.5,1.0,0.0,PT60M,91.1,94.0
2025-12-03T09:00:00Z,3.0,-129.0,26.0,1.1,35.0,PT60M,90.5,86.0
2025-12-03T10:00:00Z,4.0,-141.0,22.0,1.5,123.0,PT60M,85.9,78.0
2025-12-03T11:00:00Z,5.0,-155.0,16.8,1.7,213.0,PT60M,78.4,73.0
2025-12-03T12:00:00Z,6.0,-169.0,14.6,1.8,272.0,PT60M,72.4,70.0
2025-12-03T13:00:00Z,7.0,176.0,14.4,1.8,285.0,PT60M,68.1,69.0
2025-12-03T14:00:00Z,8.0,162.0,16.8,1.8,247.0,PT60M,65.8,71.0
2025-12-03T15:00:00Z,8.0,148.0,21.8,1.9,168.0,PT60M,67.2,75.0
2025-12-03T16:00:00Z,7.0,135.0,32.6,2.1,71.0,PT60M,71.7,82.0
2025-12-03T17:00:00Z,6.0,124.0,39.8,2.0,7.0,PT60M,76.3,90.0
