air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
7,275,-152,61,4.9,88.1,47,2026-03-29T09:15:00Z,PT15M
7,303,-157,58,5,89.1,46,2026-03-29T09:30:00Z,PT15M
7,321,-162,56.3,5.1,90,45,2026-03-29T09:45:00Z,PT15M
7,298,-168,60,5.2,90.9,44,2026-03-29T10:00:00Z,PT15M
7,285,-173,62.1,5.2,91.6,44,2026-03-29T10:15:00Z,PT15M
7,269,-178,64.3,5.4,92.1,43,2026-03-29T10:30:00Z,PT15M
7,261,176,65.4,5.4,92.6,43,2026-03-29T10:45:00Z,PT15M
7,250,171,66.5,5.6,93.1,44,2026-03-29T11:00:00Z,PT15M
7,236,165,68.1,5.7,93.5,44,2026-03-29T11:15:00Z,PT15M
7,220,160,69.8,5.8,93.8,45,2026-03-29T11:30:00Z,PT15M
7,210,155,70.6,5.9,94.1,46,2026-03-29T11:45:00Z,PT15M
7,201,150,71.1,6,94.5,47,2026-03-29T12:00:00Z,PT15M
7,189,145,71.9,6,94.6,49,2026-03-29T12:15:00Z,PT15M
7,174,141,73.1,6.1,94.6,50,2026-03-29T12:30:00Z,PT15M
7,159,137,74.4,6.1,94.6,52,2026-03-29T12:45:00Z,PT15M
7,147,133,75.2,6.2,94.6,54,2026-03-29T13:00:00Z,PT15M
7,136,129,75.7,6.2,94.8,56,2026-03-29T13:15:00Z,PT15M
7,124,125,76.2,6.3,95.1,58,2026-03-29T13:30:00Z,PT15M
7,113,121,76.8,6.3,95.5,60,2026-03-29T13:45:00Z,PT15M
7,101,118,77.4,6.4,95.8,62,2026-03-29T14:00:00Z,PT15M
7,90,115,77.7,6.4,96.1,64,2026-03-29T14:15:00Z,PT15M
7,79,112,78.1,6.4,96.5,67,2026-03-29T14:30:00Z,PT15M
7,68,108,78.8,6.5,96.8,69,2026-03-29T14:45:00Z,PT15M
7,56,105,79.5,6.5,97.1,72,2026-03-29T15:00:00Z,PT15M
7,47,103,79.5,6.5,97.4,74,2026-03-29T15:15:00Z,PT15M
7,36,100,80.3,6.5,97.5,77,2026-03-29T15:30:00Z,PT15M
7,26,97,81.9,6.6,97.7,79,2026-03-29T15:45:00Z,PT15M
7,16,94,83.6,6.6,97.9,82,2026-03-29T16:00:00Z,PT15M
7,10,91,82.8,6.6,97.9,85,2026-03-29T16:15:00Z,PT15M
7,5,89,81,6.6,97.7,87,2026-03-29T16:30:00Z,PT15M
7,1,86,79,6.5,97.5,90,2026-03-29T16:45:00Z,PT15M
7,0,83,76.9,6.5,97.4,92,2026-03-29T17:00:00Z,PT15M
7,0,81,75.7,6.5,97.3,95,2026-03-29T17:15:00Z,PT15M
7,0,78,75.5,6.5,97.3,97,2026-03-29T17:30:00Z,PT15M
7,0,75,75.2,6.5,97.3,100,2026-03-29T17:45:00Z,PT15M
7,0,72,75,6.5,97.3,102,2026-03-29T18:00:00Z,PT15M
7,0,69,74.7,6.5,97.5,105,2026-03-29T18:15:00Z,PT15M
7,0,66,74.2,6.5,97.8,107,2026-03-29T18:30:00Z,PT15M
7,0,63,73.8,6.6,98.1,110,2026-03-29T18:45:00Z,PT15M
7,0,60,73.3,6.6,98.5,112,2026-03-29T19:00:00Z,PT15M
7,0,57,72.9,6.6,98.6,114,2026-03-29T19:15:00Z,PT15M
7,0,53,72.7,6.6,98.4,116,2026-03-29T19:30:00Z,PT15M
7,0,50,72.5,6.6,98.2,118,2026-03-29T19:45:00Z,PT15M
7,0,46,72.2,6.6,98,120,2026-03-29T20:00:00Z,PT15M
7,0,42,72,6.6,97.8,122,2026-03-29T20:15:00Z,PT15M
7,0,38,71.8,6.6,97.5,124,2026-03-29T20:30:00Z,PT15M
7,0,34,71.5,6.5,97.1,125,2026-03-29T20:45:00Z,PT15M
7,0,30,71.3,6.5,96.8,127,2026-03-29T21:00:00Z,PT15M
7,0,25,70.9,6.5,96.6,128,2026-03-29T21:15:00Z,PT15M
7,0,21,70.4,6.5,96.6,129,2026-03-29T21:30:00Z,PT15M
7,0,16,69.9,6.5,96.6,130,2026-03-29T21:45:00Z,PT15M
7,0,11,69.4,6.5,96.6,130,2026-03-29T22:00:00Z,PT15M
7,0,6,68.9,6.5,96.5,131,2026-03-29T22:15:00Z,PT15M
7,0,1,68.4,6.5,96.4,131,2026-03-29T22:30:00Z,PT15M
7,0,-4,67.9,6.4,96.2,131,2026-03-29T22:45:00Z,PT15M
7,0,-8,67.4,6.4,96,130,2026-03-29T23:00:00Z,PT15M
7,0,-13,67,6.4,96,130,2026-03-29T23:15:00Z,PT15M
7,0,-18,66.7,6.4,96,129,2026-03-29T23:30:00Z,PT15M
7,0,-23,66.5,6.4,96,128,2026-03-29T23:45:00Z,PT15M
7,0,-27,66.2,6.4,96,127,2026-03-30,PT15M
7,0,-32,65.9,6.4,96,126,2026-03-30T00:15:00Z,PT15M
7,0,-36,65.7,6.4,96,124,2026-03-30T00:30:00Z,PT15M
7,0,-40,65.4,6.3,96,123,2026-03-30T00:45:00Z,PT15M
7,0,-44,65.1,6.3,96,121,2026-03-30T01:00:00Z,PT15M
7,0,-48,64.9,6.3,96,119,2026-03-30T01:15:00Z,PT15M
7,0,-51,64.6,6.3,96,117,2026-03-30T01:30:00Z,PT15M
7,0,-55,64.3,6.3,96,115,2026-03-30T01:45:00Z,PT15M
7,0,-58,64,6.3,96,113,2026-03-30T02:00:00Z,PT15M
7,0,-61,63.8,6.3,96,111,2026-03-30T02:15:00Z,PT15M
7,0,-64,63.5,6.3,96,108,2026-03-30T02:30:00Z,PT15M
7,0,-67,63.2,6.3,96,106,2026-03-30T02:45:00Z,PT15M
7,0,-70,62.9,6.3,96,104,2026-03-30T03:00:00Z,PT15M
7,0,-73,62.7,6.3,96,101,2026-03-30T03:15:00Z,PT15M
7,0,-76,62.4,6.3,96,99,2026-03-30T03:30:00Z,PT15M
7,0,-79,62.1,6.2,96,96,2026-03-30T03:45:00Z,PT15M
7,0,-82,61.8,6.2,96,94,2026-03-30T04:00:00Z,PT15M
7,0,-84,61.7,6.2,95.9,91,2026-03-30T04:15:00Z,PT15M
7,5,-87,61.7,6.2,95.7,88,2026-03-30T04:30:00Z,PT15M
7,15,-90,61.7,6.2,95.5,86,2026-03-30T04:45:00Z,PT15M
7,28,-93,61.6,6.2,95.4,83,2026-03-30T05:00:00Z,PT15M
7,44,-95,60.6,6.2,95.1,81,2026-03-30T05:15:00Z,PT15M
7,62,-98,60,6.2,94.6,78,2026-03-30T05:30:00Z,PT15M
7,80,-101,59.4,6.3,94.1,75,2026-03-30T05:45:00Z,PT15M
7,96,-104,60.4,6.3,93.6,73,2026-03-30T06:00:00Z,PT15M
7,113,-107,60.6,6.3,93.4,70,2026-03-30T06:15:00Z,PT15M
7,134,-110,59.6,6.3,93.4,68,2026-03-30T06:30:00Z,PT15M
7,155,-113,58.6,6.4,93.4,66,2026-03-30T06:45:00Z,PT15M
7,174,-116,58.3,6.4,93.4,63,2026-03-30T07:00:00Z,PT15M
8,191,-119,58.2,6.4,92.3,61,2026-03-30T07:15:00Z,PT15M
8,207,-123,58.2,6.4,90.3,59,2026-03-30T07:30:00Z,PT15M
8,223,-126,58.2,6.4,88.4,57,2026-03-30T07:45:00Z,PT15M
9,236,-130,58.4,6.4,86.4,54,2026-03-30T08:00:00Z,PT15M
9,252,-134,58,6.4,84.3,53,2026-03-30T08:15:00Z,PT15M
9,272,-138,56.7,6.4,81.9,51,2026-03-30T08:30:00Z,PT15M
10,291,-143,55.5,6.3,79.6,49,2026-03-30T08:45:00Z,PT15M
10,310,-147,54.3,6.3,77.3,48,2026-03-30T09:00:00Z,PT15M
10,321,-152,54,6.3,75.4,46,2026-03-30T09:15:00Z,PT15M
11,323,-157,54.8,6.2,73.8,45,2026-03-30T09:30:00Z,PT15M
11,324,-162,55.5,6.2,72.2,44,2026-03-30T09:45:00Z,PT15M
11,323,-168,56.2,6.1,70.7,44,2026-03-30T10:00:00Z,PT15M
11,325,-173,56.4,6.1,69.9,43,2026-03-30T10:15:00Z,PT15M
11,328,-179,56.1,6.1,69.9,43,2026-03-30T10:30:00Z,PT15M
11,330,176,55.9,6,69.9,43,2026-03-30T10:45:00Z,PT15M
11,330,171,55.7,6,69.9,43,2026-03-30T11:00:00Z,PT15M
11,330,165,55.2,6,69.8,44,2026-03-30T11:15:00Z,PT15M
11,330,160,54.5,6,69.7,45,2026-03-30T11:30:00Z,PT15M
11,329,155,53.8,6.1,69.6,46,2026-03-30T11:45:00Z,PT15M
12,326,150,53,6.1,69.5,47,2026-03-30T12:00:00Z,PT15M
12,313,145,53.4,6.1,69.4,48,2026-03-30T12:15:00Z,PT15M
12,293,141,54.9,6.1,69.3,50,2026-03-30T12:30:00Z,PT15M
12,271,136,56.4,6,69.1,52,2026-03-30T12:45:00Z,PT15M
12,249,132,57.9,6,69,53,2026-03-30T13:00:00Z,PT15M
11,232,128,58.4,6.1,70.1,55,2026-03-30T13:15:00Z,PT15M
11,217,125,58.4,6.3,72.5,57,2026-03-30T13:30:00Z,PT15M
11,201,121,58.4,6.5,75,60,2026-03-30T13:45:00Z,PT15M
11,184,118,58.4,6.7,77.6,62,2026-03-30T14:00:00Z,PT15M
10,166,114,58.7,6.8,79.9,64,2026-03-30T14:15:00Z,PT15M
10,144,111,59.9,6.9,82,67,2026-03-30T14:30:00Z,PT15M
10,122,108,61.4,7,84,69,2026-03-30T14:45:00Z,PT15M
9,100,105,63,7.1,86.2,72,2026-03-30T15:00:00Z,PT15M
9,82,102,63.6,7.1,87.6,74,2026-03-30T15:15:00Z,PT15M
9,63,99,64.7,7.1,88.2,77,2026-03-30T15:30:00Z,PT15M
9,45,97,66.8,7.1,88.8,79,2026-03-30T15:45:00Z,PT15M
9,29,94,68.9,7.1,89.4,82,2026-03-30T16:00:00Z,PT15M
9,19,91,66.2,7.1,90.1,84,2026-03-30T16:15:00Z,PT15M
9,10,88,59.8,7.1,90.8,87,2026-03-30T16:30:00Z,PT15M
8,2,86,52.8,7,91.6,89,2026-03-30T16:45:00Z,PT15M
8,0,83,45.2,7,92.4,92,2026-03-30T17:00:00Z,PT15M
8,0,80,41.2,7,93,95,2026-03-30T17:15:00Z,PT15M
8,0,77,41.2,6.9,93.5,97,2026-03-30T17:30:00Z,PT15M
8,0,75,41.2,6.8,94,100,2026-03-30T17:45:00Z,PT15M
8,0,72,41.2,6.7,94.4,102,2026-03-30T18:00:00Z,PT15M
7,0,69,41,6.7,94.7,105,2026-03-30T18:15:00Z,PT15M
7,0,66,40.7,6.6,94.7,107,2026-03-30T18:30:00Z,PT15M
7,0,63,40.3,6.4,94.7,109,2026-03-30T18:45:00Z,PT15M
7,0,60,39.9,6.4,94.7,112,2026-03-30T19:00:00Z,PT15M
7,0,56,39.9,6.2,94.7,114,2026-03-30T19:15:00Z,PT15M
7,0,53,40.3,6,94.9,116,2026-03-30T19:30:00Z,PT15M
7,0,49,40.7,5.9,95,118,2026-03-30T19:45:00Z,PT15M
6,0,46,41,5.7,95.2,120,2026-03-30T20:00:00Z,PT15M
6,0,42,41,5.5,95.3,122,2026-03-30T20:15:00Z,PT15M
6,0,38,40.7,5.3,95.3,123,2026-03-30T20:30:00Z,PT15M
6,0,34,40.3,5.2,95.3,125,2026-03-30T20:45:00Z,PT15M
6,0,30,39.9,5,95.3,126,2026-03-30T21:00:00Z,PT15M
6,0,25,39.9,4.8,95.2,127,2026-03-30T21:15:00Z,PT15M
5,0,21,40.3,4.7,95.2,128,2026-03-30T21:30:00Z,PT15M
5,0,16,40.7,4.5,95.2,129,2026-03-30T21:45:00Z,PT15M
5,0,11,41,4.4,95.2,130,2026-03-30T22:00:00Z,PT15M
5,0,6,40.8,4.3,95.3,130,2026-03-30T22:15:00Z,PT15M
5,0,1,40.1,4.2,95.5,130,2026-03-30T22:30:00Z,PT15M
