period_end,air_temp,azimuth,cloud_opacity,dewpoint_temp,ghi,period,relative_humidity,zenith
2026-02-03T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-02-03T15:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-02-03T16:00:00Z,3.0,137.0,36.1,-3.6,153.0,PT60M,60.4,74.0
2026-02-03T17:00:00Z,2.0,124.0,52.0,-3.4,50.0,PT60M,65.3,82.0
2026-02-03T18:00:00Z,1.0,113.0,52.4,-3.8,2.0,PT60M,68.8,91.0
2026-02-03T19:00:00Z,1.0,103.0,48.7,-4.0,0.0,PT60M,69.8,101.0
2026-02-03T20:00:00Z,1.0,92.0,45.2,-4.1,0.0,PT60M,69.3,112.0
2026-02-03T21:00:00Z,1.0,81.0,43.3,-4.2,0.0,PT60M,69.2,122.0
2026-02-03T22:00:00Z,1.0,68.0,42.6,-4.4,0.0,PT60M,69.9,132.0
2026-02-03T23:00:00Z,1.0,52.0,42.6,-4.3,0.0,PT60M,70.0,141.0
2026-02-04,1.0,30.0,42.6,-3.8,0.0,PT60M,70.6,147.0
2026-02-04T01:00:00Z,1.0,2.0,42.6,-3.3,0.0,PT60M,73.5,150.0
2026-02-04T02:00:00Z,1.0,-26.0,41.9,-2.8,0.0,PT60M,76.9,148.0
2026-02-04T03:00:00Z,1.0,-48.0,40.5,-2.6,0.0,PT60M,78.3,142.0
2026-02-04T04:00:00Z,1.0,-65.0,38.3,-2.6,0.0,PT60M,77.7,133.0
2026-02-04T05:00:00Z,1.0,-79.0,36.1,-2.8,0.0,PT60M,75.8,123.0
2026-02-04T06:00:00Z,1.0,-90.0,35.4,-3.2,0.0,PT60M,73.8,113.0
2026-02-04T07:00:00Z,1.0,-101.0,34.6,-3.4,0.0,PT60M,72.7,103.0
2026-02-04T08:00:00Z,1.0,-111.0,33.1,-3.6,1.0,PT60M,72.2,93.0
2026-02-04T09:00:00Z,1.0,-122.0,31.8,-3.4,49.0,PT60M,70.9,84.0
2026-02-04T10:00:00Z,2.0,-134.0,33.6,-3.2,136.0,PT60M,67.5,76.0
2026-02-04T11:00:00Z,4.0,-148.0,37.4,-2.8,204.0,PT60M,63.0,69.0
2026-02-04T12:00:00Z,5.0,-163.0,33.6,-2.2,270.0,PT60M,60.7,65.0
2026-02-04T13:00:00Z,6.0,-179.0,31.6,-1.4,299.0,PT60M,60.3,63.0
2026-02-04T14:00:00Z,6.0,165.0,34.5,-0.8,271.0,PT60M,60.4,64.0
2026-02-04T15:00:00Z,7.0,150.0,34.7,-0.3,221.0,PT60M,61.4,68.0
2026-02-04T16:00:00Z,7.0,137.0,31.5,0.2,152.0,PT60M,63.9,74.0
2026-02-04T17:00:00Z,6.0,124.0,36.9,0.4,56.0,PT60M,68.0,82.0
2026-02-04T18:00:00Z,5.0,113.0,31.5,0.2,3.0,PT60M,71.1,91.0
2026-02-04T19:00:00Z,4.0,103.0,22.8,-0.0,0.0,PT60M,73.1,101.0
2026-02-04T20:00:00Z,4.0,92.0,22.8,-0.2,0.0,PT60M,74.6,111.0
2026-02-04T21:00:00Z,3.0,81.0,22.8,-0.5,0.0,PT60M,75.9,122.0
2026-02-04T22:00:00Z,3.0,68.0,22.8,-0.7,0.0,PT60M,77.2,132.0
2026-02-04T23:00:00Z,3.0,51.0,22.0,-0.9,0.0,PT60M,77.7,140.0
2026-02-05,2.0,30.0,22.0,-1.2,0.0,PT60M,77.1,147.0
2026-02-05T01:00:00Z,2.0,2.0,24.5,-1.6,0.0,PT60M,75.4,150.0
2026-02-05T02:00:00Z,2.0,-25.0,26.9,-1.5,0.0,PT60M,76.0,148.0
2026-02-05T03:00:00Z,2.0,-48.0,28.5,-0.6,0.0,PT60M,80.6,142.0
2026-02-05T04:00:00Z,2.0,-65.0,30.8,0.2,0.0,PT60M,84.8,133.0
2026-02-05T05:00:00Z,3.0,-79.0,33.1,0.5,0.0,PT60M,86.4,123.0
2026-02-05T06:00:00Z,3.0,-90.0,33.9,0.8,0.0,PT60M,87.0,113.0
2026-02-05T07:00:00Z,3.0,-101.0,34.6,1.2,0.0,PT60M,87.6,103.0
2026-02-05T08:00:00Z,3.0,-111.0,35.4,1.6,1.0,PT60M,88.3,93.0
2026-02-05T09:00:00Z,4.0,-122.0,49.9,2.0,34.0,PT60M,88.0,83.0
2026-02-05T10:00:00Z,4.0,-134.0,58.0,2.2,89.0,PT60M,86.5,75.0
2026-02-05T11:00:00Z,5.0,-148.0,57.8,2.5,141.0,PT60M,84.2,69.0
2026-02-05T12:00:00Z,6.0,-163.0,55.9,2.7,185.0,PT60M,81.0,64.0
2026-02-05T13:00:00Z,6.0,-179.0,54.4,2.8,207.0,PT60M,78.6,63.0
2026-02-05T14:00:00Z,7.0,165.0,54.7,2.8,196.0,PT60M,76.5,64.0
2026-02-05T15:00:00Z,7.0,150.0,52.8,2.7,170.0,PT60M,74.4,68.0
2026-02-05T16:00:00Z,7.0,136.0,50.4,2.6,122.0,PT60M,74.6,74.0
2026-02-05T17:00:00Z,6.0,124.0,50.4,2.4,52.0,PT60M,77.7,82.0
2026-02-05T18:00:00Z,5.0,113.0,46.7,2.1,4.0,PT60M,81.8,91.0
2026-02-05T19:00:00Z,4.0,102.0,48.8,1.9,0.0,PT60M,84.4,101.0
2026-02-05T20:00:00Z,4.0,92.0,50.1,1.9,0.0,PT60M,85.3,111.0
2026-02-05T21:00:00Z,4.0,81.0,50.7,1.8,0.0,PT60M,85.3,121.0
2026-02-05T22:00:00Z,4.0,68.0,50.7,1.7,0.0,PT60M,85.0,131.0
2026-02-05T23:00:00Z,4.0,51.0,51.4,1.6,0.0,PT60M,84.7,140.0
2026-02-06,4.0,29.0,52.0,1.4,0.0,PT60M,84.6,147.0
2026-02-06T01:00:00Z,4.0,2.0,52.6,1.4,0.0,PT60M,85.5,150.0
2026-02-06T02:00:00Z,4.0,-25.0,51.4,1.6,0.0,PT60M,86.8,148.0
2026-02-06T03:00:00Z,4.0,-48.0,44.0,1.7,0.0,PT60M,87.7,142.0
2026-02-06T04:00:00Z,3.0,-65.0,33.1,1.7,0.0,PT60M,88.3,133.0
2026-02-06T05:00:00Z,3.0,-78.0,22.8,1.5,0.0,PT60M,89.9,123.0
2026-02-06T06:00:00Z,3.0,-90.0,17.0,1.2,0.0,PT60M,91.1,113.0
2026-02-06T07:00:00Z,2.0,-100.0,16.1,0.9,0.0,PT60M,91.1,102.0
2026-02-06T08:00:00Z,2.0,-111.0,15.3,0.7,2.0,PT60M,91.1,92.0
2026-02-06T09:00:00Z,2.0,-122.0,12.4,0.8,75.0,PT60M,89.5,83.0
2026-02-06T10:00:00Z,4.0,-134.0,9.7,1.2,203.0,PT60M,84.9,75.0
2026-02-06T11:00:00Z,5.0,-148.0,8.4,1.5,318.0,PT60M,79.2,68.0
2026-02-06T12:00:00Z,6.0,-163.0,6.1,1.8,405.0,PT60M,73.7,64.0
2026-02-06T13:00:00Z,7.0,-179.0,5.5,2.1,440.0,PT60M,69.1,62.0
2026-02-06T14:00:00Z,8.0,165.0,5.5,2.3,420.0,PT60M,65.7,64.0
2026-02-06T15:00:00Z,9.0,150.0,5.3,2.4,353.0,PT60M,63.5,67.0
2026-02-06T16:00:00Z,9.0,136.0,6.8,2.4,239.0,PT60M,63.3,74.0
2026-02-06T17:00:00Z,8.0,124.0,11.2,2.7,101.0,PT60M,68.1,82.0
2026-02-06T18:00:00Z,7.0,113.0,10.9,2.8,7.0,PT60M,75.9,91.0
2026-02-06T19:00:00Z,6.0,102.0,8.2,2.7,0.0,PT60M,81.9,101.0
2026-02-06T20:00:00Z,5.0,92.0,7.3,2.6,0.0,PT60M,85.7,111.0
2026-02-06T21:00:00Z,4.0,80.0,9.1,2.4,0.0,PT60M,87.2,121.0
2026-02-06T22:00:00Z,4.0,67.0,11.8,2.2,0.0,PT60M,87.4,131.0
2026-02-06T23:00:00Z,4.0,51.0,13.5,2.1,0.0,PT60M,88.0,140.0
2026-02-07,4.0,29.0,14.4,1.9,0.0,PT60M,88.6,147.0
2026-02-07T01:00:00Z,3.0,2.0,16.1,1.7,0.0,PT60M,88.9,149.0
2026-02-07T02:00:00Z,3.0,-25.0,17.8,1.6,0.0,PT60M,89.2,147.0
2026-02-07T03:00:00Z,3.0,-47.0,22.8,1.4,0.0,PT60M,89.5,141.0
2026-02-07T04:00:00Z,3.0,-65.0,33.8,1.2,0.0,PT60M,90.2,133.0
2026-02-07T05:00:00Z,3.0,-78.0,45.3,1.1,0.0,PT60M,90.8,123.0
2026-02-07T06:00:00Z,3.0,-90.0,51.4,1.4,0.0,PT60M,91.8,113.0
2026-02-07T07:00:00Z,3.0,-100.0,52.0,1.8,0.0,PT60M,91.8,102.0
2026-02-07T08:00:00Z,3.0,-111.0,52.0,2.0,1.0,PT60M,91.2,92.0
2026-02-07T09:00:00Z,4.0,-122.0,51.4,2.2,42.0,PT60M,90.2,83.0
2026-02-07T10:00:00Z,4.0,-134.0,47.5,2.4,119.0,PT60M,87.2,75.0
2026-02-07T11:00:00Z,5.0,-147.0,48.0,2.7,183.0,PT60M,84.2,68.0
2026-02-07T12:00:00Z,6.0,-162.0,49.2,2.9,220.0,PT60M,81.4,64.0
2026-02-07T13:00:00Z,7.0,-179.0,55.3,3.2,209.0,PT60M,77.0,62.0
2026-02-07T14:00:00Z,8.0,165.0,61.0,3.4,174.0,PT60M,73.7,63.0
2026-02-07T15:00:00Z,8.0,150.0,62.7,3.5,137.0,PT60M,72.7,67.0
2026-02-07T16:00:00Z,8.0,136.0,63.5,3.6,91.0,PT60M,75.0,73.0
2026-02-07T17:00:00Z,7.0,124.0,67.4,3.9,35.0,PT60M,79.3,81.0
2026-02-07T18:00:00Z,7.0,113.0,64.4,3.8,3.0,PT60M,82.9,90.0
2026-02-07T19:00:00Z,6.0,102.0,60.5,3.8,0.0,PT60M,85.8,100.0
2026-02-07T20:00:00Z,6.0,91.0,55.8,3.8,0.0,PT60M,88.2,111.0
2026-02-07T21:00:00Z,5.0,80.0,53.3,3.8,0.0,PT60M,90.4,121.0
2026-02-07T22:00:00Z,5.0,67.0,53.3,3.8,0.0,PT60M,91.9,131.0
2026-02-07T23:00:00Z,5.0,51.0,52.6,3.6,0.0,PT60M,91.9,140.0
2026-02-08,5.0,29.0,52.6,3.6,0.0,PT60M,92.3,146.0
2026-02-08T01:00:00Z,5.0,3.0,54.5,3.7,0.0,PT60M,93.6,149.0
2026-02-08T02:00:00Z,5.0,-25.0,54.5,3.7,0.0,PT60M,93.9,147.0
2026-02-08T03:00:00Z,5.0,-47.0,55.1,3.6,0.0,PT60M,93.9,141.0
2026-02-08T04:00:00Z,5.0,-64.0,59.3,3.4,0.0,PT60M,92.9,132.0
2026-02-08T05:00:00Z,4.0,-78.0,62.8,3.2,0.0,PT60M,92.6,123.0
2026-02-08T06:00:00Z,4.0,-89.0,63.9,3.2,0.0,PT60M,93.2,112.0
2026-02-08T07:00:00Z,4.0,-100.0,63.9,3.0,0.0,PT60M,92.9,102.0
2026-02-08T08:00:00Z,4.0,-110.0,63.3,2.8,1.0,PT60M,92.2,92.0
2026-02-08T09:00:00Z,4.0,-122.0,61.8,2.8,33.0,PT60M,90.2,83.0
2026-02-08T10:00:00Z,5.0,-134.0,53.7,2.6,105.0,PT60M,86.9,75.0
2026-02-08T11:00:00Z,5.0,-147.0,52.4,2.6,167.0,PT60M,83.7,68.0
2026-02-08T12:00:00Z,6.0,-162.0,54.6,2.4,197.0,PT60M,79.5,64.0
2026-02-08T13:00:00Z,6.0,-179.0,59.6,2.1,189.0,PT60M,74.5,62.0
2026-02-08T14:00:00Z,7.0,165.0,65.3,1.8,155.0,PT60M,69.8,63.0
2026-02-08T15:00:00Z,7.0,150.0,66.9,1.6,124.0,PT60M,68.4,67.0
2026-02-08T16:00:00Z,7.0,136.0,67.5,1.8,83.0,PT60M,70.2,73.0
2026-02-08T17:00:00Z,7.0,124.0,71.4,1.8,33.0,PT60M,72.0,81.0
2026-02-08T18:00:00Z,6.0,112.0,67.1,1.9,3.0,PT60M,74.6,90.0
2026-02-08T19:00:00Z,6.0,102.0,61.7,2.0,0.0,PT60M,77.9,100.0
2026-02-08T20:00:00Z,5.0,91.0,56.4,2.0,0.0,PT60M,81.4,110.0
2026-02-08T21:00:00Z,5.0,80.0,53.3,2.0,0.0,PT60M,83.0,121.0
2026-02-08T22:00:00Z,5.0,67.0,53.3,2.0,0.0,PT60M,82.6,131.0
2026-02-08T23:00:00Z,5.0,50.0,53.3,1.9,0.0,PT60M,82.3,139.0
2026-02-09,5.0,29.0,52.6,1.9,0.0,PT60M,82.2,146.0
2026-02-09T01:00:00Z,5.0,3.0,50.7,1.8,0.0,PT60M,82.3,149.0
2026-02-09T02:00:00Z,5.0,-24.0,48.1,1.8,0.0,PT60M,82.5,147.0
2026-02-09T03:00:00Z,4.0,-47.0,46.7,1.8,0.0,PT60M,82.7,141.0
2026-02-09T04:00:00Z,4.0,-64.0,47.4,1.7,0.0,PT60M,82.9,132.0
2026-02-09T05:00:00Z,4.0,-78.0,48.1,1.6,0.0,PT60M,83.1,122.0
2026-02-09T06:00:00Z,4.0,-89.0,48.1,1.6,0.0,PT60M,84.0,112.0
2026-02-09T07:00:00Z,4.0,-100.0,48.1,1.7,0.0,PT60M,85.6,102.0
2026-02-09T08:00:00Z,4.0,-110.0,48.1,1.8,2.0,PT60M,87.2,92.0
2026-02-09T09:00:00Z,4.0,-121.0,47.2,2.0,49.0,PT60M,89.1,83.0
2026-02-09T10:00:00Z,4.0,-133.0,43.1,2.4,133.0,PT60M,91.2,74.0
2026-02-09T11:00:00Z,4.0,-147.0,44.5,2.8,200.0,PT60M,93.4,68.0
2026-02-09T12:00:00Z,4.0,-162.0,45.0,2.9,244.0,PT60M,93.6,63.0
2026-02-09T13:00:00Z,4.0,-178.0,46.1,2.8,258.0,PT60M,91.9,61.0
2026-02-09T14:00:00Z,4.0,165.0,47.9,2.6,238.0,PT60M,90.2,63.0
2026-02-09T15:00:00Z,4.0,150.0,48.0,2.2,198.0,PT60M,87.3,67.0
2026-02-09T16:00:00Z,4.0,136.0,48.9,1.7,135.0,PT60M,83.5,73.0
