air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
25,0,70,6,9.4,36.2,92,2025-08-20T17:30:00Z,PT15M
25,0,68,10,9.3,37.1,94,2025-08-20T17:45:00Z,PT15M
24,0,65,13,9.3,38.1,97,2025-08-20T18:00:00Z,PT15M
24,0,62,12,9.3,38.8,99,2025-08-20T18:15:00Z,PT15M
24,0,59,12,9.3,39.4,101,2025-08-20T18:30:00Z,PT15M
24,0,56,10,9.4,39.9,104,2025-08-20T18:45:00Z,PT15M
24,0,53,9,9.4,40.5,106,2025-08-20T19:00:00Z,PT15M
23,0,50,8,9.4,40.9,108,2025-08-20T19:15:00Z,PT15M
23,0,47,6,9.4,41.3,110,2025-08-20T19:30:00Z,PT15M
23,0,43,5,9.3,41.7,112,2025-08-20T19:45:00Z,PT15M
23,0,40,4,9.3,42,114,2025-08-20T20:00:00Z,PT15M
23,0,36,3,9.3,42.5,115,2025-08-20T20:15:00Z,PT15M
23,0,33,3,9.4,42.9,117,2025-08-20T20:30:00Z,PT15M
22,0,29,2,9.4,43.4,118,2025-08-20T20:45:00Z,PT15M
22,0,25,2,9.5,43.9,119,2025-08-20T21:00:00Z,PT15M
22,0,21,2,9.5,44.4,120,2025-08-20T21:15:00Z,PT15M
22,0,17,2,9.5,44.8,121,2025-08-20T21:30:00Z,PT15M
22,0,13,2,9.6,45.3,122,2025-08-20T21:45:00Z,PT15M
22,0,8,2,9.6,45.8,123,2025-08-20T22:00:00Z,PT15M
22,0,4,2,9.6,46.4,123,2025-08-20T22:15:00Z,PT15M
22,0,0,2,9.7,46.9,123,2025-08-20T22:30:00Z,PT15M
21,0,-5,2,9.7,47.5,123,2025-08-20T22:45:00Z,PT15M
21,0,-9,2,9.8,48.1,122,2025-08-20T23:00:00Z,PT15M
21,0,-13,2,9.8,48.7,122,2025-08-20T23:15:00Z,PT15M
21,0,-18,1,9.8,49.1,121,2025-08-20T23:30:00Z,PT15M
21,0,-22,1,9.9,49.6,120,2025-08-20T23:45:00Z,PT15M
21,0,-26,0,9.9,50.1,119,2025-08-21,PT15M
20,0,-30,0,9.9,50.4,118,2025-08-21T00:15:00Z,PT15M
20,0,-34,0,9.8,50.7,117,2025-08-21T00:30:00Z,PT15M
20,0,-37,0,9.8,51,115,2025-08-21T00:45:00Z,PT15M
20,0,-41,0,9.7,51.3,113,2025-08-21T01:00:00Z,PT15M
20,0,-44,0,9.7,51.7,112,2025-08-21T01:15:00Z,PT15M
20,0,-48,0,9.7,52,110,2025-08-21T01:30:00Z,PT15M
20,0,-51,0,9.7,52.3,108,2025-08-21T01:45:00Z,PT15M
20,0,-54,0,9.7,52.6,105,2025-08-21T02:00:00Z,PT15M
20,0,-57,0,9.7,52.9,103,2025-08-21T02:15:00Z,PT15M
20,0,-60,0,9.7,53.2,101,2025-08-21T02:30:00Z,PT15M
19,0,-63,0,9.7,53.4,99,2025-08-21T02:45:00Z,PT15M
19,0,-65,0,9.7,53.7,96,2025-08-21T03:00:00Z,PT15M
19,0,-68,0,9.7,53.6,94,2025-08-21T03:15:00Z,PT15M
20,0,-71,0,9.7,53.3,91,2025-08-21T03:30:00Z,PT15M
20,9,-73,0,9.7,53,89,2025-08-21T03:45:00Z,PT15M
20,33,-76,0,9.7,52.6,86,2025-08-21T04:00:00Z,PT15M
20,64,-79,0,9.7,51.5,84,2025-08-21T04:15:00Z,PT15M
21,101,-81,0,9.8,49.5,81,2025-08-21T04:30:00Z,PT15M
21,142,-84,0,9.8,47.7,78,2025-08-21T04:45:00Z,PT15M
22,185,-86,0,9.9,45.9,76,2025-08-21T05:00:00Z,PT15M
23,230,-89,0,9.9,44,73,2025-08-21T05:15:00Z,PT15M
24,275,-92,0,9.8,41.9,70,2025-08-21T05:30:00Z,PT15M
24,321,-94,0,9.8,39.9,68,2025-08-21T05:45:00Z,PT15M
25,366,-97,0,9.7,38,65,2025-08-21T06:00:00Z,PT15M
26,411,-100,0,9.7,36.5,62,2025-08-21T06:15:00Z,PT15M
26,455,-103,0,9.7,35.2,60,2025-08-21T06:30:00Z,PT15M
27,497,-106,0,9.8,34,57,2025-08-21T06:45:00Z,PT15M
28,538,-109,0,9.8,32.8,54,2025-08-21T07:00:00Z,PT15M
28,577,-112,0,9.8,31.6,52,2025-08-21T07:15:00Z,PT15M
29,614,-116,0,9.6,30.4,50,2025-08-21T07:30:00Z,PT15M
29,649,-119,0,9.5,29.2,47,2025-08-21T07:45:00Z,PT15M
30,681,-123,0,9.5,28,45,2025-08-21T08:00:00Z,PT15M
30,710,-128,0,9.3,27,43,2025-08-21T08:15:00Z,PT15M
31,734,-132,0,9.1,26,41,2025-08-21T08:30:00Z,PT15M
