period_end,air_temp,azimuth,cloud_opacity,dewpoint_temp,ghi,period,relative_humidity,zenith
2025-11-14T17:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-11-14T18:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-11-14T19:00:00Z,11.0,98.0,0.0,4.9,0.0,PT60M,67.8,107.0
2025-11-14T20:00:00Z,10.0,88.0,7.7,4.9,0.0,PT60M,70.1,118.0
2025-11-14T21:00:00Z,10.0,77.0,30.0,5.0,0.0,PT60M,72.1,129.0
2025-11-14T22:00:00Z,10.0,62.0,43.4,5.2,0.0,PT60M,74.0,139.0
2025-11-14T23:00:00Z,9.0,43.0,47.8,5.2,0.0,PT60M,75.3,147.0
2025-11-15,9.0,17.0,49.4,5.1,0.0,PT60M,76.0,153.0
2025-11-15T01:00:00Z,9.0,-15.0,52.0,5.1,0.0,PT60M,77.1,153.0
2025-11-15T02:00:00Z,9.0,-42.0,54.5,5.0,0.0,PT60M,77.8,148.0
2025-11-15T03:00:00Z,8.0,-61.0,56.4,4.9,0.0,PT60M,78.6,139.0
2025-11-15T04:00:00Z,8.0,-76.0,57.6,4.9,0.0,PT60M,79.4,129.0
2025-11-15T05:00:00Z,8.0,-87.0,59.4,4.9,0.0,PT60M,80.0,119.0
2025-11-15T06:00:00Z,8.0,-98.0,60.5,4.8,0.0,PT60M,80.8,108.0
2025-11-15T07:00:00Z,8.0,-108.0,59.9,4.8,0.0,PT60M,81.6,98.0
2025-11-15T08:00:00Z,8.0,-118.0,59.9,4.8,9.0,PT60M,81.3,88.0
2025-11-15T09:00:00Z,9.0,-129.0,58.4,5.0,60.0,PT60M,78.1,79.0
2025-11-15T10:00:00Z,10.0,-142.0,53.2,5.3,131.0,PT60M,71.7,72.0
2025-11-15T11:00:00Z,12.0,-156.0,50.2,5.3,192.0,PT60M,64.9,66.0
2025-11-15T12:00:00Z,13.0,-171.0,46.5,5.4,237.0,PT60M,59.7,63.0
2025-11-15T13:00:00Z,14.0,173.0,40.9,5.4,263.0,PT60M,56.0,63.0
2025-11-15T14:00:00Z,15.0,157.0,34.1,5.4,260.0,PT60M,53.7,66.0
2025-11-15T15:00:00Z,15.0,143.0,28.5,5.6,210.0,PT60M,53.4,71.0
2025-11-15T16:00:00Z,15.0,130.0,28.3,6.0,116.0,PT60M,56.5,79.0
2025-11-15T17:00:00Z,13.0,119.0,30.0,6.3,22.0,PT60M,62.6,87.0
2025-11-15T18:00:00Z,12.0,109.0,25.2,6.2,0.0,PT60M,67.2,97.0
2025-11-15T19:00:00Z,12.0,99.0,19.5,6.2,0.0,PT60M,69.4,108.0
2025-11-15T20:00:00Z,11.0,88.0,19.5,6.1,0.0,PT60M,71.1,118.0
2025-11-15T21:00:00Z,11.0,77.0,19.5,6.0,0.0,PT60M,72.5,129.0
2025-11-15T22:00:00Z,10.0,63.0,19.5,5.9,0.0,PT60M,73.7,139.0
2025-11-15T23:00:00Z,10.0,43.0,28.4,5.8,0.0,PT60M,74.6,147.0
2025-11-16,10.0,17.0,33.8,5.6,0.0,PT60M,75.1,153.0
2025-11-16T01:00:00Z,10.0,-15.0,34.6,5.4,0.0,PT60M,75.6,153.0
2025-11-16T02:00:00Z,9.0,-42.0,42.6,5.4,0.0,PT60M,76.1,148.0
2025-11-16T03:00:00Z,9.0,-62.0,48.1,5.2,0.0,PT60M,75.8,140.0
2025-11-16T04:00:00Z,9.0,-76.0,50.7,5.2,0.0,PT60M,76.1,130.0
