air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
24,917,-148,0,13.1,49.6,24,2026-06-18T09:30:00Z,PT15M
25,927,-156,0,13.1,49.1,23,2026-06-18T09:45:00Z,PT15M
25,927,-164,0.7,13.1,48.7,22,2026-06-18T10:00:00Z,PT15M
25,914,-174,2.4,13.1,48.2,21,2026-06-18T10:15:00Z,PT15M
25,900,177,3.9,13.1,47.7,21,2026-06-18T10:30:00Z,PT15M
25,884,167,5.2,13,47.2,22,2026-06-18T10:45:00Z,PT15M
25,858,159,7.3,13,46.7,22,2026-06-18T11:00:00Z,PT15M
25,834,150,9,13,46.3,24,2026-06-18T11:15:00Z,PT15M
25,801,143,11.3,13,46.1,25,2026-06-18T11:30:00Z,PT15M
25,768,136,13.5,12.9,45.9,27,2026-06-18T11:45:00Z,PT15M
26,737,130,15.3,12.9,45.7,29,2026-06-18T12:00:00Z,PT15M
26,712,124,16.1,12.9,45.6,31,2026-06-18T12:15:00Z,PT15M
26,691,119,16.2,12.9,45.6,33,2026-06-18T12:30:00Z,PT15M
25,668,115,16.2,12.8,45.6,35,2026-06-18T12:45:00Z,PT15M
25,644,111,16.2,12.8,45.6,38,2026-06-18T13:00:00Z,PT15M
25,623,107,15.5,13,46.2,40,2026-06-18T13:15:00Z,PT15M
25,605,104,14,13.2,47.6,43,2026-06-18T13:30:00Z,PT15M
25,584,101,12.6,13.6,48.9,46,2026-06-18T13:45:00Z,PT15M
25,561,98,11.1,13.8,50.4,48,2026-06-18T14:00:00Z,PT15M
25,530,95,10.4,14,51,51,2026-06-18T14:15:00Z,PT15M
25,494,92,10.4,13.9,50.8,54,2026-06-18T14:30:00Z,PT15M
25,455,89,10.5,13.8,50.6,56,2026-06-18T14:45:00Z,PT15M
25,416,87,10.8,13.7,50.5,59,2026-06-18T15:00:00Z,PT15M
25,376,84,11.1,13.8,50.8,62,2026-06-18T15:15:00Z,PT15M
25,336,82,11.3,13.9,51.6,64,2026-06-18T15:30:00Z,PT15M
24,295,79,11.9,14,52.4,67,2026-06-18T15:45:00Z,PT15M
24,254,77,12.5,14.1,53.2,70,2026-06-18T16:00:00Z,PT15M
24,215,74,12.9,14.2,54.4,72,2026-06-18T16:15:00Z,PT15M
24,178,72,12.9,14.2,56,75,2026-06-18T16:30:00Z,PT15M
23,141,70,13.3,14.2,57.6,77,2026-06-18T16:45:00Z,PT15M
23,106,67,13.7,14.2,59.3,80,2026-06-18T17:00:00Z,PT15M
22,74,65,13.9,13.9,59.8,82,2026-06-18T17:15:00Z,PT15M
22,47,62,13.3,13.4,59.1,85,2026-06-18T17:30:00Z,PT15M
21,23,60,12.5,12.8,58.5,87,2026-06-18T17:45:00Z,PT15M
21,5,57,11.6,12.3,57.8,89,2026-06-18T18:00:00Z,PT15M
21,0,55,11.2,11.8,57.1,91,2026-06-18T18:15:00Z,PT15M
21,0,52,11.2,11.6,56.4,93,2026-06-18T18:30:00Z,PT15M
20,0,49,11.2,11.2,55.7,96,2026-06-18T18:45:00Z,PT15M
20,0,46,11.2,11,55.1,97,2026-06-18T19:00:00Z,PT15M
20,0,43,11.2,10.8,54.9,99,2026-06-18T19:15:00Z,PT15M
20,0,40,11.2,10.6,55.1,101,2026-06-18T19:30:00Z,PT15M
20,0,37,11.2,10.5,55.3,103,2026-06-18T19:45:00Z,PT15M
20,0,34,11.2,10.5,55.5,104,2026-06-18T20:00:00Z,PT15M
19,0,31,11.2,10.4,56.1,106,2026-06-18T20:15:00Z,PT15M
19,0,28,11.2,10.4,57,107,2026-06-18T20:30:00Z,PT15M
19,0,24,11.2,10.4,57.9,108,2026-06-18T20:45:00Z,PT15M
19,0,21,11.2,10.4,58.8,109,2026-06-18T21:00:00Z,PT15M
18,0,17,10.8,10.4,59.7,110,2026-06-18T21:15:00Z,PT15M
18,0,14,9.9,10.5,60.5,111,2026-06-18T21:30:00Z,PT15M
18,0,10,9,10.5,61.4,111,2026-06-18T21:45:00Z,PT15M
18,0,6,8.2,10.6,62.3,112,2026-06-18T22:00:00Z,PT15M
18,0,2,7.7,10.6,63.1,112,2026-06-18T22:15:00Z,PT15M
18,0,-1,7.7,10.7,64,112,2026-06-18T22:30:00Z,PT15M
17,0,-5,7.7,10.7,64.8,112,2026-06-18T22:45:00Z,PT15M
17,0,-9,7.7,10.8,65.6,112,2026-06-18T23:00:00Z,PT15M
17,0,-12,7.7,10.8,66.3,111,2026-06-18T23:15:00Z,PT15M
17,0,-16,7.7,10.8,67,110,2026-06-18T23:30:00Z,PT15M
17,0,-19,7.7,10.8,67.6,110,2026-06-18T23:45:00Z,PT15M
17,0,-23,7.7,10.8,68.3,109,2026-06-19,PT15M
17,0,-26,7.5,10.8,68.9,108,2026-06-19T00:15:00Z,PT15M
17,0,-30,7.1,10.8,69.4,106,2026-06-19T00:30:00Z,PT15M
16,0,-33,6.6,10.9,70,105,2026-06-19T00:45:00Z,PT15M
16,0,-36,6.2,10.9,70.5,103,2026-06-19T01:00:00Z,PT15M
16,0,-39,6,10.9,70.9,102,2026-06-19T01:15:00Z,PT15M
16,0,-42,6,10.9,71.2,100,2026-06-19T01:30:00Z,PT15M
16,0,-45,6,10.8,71.4,98,2026-06-19T01:45:00Z,PT15M
16,0,-48,6,10.8,71.6,96,2026-06-19T02:00:00Z,PT15M
16,0,-51,6,10.8,71.8,94,2026-06-19T02:15:00Z,PT15M
16,0,-54,6,10.9,72.1,92,2026-06-19T02:30:00Z,PT15M
16,2,-56,6,10.9,72.3,90,2026-06-19T02:45:00Z,PT15M
16,17,-59,6,11,72.6,88,2026-06-19T03:00:00Z,PT15M
16,41,-61,6,11.1,72.8,85,2026-06-19T03:15:00Z,PT15M
16,70,-64,6,11.4,73.1,83,2026-06-19T03:30:00Z,PT15M
16,104,-66,5.6,11.6,73.4,81,2026-06-19T03:45:00Z,PT15M
17,141,-69,5.1,11.9,73.7,78,2026-06-19T04:00:00Z,PT15M
17,182,-71,4.4,12,72.7,76,2026-06-19T04:15:00Z,PT15M
17,224,-74,3.8,12,70.5,73,2026-06-19T04:30:00Z,PT15M
18,268,-76,3.3,12,68.5,70,2026-06-19T04:45:00Z,PT15M
18,312,-78,2.8,12,66.4,68,2026-06-19T05:00:00Z,PT15M
19,358,-81,2.3,12,64.7,65,2026-06-19T05:15:00Z,PT15M
19,403,-83,1.9,12,63.1,63,2026-06-19T05:30:00Z,PT15M
20,447,-86,1.6,12.1,61.5,60,2026-06-19T05:45:00Z,PT15M
20,492,-88,1.3,12.1,60,57,2026-06-19T06:00:00Z,PT15M
21,535,-91,1.1,12.1,58.6,55,2026-06-19T06:15:00Z,PT15M
21,576,-94,1.1,12.1,57.1,52,2026-06-19T06:30:00Z,PT15M
21,615,-96,1.1,12,55.7,49,2026-06-19T06:45:00Z,PT15M
22,654,-99,1.1,12,54.4,47,2026-06-19T07:00:00Z,PT15M
22,690,-103,1.1,12,53.1,44,2026-06-19T07:15:00Z,PT15M
22,724,-106,1.1,12,51.8,41,2026-06-19T07:30:00Z,PT15M
23,756,-110,1.1,12.1,50.6,39,2026-06-19T07:45:00Z,PT15M
23,786,-113,1.1,12.1,49.4,36,2026-06-19T08:00:00Z,PT15M
24,813,-118,1,12.1,48.4,34,2026-06-19T08:15:00Z,PT15M
24,837,-122,1,12.2,47.8,32,2026-06-19T08:30:00Z,PT15M
24,859,-128,1,12.3,47.2,29,2026-06-19T08:45:00Z,PT15M
25,878,-134,1,12.4,46.6,27,2026-06-19T09:00:00Z,PT15M
25,887,-140,1.8,12.5,46.1,26,2026-06-19T09:15:00Z,PT15M
25,886,-147,3.2,12.6,45.8,24,2026-06-19T09:30:00Z,PT15M
25,881,-155,4.8,12.6,45.5,23,2026-06-19T09:45:00Z,PT15M
26,874,-164,6.2,12.8,45.2,22,2026-06-19T10:00:00Z,PT15M
26,865,-173,7.5,12.8,44.9,21,2026-06-19T10:15:00Z,PT15M
26,856,177,8.5,12.9,44.6,21,2026-06-19T10:30:00Z,PT15M
26,844,168,9.5,12.9,44.2,22,2026-06-19T10:45:00Z,PT15M
26,830,159,10.5,13,43.9,22,2026-06-19T11:00:00Z,PT15M
26,820,150,10.6,13,43.5,23,2026-06-19T11:15:00Z,PT15M
26,816,143,9.9,12.9,43.1,25,2026-06-19T11:30:00Z,PT15M
27,808,136,9.1,12.8,42.6,27,2026-06-19T11:45:00Z,PT15M
27,798,130,8.4,12.7,42.1,29,2026-06-19T12:00:00Z,PT15M
27,781,124,8,12.7,41.9,31,2026-06-19T12:15:00Z,PT15M
27,759,119,8,12.7,41.7,33,2026-06-19T12:30:00Z,PT15M
27,734,115,8.1,12.6,41.6,35,2026-06-19T12:45:00Z,PT15M
27,707,111,8.1,12.6,41.5,38,2026-06-19T13:00:00Z,PT15M
27,679,107,7.9,12.6,41.6,40,2026-06-19T13:15:00Z,PT15M
27,652,104,7.5,12.7,42,43,2026-06-19T13:30:00Z,PT15M
27,622,101,7,12.7,42.4,46,2026-06-19T13:45:00Z,PT15M
26,590,98,6.5,12.8,42.8,48,2026-06-19T14:00:00Z,PT15M
26,554,95,6.3,13,43.8,51,2026-06-19T14:15:00Z,PT15M
26,516,92,6.3,13.5,45.5,54,2026-06-19T14:30:00Z,PT15M
26,476,89,6.4,13.9,47.3,56,2026-06-19T14:45:00Z,PT15M
26,435,87,6.5,14.4,49.1,59,2026-06-19T15:00:00Z,PT15M
26,392,84,7,14.7,50.4,62,2026-06-19T15:15:00Z,PT15M
26,348,82,7.7,14.8,51.1,64,2026-06-19T15:30:00Z,PT15M
26,304,79,8.7,14.9,51.8,67,2026-06-19T15:45:00Z,PT15M
26,261,77,9.8,15,52.5,69,2026-06-19T16:00:00Z,PT15M
25,220,74,10.5,15.2,53.9,72,2026-06-19T16:15:00Z,PT15M
25,182,72,10.7,15.3,55.9,75,2026-06-19T16:30:00Z,PT15M
24,144,70,11.3,15.5,58,77,2026-06-19T16:45:00Z,PT15M
24,109,67,11.9,15.6,60.1,80,2026-06-19T17:00:00Z,PT15M
23,77,65,11.8,15.5,61.4,82,2026-06-19T17:15:00Z,PT15M
23,49,62,10.3,15.1,61.7,84,2026-06-19T17:30:00Z,PT15M
22,25,60,8.6,14.7,61.9,87,2026-06-19T17:45:00Z,PT15M
22,6,57,6.9,14.3,62.2,89,2026-06-19T18:00:00Z,PT15M
22,0,55,6,14,62.3,91,2026-06-19T18:15:00Z,PT15M
21,0,52,6,13.8,62.2,93,2026-06-19T18:30:00Z,PT15M
21,0,49,6,13.7,62,95,2026-06-19T18:45:00Z,PT15M
21,0,46,6,13.5,61.9,97,2026-06-19T19:00:00Z,PT15M
21,0,43,6,13.4,62,99,2026-06-19T19:15:00Z,PT15M
21,0,40,6,13.3,62.2,101,2026-06-19T19:30:00Z,PT15M
21,0,37,6,13.2,62.5,103,2026-06-19T19:45:00Z,PT15M
21,0,34,6,13.1,62.8,104,2026-06-19T20:00:00Z,PT15M
20,0,31,6,13.1,63,106,2026-06-19T20:15:00Z,PT15M
20,0,28,6,13,63.2,107,2026-06-19T20:30:00Z,PT15M
20,0,24,6,13,63.4,108,2026-06-19T20:45:00Z,PT15M
20,0,21,6,12.9,63.6,109,2026-06-19T21:00:00Z,PT15M
20,0,17,6.2,12.9,64,110,2026-06-19T21:15:00Z,PT15M
20,0,14,6.6,13,64.6,111,2026-06-19T21:30:00Z,PT15M
20,0,10,7.1,13,65.2,111,2026-06-19T21:45:00Z,PT15M
20,0,6,7.5,13.1,65.8,112,2026-06-19T22:00:00Z,PT15M
20,0,3,8,13.1,66.4,112,2026-06-19T22:15:00Z,PT15M
20,0,-1,8.4,13.1,66.9,112,2026-06-19T22:30:00Z,PT15M
19,0,-5,8.8,13.2,67.4,112,2026-06-19T22:45:00Z,PT15M
19,0,-9,9.3,13.2,67.9,112,2026-06-19T23:00:00Z,PT15M
19,0,-12,9.5,13.2,68.6,111,2026-06-19T23:15:00Z,PT15M
19,0,-16,9.5,13.3,69.5,110,2026-06-19T23:30:00Z,PT15M
19,0,-19,9.5,13.3,70.4,110,2026-06-19T23:45:00Z,PT15M
19,0,-23,9.5,13.4,71.3,109,2026-06-20,PT15M
19,0,-26,9.5,13.4,72.1,108,2026-06-20T00:15:00Z,PT15M
18,0,-30,9.5,13.5,73,106,2026-06-20T00:30:00Z,PT15M
18,0,-33,9.5,13.5,73.8,105,2026-06-20T00:45:00Z,PT15M
18,0,-36,9.5,13.6,74.6,103,2026-06-20T01:00:00Z,PT15M
18,0,-39,9.7,13.6,75.1,102,2026-06-20T01:15:00Z,PT15M
18,0,-42,10.1,13.6,75.4,100,2026-06-20T01:30:00Z,PT15M
18,0,-45,10.5,13.5,75.6,98,2026-06-20T01:45:00Z,PT15M
18,0,-48,11,13.5,75.8,96,2026-06-20T02:00:00Z,PT15M
18,0,-51,11.2,13.5,76.2,94,2026-06-20T02:15:00Z,PT15M
18,0,-54,11.2,13.6,76.7,92,2026-06-20T02:30:00Z,PT15M
18,2,-56,11.2,13.7,77.2,90,2026-06-20T02:45:00Z,PT15M
18,16,-59,11.2,13.8,77.7,88,2026-06-20T03:00:00Z,PT15M
18,38,-61,11.6,13.9,77.6,85,2026-06-20T03:15:00Z,PT15M
18,65,-64,12.4,14.1,76.9,83,2026-06-20T03:30:00Z,PT15M
19,95,-66,12.5,14.3,76.2,81,2026-06-20T03:45:00Z,PT15M
19,129,-69,12.2,14.5,75.5,78,2026-06-20T04:00:00Z,PT15M
19,165,-71,11.9,14.6,74.2,76,2026-06-20T04:15:00Z,PT15M
20,202,-74,11.8,14.6,72.4,73,2026-06-20T04:30:00Z,PT15M
20,240,-76,11.8,14.6,70.6,70,2026-06-20T04:45:00Z,PT15M
21,278,-78,11.8,14.6,68.9,68,2026-06-20T05:00:00Z,PT15M
21,318,-81,11.5,14.6,67.4,65,2026-06-20T05:15:00Z,PT15M
21,358,-83,11.2,14.7,65.9,63,2026-06-20T05:30:00Z,PT15M
22,398,-86,10.9,14.7,64.5,60,2026-06-20T05:45:00Z,PT15M
22,438,-88,10.6,14.8,63.2,57,2026-06-20T06:00:00Z,PT15M
23,480,-91,9.8,14.8,61.8,55,2026-06-20T06:15:00Z,PT15M
23,524,-94,8.5,14.9,60.4,52,2026-06-20T06:30:00Z,PT15M
23,569,-96,7.2,14.9,59.1,49,2026-06-20T06:45:00Z,PT15M
24,612,-99,5.9,15,57.8,47,2026-06-20T07:00:00Z,PT15M
24,652,-103,5.1,15,56.7,44,2026-06-20T07:15:00Z,PT15M
