air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
25,558,129,20.7,8.7,34.9,43,2026-08-19T12:45:00Z,PT15M
25,494,125,26.8,8.8,35.6,45,2026-08-19T13:00:00Z,PT15M
25,504,121,21.7,8.9,36.6,48,2026-08-19T13:15:00Z,PT15M
24,549,117,10.3,9.1,37.9,50,2026-08-19T13:30:00Z,PT15M
24,501,114,13.1,9.2,39.2,52,2026-08-19T13:45:00Z,PT15M
24,453,110,15.9,9.4,40.6,55,2026-08-19T14:00:00Z,PT15M
24,405,107,18.9,9.5,41,57,2026-08-19T14:15:00Z,PT15M
24,371,104,19.1,9.6,40.6,60,2026-08-19T14:30:00Z,PT15M
24,335,101,19.7,9.7,40.1,62,2026-08-19T14:45:00Z,PT15M
24,303,98,19,9.8,39.6,65,2026-08-19T15:00:00Z,PT15M
24,276,95,16.4,9.9,39.9,67,2026-08-19T15:15:00Z,PT15M
24,250,92,12.5,10.1,40.9,70,2026-08-19T15:30:00Z,PT15M
24,220,89,9.4,10.2,42,72,2026-08-19T15:45:00Z,PT15M
24,183,87,8.3,10.4,43.1,75,2026-08-19T16:00:00Z,PT15M
23,144,84,8.5,10.5,44.4,77,2026-08-19T16:15:00Z,PT15M
23,107,81,9.3,10.5,45.9,80,2026-08-19T16:30:00Z,PT15M
22,72,79,10.5,10.6,47.6,83,2026-08-19T16:45:00Z,PT15M
22,42,76,11,10.6,49.3,85,2026-08-19T17:00:00Z,PT15M
21,17,73,11.2,10.6,51.2,88,2026-08-19T17:15:00Z,PT15M
20,1,71,11.2,10.6,53.4,90,2026-08-19T17:30:00Z,PT15M
20,0,68,11.2,10.6,55.7,92,2026-08-19T17:45:00Z,PT15M
19,0,65,11.2,10.6,58.1,95,2026-08-19T18:00:00Z,PT15M
19,0,62,11.2,10.6,59.8,97,2026-08-19T18:15:00Z,PT15M
18,0,59,11.2,10.6,60.8,99,2026-08-19T18:30:00Z,PT15M
18,0,56,11.2,10.5,61.9,102,2026-08-19T18:45:00Z,PT15M
18,0,53,11.2,10.5,63,104,2026-08-19T19:00:00Z,PT15M
17,0,50,11,10.5,63.8,106,2026-08-19T19:15:00Z,PT15M
17,0,47,10.5,10.5,64.3,108,2026-08-19T19:30:00Z,PT15M
17,0,44,10.1,10.5,64.8,109,2026-08-19T19:45:00Z,PT15M
17,0,40,9.7,10.5,65.3,111,2026-08-19T20:00:00Z,PT15M
17,0,37,9.3,10.5,65.9,113,2026-08-19T20:15:00Z,PT15M
17,0,33,8.8,10.5,66.5,114,2026-08-19T20:30:00Z,PT15M
17,0,29,8.4,10.6,67.1,116,2026-08-19T20:45:00Z,PT15M
17,0,25,8,10.6,67.8,117,2026-08-19T21:00:00Z,PT15M
