air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
28,692,126,0.4,10.1,32.4,44,2026-08-19T12:45:00Z,PT15M
28,637,122,4.2,10,32.5,46,2026-08-19T13:00:00Z,PT15M
28,568,118,10.3,9.9,32,48,2026-08-19T13:15:00Z,PT15M
29,491,114,17.9,9.8,31.1,51,2026-08-19T13:30:00Z,PT15M
29,476,111,15.1,9.7,30.1,53,2026-08-19T13:45:00Z,PT15M
29,461,107,11.8,9.6,29.2,56,2026-08-19T14:00:00Z,PT15M
30,413,104,14.3,9.5,28.7,58,2026-08-19T14:15:00Z,PT15M
30,373,101,15,9.4,28.5,61,2026-08-19T14:30:00Z,PT15M
30,350,98,11.4,9.3,28.3,63,2026-08-19T14:45:00Z,PT15M
30,321,95,8.5,9.2,28.2,66,2026-08-19T15:00:00Z,PT15M
29,286,93,6.6,9.2,28.3,69,2026-08-19T15:15:00Z,PT15M
29,245,90,6.3,9.2,28.9,71,2026-08-19T15:30:00Z,PT15M
29,203,87,6.5,9.2,29.4,74,2026-08-19T15:45:00Z,PT15M
29,162,85,6.7,9.2,30,76,2026-08-19T16:00:00Z,PT15M
28,123,82,7.1,9.2,31.1,79,2026-08-19T16:15:00Z,PT15M
27,85,80,8.2,9.3,32.7,82,2026-08-19T16:30:00Z,PT15M
26,52,77,8.8,9.4,34.5,84,2026-08-19T16:45:00Z,PT15M
26,25,74,9.3,9.5,36.3,87,2026-08-19T17:00:00Z,PT15M
25,4,72,9.5,9.5,37.8,89,2026-08-19T17:15:00Z,PT15M
24,0,69,9.5,9.5,38.8,92,2026-08-19T17:30:00Z,PT15M
24,0,66,9.5,9.5,39.9,94,2026-08-19T17:45:00Z,PT15M
24,0,64,9.5,9.5,41,97,2026-08-19T18:00:00Z,PT15M
23,0,61,9.5,9.5,41.6,99,2026-08-19T18:15:00Z,PT15M
23,0,58,9.5,9.5,41.7,101,2026-08-19T18:30:00Z,PT15M
23,0,55,9.5,9.5,41.8,104,2026-08-19T18:45:00Z,PT15M
23,0,52,9.5,9.5,42,106,2026-08-19T19:00:00Z,PT15M
23,0,49,9.3,9.5,42.4,108,2026-08-19T19:15:00Z,PT15M
23,0,45,8.8,9.5,43,110,2026-08-19T19:30:00Z,PT15M
23,0,42,8.4,9.5,43.7,112,2026-08-19T19:45:00Z,PT15M
22,0,39,8,9.5,44.3,113,2026-08-19T20:00:00Z,PT15M
22,0,35,7.7,9.5,45,115,2026-08-19T20:15:00Z,PT15M
22,0,31,7.7,9.6,45.6,116,2026-08-19T20:30:00Z,PT15M
22,0,27,7.7,9.6,46.3,118,2026-08-19T20:45:00Z,PT15M
22,0,24,7.7,9.7,46.9,119,2026-08-19T21:00:00Z,PT15M
21,0,19,7.5,9.7,47.5,120,2026-08-19T21:15:00Z,PT15M
21,0,15,7.1,9.7,48.1,121,2026-08-19T21:30:00Z,PT15M
21,0,11,6.6,9.8,48.7,121,2026-08-19T21:45:00Z,PT15M
21,0,7,6.2,9.8,49.3,122,2026-08-19T22:00:00Z,PT15M
21,0,3,5.8,9.8,50,122,2026-08-19T22:15:00Z,PT15M
20,0,-2,5.3,9.9,50.7,122,2026-08-19T22:30:00Z,PT15M
20,0,-6,4.9,9.9,51.4,122,2026-08-19T22:45:00Z,PT15M
20,0,-10,4.4,10,52.2,121,2026-08-19T23:00:00Z,PT15M
20,0,-14,4,10,52.8,121,2026-08-19T23:15:00Z,PT15M
20,0,-19,3.5,10.1,53.4,120,2026-08-19T23:30:00Z,PT15M
20,0,-23,3.1,10.1,54,119,2026-08-19T23:45:00Z,PT15M
20,0,-27,2.7,10.2,54.6,118,2026-08-20,PT15M
20,0,-30,2.2,10.2,55.1,117,2026-08-20T00:15:00Z,PT15M
19,0,-34,1.8,10.2,55.5,115,2026-08-20T00:30:00Z,PT15M
19,0,-38,1.3,10.3,55.8,114,2026-08-20T00:45:00Z,PT15M
19,0,-41,0.9,10.3,56.2,112,2026-08-20T01:00:00Z,PT15M
19,0,-45,0,10.3,56.4,110,2026-08-20T01:15:00Z,PT15M
19,0,-48,0,10.3,56.6,108,2026-08-20T01:30:00Z,PT15M
19,0,-51,0,10.3,56.8,106,2026-08-20T01:45:00Z,PT15M
19,0,-54,0,10.3,57,104,2026-08-20T02:00:00Z,PT15M
19,0,-57,0,10.3,57.1,102,2026-08-20T02:15:00Z,PT15M
19,0,-60,0,10.3,57.2,100,2026-08-20T02:30:00Z,PT15M
19,0,-63,0,10.2,57.2,97,2026-08-20T02:45:00Z,PT15M
19,0,-66,0,10.2,57.3,95,2026-08-20T03:00:00Z,PT15M
19,0,-69,0,10.2,57.1,93,2026-08-20T03:15:00Z,PT15M
19,2,-71,0,10.2,56.5,90,2026-08-20T03:30:00Z,PT15M
19,20,-74,0,10.3,55.8,88,2026-08-20T03:45:00Z,PT15M
20,49,-77,0,10.3,55.2,85,2026-08-20T04:00:00Z,PT15M
20,84,-79,0,10.3,53.7,82,2026-08-20T04:15:00Z,PT15M
21,123,-82,0,10.4,51.3,80,2026-08-20T04:30:00Z,PT15M
22,165,-84,0,10.4,49,77,2026-08-20T04:45:00Z,PT15M
22,208,-87,0,10.5,46.8,75,2026-08-20T05:00:00Z,PT15M
23,253,-90,0,10.6,44.9,72,2026-08-20T05:15:00Z,PT15M
24,298,-92,0,10.6,43.2,69,2026-08-20T05:30:00Z,PT15M
25,343,-95,0,10.8,41.6,67,2026-08-20T05:45:00Z,PT15M
25,387,-98,0,10.8,40,64,2026-08-20T06:00:00Z,PT15M
26,431,-101,0,10.9,38.6,61,2026-08-20T06:15:00Z,PT15M
27,473,-104,0,11,37.3,59,2026-08-20T06:30:00Z,PT15M
28,515,-107,0,11.1,36,56,2026-08-20T06:45:00Z,PT15M
28,554,-110,0,11.2,34.8,54,2026-08-20T07:00:00Z,PT15M
29,592,-113,0,11.1,33.4,51,2026-08-20T07:15:00Z,PT15M
29,628,-117,0,10.9,32,49,2026-08-20T07:30:00Z,PT15M
30,662,-121,0,10.8,30.6,47,2026-08-20T07:45:00Z,PT15M
31,693,-125,0,10.6,29.2,44,2026-08-20T08:00:00Z,PT15M
31,722,-129,0,10.4,28,42,2026-08-20T08:15:00Z,PT15M
32,748,-134,0,10.2,26.8,40,2026-08-20T08:30:00Z,PT15M
32,771,-139,0,9.9,25.7,38,2026-08-20T08:45:00Z,PT15M
33,791,-144,0,9.7,24.7,37,2026-08-20T09:00:00Z,PT15M
33,808,-150,0,9.5,23.8,35,2026-08-20T09:15:00Z,PT15M
33,822,-156,0,9.4,23.2,34,2026-08-20T09:30:00Z,PT15M
34,832,-163,0,9.2,22.5,33,2026-08-20T09:45:00Z,PT15M
34,839,-169,0,9.1,21.9,33,2026-08-20T10:00:00Z,PT15M
34,842,-176,0,8.9,21.4,32,2026-08-20T10:15:00Z,PT15M
34,843,177,0,8.8,20.9,32,2026-08-20T10:30:00Z,PT15M
35,840,170,0,8.8,20.5,33,2026-08-20T10:45:00Z,PT15M
35,833,164,0,8.6,20.1,33,2026-08-20T11:00:00Z,PT15M
35,823,157,0,8.6,19.7,34,2026-08-20T11:15:00Z,PT15M
35,810,151,0,8.5,19.4,35,2026-08-20T11:30:00Z,PT15M
36,793,146,0,8.5,19.2,37,2026-08-20T11:45:00Z,PT15M
36,774,140,0,8.4,18.9,38,2026-08-20T12:00:00Z,PT15M
36,751,135,0,8.4,18.7,40,2026-08-20T12:15:00Z,PT15M
36,725,130,0,8.3,18.5,42,2026-08-20T12:30:00Z,PT15M
36,697,126,0,8.3,18.4,44,2026-08-20T12:45:00Z,PT15M
36,666,122,0,8.2,18.3,46,2026-08-20T13:00:00Z,PT15M
36,633,118,0,8.2,18.1,48,2026-08-20T13:15:00Z,PT15M
36,597,114,0,8.1,18,51,2026-08-20T13:30:00Z,PT15M
36,559,111,0,8.1,17.9,53,2026-08-20T13:45:00Z,PT15M
36,519,108,0,8,17.8,56,2026-08-20T14:00:00Z,PT15M
36,478,104,0,8,17.8,58,2026-08-20T14:15:00Z,PT15M
36,435,101,0,7.9,17.8,61,2026-08-20T14:30:00Z,PT15M
36,392,99,0,7.9,17.9,64,2026-08-20T14:45:00Z,PT15M
36,347,96,0,7.8,18,66,2026-08-20T15:00:00Z,PT15M
36,302,93,0,7.8,18.2,69,2026-08-20T15:15:00Z,PT15M
35,256,90,0,8,18.6,71,2026-08-20T15:30:00Z,PT15M
35,212,88,0,8.1,19,74,2026-08-20T15:45:00Z,PT15M
35,168,85,0,8.2,19.4,77,2026-08-20T16:00:00Z,PT15M
34,126,82,0,8.2,20.3,79,2026-08-20T16:15:00Z,PT15M
33,86,80,0,8.2,21.6,82,2026-08-20T16:30:00Z,PT15M
32,51,77,0,8.2,23.1,85,2026-08-20T16:45:00Z,PT15M
31,23,75,0,8.2,24.7,87,2026-08-20T17:00:00Z,PT15M
30,3,72,0,8.2,25.8,90,2026-08-20T17:15:00Z,PT15M
29,0,69,0,8.2,26.5,92,2026-08-20T17:30:00Z,PT15M
29,0,67,0,8.1,27.2,95,2026-08-20T17:45:00Z,PT15M
28,0,64,0,8.1,27.9,97,2026-08-20T18:00:00Z,PT15M
28,0,61,0,8.2,28.9,99,2026-08-20T18:15:00Z,PT15M
28,0,58,0,8.5,30.1,102,2026-08-20T18:30:00Z,PT15M
27,0,55,0,8.7,31.4,104,2026-08-20T18:45:00Z,PT15M
27,0,52,0,9,32.7,106,2026-08-20T19:00:00Z,PT15M
26,0,49,0,9.4,34.6,108,2026-08-20T19:15:00Z,PT15M
26,0,46,0,9.9,37.2,110,2026-08-20T19:30:00Z,PT15M
25,0,42,0,10.4,40,112,2026-08-20T19:45:00Z,PT15M
24,0,39,0,10.9,43,114,2026-08-20T20:00:00Z,PT15M
24,0,35,0,11.3,45.5,115,2026-08-20T20:15:00Z,PT15M
23,0,31,0,11.5,47.4,117,2026-08-20T20:30:00Z,PT15M
23,0,28,0,11.7,49.3,118,2026-08-20T20:45:00Z,PT15M
22,0,24,0,11.9,51.4,119,2026-08-20T21:00:00Z,PT15M
22,0,20,0,12,53.1,120,2026-08-20T21:15:00Z,PT15M
22,0,15,0,12.1,54.4,121,2026-08-20T21:30:00Z,PT15M
21,0,11,0,12.2,55.8,121,2026-08-20T21:45:00Z,PT15M
21,0,7,0,12.3,57.2,122,2026-08-20T22:00:00Z,PT15M
21,0,3,0,12.3,58.4,122,2026-08-20T22:15:00Z,PT15M
21,0,-2,0,12.4,59.5,122,2026-08-20T22:30:00Z,PT15M
20,0,-6,0,12.5,60.7,122,2026-08-20T22:45:00Z,PT15M
20,0,-10,0,12.6,61.8,122,2026-08-20T23:00:00Z,PT15M
20,0,-15,0,12.6,62.8,121,2026-08-20T23:15:00Z,PT15M
20,0,-19,0,12.7,63.5,120,2026-08-20T23:30:00Z,PT15M
20,0,-23,0,12.7,64.2,119,2026-08-20T23:45:00Z,PT15M
20,0,-27,0,12.8,64.9,118,2026-08-21,PT15M
20,0,-31,0,12.8,65.5,117,2026-08-21T00:15:00Z,PT15M
19,0,-34,0,12.8,66,115,2026-08-21T00:30:00Z,PT15M
19,0,-38,0,12.9,66.5,114,2026-08-21T00:45:00Z,PT15M
19,0,-42,0,12.9,67,112,2026-08-21T01:00:00Z,PT15M
19,0,-45,0,12.9,67.5,110,2026-08-21T01:15:00Z,PT15M
19,0,-48,0,12.9,67.8,109,2026-08-21T01:30:00Z,PT15M
19,0,-52,0,13,68.1,106,2026-08-21T01:45:00Z,PT15M
19,0,-55,0,13,68.4,104,2026-08-21T02:00:00Z,PT15M
19,0,-58,0,13,68.9,102,2026-08-21T02:15:00Z,PT15M
19,0,-61,0,13,69.4,100,2026-08-21T02:30:00Z,PT15M
19,0,-63,0,13.1,70,98,2026-08-21T02:45:00Z,PT15M
19,0,-66,0,13.1,70.5,95,2026-08-21T03:00:00Z,PT15M
19,0,-69,0,13.1,70.4,93,2026-08-21T03:15:00Z,PT15M
19,1,-72,0,13.1,69.6,90,2026-08-21T03:30:00Z,PT15M
19,16,-74,0,13.1,68.9,88,2026-08-21T03:45:00Z,PT15M
19,42,-77,0,13.1,68.1,85,2026-08-21T04:00:00Z,PT15M
20,74,-79,0,13.1,66.1,83,2026-08-21T04:15:00Z,PT15M
20,111,-82,0,13,62.9,80,2026-08-21T04:30:00Z,PT15M
21,152,-85,0,12.9,59.9,77,2026-08-21T04:45:00Z,PT15M
22,194,-87,0,12.8,57,75,2026-08-21T05:00:00Z,PT15M
23,238,-90,0,12.7,54,72,2026-08-21T05:15:00Z,PT15M
23,283,-93,0,12.5,50.9,69,2026-08-21T05:30:00Z,PT15M
24,328,-95,0,12.3,48,67,2026-08-21T05:45:00Z,PT15M
25,372,-98,0,12.1,45.3,64,2026-08-21T06:00:00Z,PT15M
26,416,-101,0,11.8,42.6,62,2026-08-21T06:15:00Z,PT15M
26,460,-104,0,11.5,39.8,59,2026-08-21T06:30:00Z,PT15M
27,502,-107,0,11.2,37.2,56,2026-08-21T06:45:00Z,PT15M
28,542,-110,0,10.9,34.8,54,2026-08-21T07:00:00Z,PT15M
29,581,-114,0,10.6,32.7,51,2026-08-21T07:15:00Z,PT15M
29,617,-117,0,10.3,30.7,49,2026-08-21T07:30:00Z,PT15M
30,651,-121,0,10,28.9,47,2026-08-21T07:45:00Z,PT15M
31,682,-125,0,9.7,27.3,45,2026-08-21T08:00:00Z,PT15M
31,711,-130,0,9.5,25.9,43,2026-08-21T08:15:00Z,PT15M
32,737,-134,0,9.4,24.8,41,2026-08-21T08:30:00Z,PT15M
33,760,-139,0,9.2,23.7,39,2026-08-21T08:45:00Z,PT15M
33,780,-145,0,9.1,22.7,37,2026-08-21T09:00:00Z,PT15M
34,797,-150,0,9,21.9,36,2026-08-21T09:15:00Z,PT15M
34,810,-156,0,8.9,21.3,35,2026-08-21T09:30:00Z,PT15M
35,821,-163,0,8.9,20.7,34,2026-08-21T09:45:00Z,PT15M
35,828,-169,0,8.8,20.1,33,2026-08-21T10:00:00Z,PT15M
36,832,-176,0,8.8,19.6,33,2026-08-21T10:15:00Z,PT15M
36,832,177,0,8.8,19.3,33,2026-08-21T10:30:00Z,PT15M
36,829,170,0,8.7,18.9,33,2026-08-21T10:45:00Z,PT15M
36,822,164,0,8.7,18.6,33,2026-08-21T11:00:00Z,PT15M
37,813,157,0,8.7,18.3,34,2026-08-21T11:15:00Z,PT15M
37,800,151,0,8.6,18.1,36,2026-08-21T11:30:00Z,PT15M
37,783,146,0,8.6,17.8,37,2026-08-21T11:45:00Z,PT15M
37,764,140,0,8.5,17.6,38,2026-08-21T12:00:00Z,PT15M
37,741,135,0,8.5,17.4,40,2026-08-21T12:15:00Z,PT15M
37,716,131,0,8.4,17.2,42,2026-08-21T12:30:00Z,PT15M
38,687,126,0,8.3,17,44,2026-08-21T12:45:00Z,PT15M
38,656,122,0,8.2,16.8,46,2026-08-21T13:00:00Z,PT15M
38,623,118,0,8.2,16.7,49,2026-08-21T13:15:00Z,PT15M
38,587,114,0,8.2,16.7,51,2026-08-21T13:30:00Z,PT15M
38,549,111,0,8.2,16.8,54,2026-08-21T13:45:00Z,PT15M
38,510,108,0,8.2,16.8,56,2026-08-21T14:00:00Z,PT15M
37,468,105,0,8.2,16.9,59,2026-08-21T14:15:00Z,PT15M
37,426,102,0,8.2,17.1,61,2026-08-21T14:30:00Z,PT15M
37,383,99,0,8.2,17.3,64,2026-08-21T14:45:00Z,PT15M
37,339,96,0,8.2,17.5,66,2026-08-21T15:00:00Z,PT15M
36,294,93,0,8.2,17.9,69,2026-08-21T15:15:00Z,PT15M
36,249,90,0,8.2,18.7,72,2026-08-21T15:30:00Z,PT15M
35,205,88,0,8.3,19.4,74,2026-08-21T15:45:00Z,PT15M
34,161,85,0,8.3,20.2,77,2026-08-21T16:00:00Z,PT15M
33,120,83,0,8.3,21.2,80,2026-08-21T16:15:00Z,PT15M
32,82,80,0,8.2,22.5,82,2026-08-21T16:30:00Z,PT15M
31,48,77,0,8.1,23.8,85,2026-08-21T16:45:00Z,PT15M
30,20,75,0,8,25.3,87,2026-08-21T17:00:00Z,PT15M
29,2,72,0.9,8.1,26.8,90,2026-08-21T17:15:00Z,PT15M
28,0,70,1.3,8.2,28.5,92,2026-08-21T17:30:00Z,PT15M
27,0,67,1.8,8.2,30.3,95,2026-08-21T17:45:00Z,PT15M
26,0,64,2.2,8.4,32.2,97,2026-08-21T18:00:00Z,PT15M
26,0,61,2.4,8.5,34,100,2026-08-21T18:15:00Z,PT15M
25,0,58,2.4,8.6,35.8,102,2026-08-21T18:30:00Z,PT15M
24,0,55,2.4,8.8,37.7,104,2026-08-21T18:45:00Z,PT15M
23,0,52,2.4,8.9,39.6,106,2026-08-21T19:00:00Z,PT15M
23,0,49,2.7,9.1,41.3,108,2026-08-21T19:15:00Z,PT15M
23,0,46,3.1,9.3,42.7,110,2026-08-21T19:30:00Z,PT15M
22,0,42,3.5,9.4,44.1,112,2026-08-21T19:45:00Z,PT15M
22,0,39,4,9.6,45.6,114,2026-08-21T20:00:00Z,PT15M
22,0,35,4.2,9.8,46.9,115,2026-08-21T20:15:00Z,PT15M
21,0,31,4.2,9.9,47.8,117,2026-08-21T20:30:00Z,PT15M
