period_end,air_temp,azimuth,cloud_opacity,dewpoint_temp,ghi,period,relative_humidity,zenith
2025-12-04T16:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-12-04T17:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-12-04T18:00:00Z,11.0,111.0,46.8,7.4,0.0,PT60M,81.1,100.0
2025-12-04T19:00:00Z,10.0,102.0,49.7,7.3,0.0,PT60M,84.2,110.0
2025-12-04T20:00:00Z,9.0,91.0,52.8,7.4,0.0,PT60M,88.8,121.0
2025-12-04T21:00:00Z,9.0,80.0,55.4,7.7,0.0,PT60M,93.4,131.0
2025-12-04T22:00:00Z,8.0,66.0,56.4,8.0,0.0,PT60M,96.7,141.0
2025-12-04T23:00:00Z,9.0,47.0,57.6,8.2,0.0,PT60M,98.3,150.0
2025-12-05,9.0,19.0,59.4,8.5,0.0,PT60M,98.3,156.0
2025-12-05T01:00:00Z,9.0,-15.0,61.7,8.8,0.0,PT60M,97.7,156.0
2025-12-05T02:00:00Z,10.0,-45.0,63.3,9.0,0.0,PT60M,96.4,151.0
2025-12-05T03:00:00Z,10.0,-64.0,63.3,9.0,0.0,PT60M,94.4,142.0
2025-12-05T04:00:00Z,10.0,-79.0,62.8,8.8,0.0,PT60M,92.9,132.0
2025-12-05T05:00:00Z,10.0,-90.0,62.8,8.6,0.0,PT60M,91.9,122.0
2025-12-05T06:00:00Z,10.0,-101.0,63.3,8.6,0.0,PT60M,91.9,111.0
2025-12-05T07:00:00Z,10.0,-110.0,63.3,8.6,0.0,PT60M,92.5,101.0
2025-12-05T08:00:00Z,10.0,-121.0,63.3,8.5,1.0,PT60M,92.9,92.0
2025-12-05T09:00:00Z,10.0,-132.0,64.4,8.5,23.0,PT60M,92.5,83.0
2025-12-05T10:00:00Z,10.0,-144.0,65.4,8.4,58.0,PT60M,91.3,76.0
2025-12-05T11:00:00Z,10.0,-157.0,68.1,8.4,84.0,PT60M,90.1,71.0
2025-12-05T12:00:00Z,10.0,-172.0,66.0,8.4,108.0,PT60M,90.1,68.0
2025-12-05T13:00:00Z,10.0,173.0,65.9,8.4,108.0,PT60M,90.4,68.0
2025-12-05T14:00:00Z,10.0,159.0,66.0,8.4,90.0,PT60M,90.4,70.0
2025-12-05T15:00:00Z,10.0,145.0,65.6,8.2,61.0,PT60M,89.5,75.0
2025-12-05T16:00:00Z,10.0,133.0,66.8,7.8,24.0,PT60M,87.1,82.0
2025-12-05T17:00:00Z,10.0,122.0,63.9,7.2,2.0,PT60M,83.9,91.0
2025-12-05T18:00:00Z,9.0,112.0,65.0,6.3,0.0,PT60M,82.1,100.0
2025-12-05T19:00:00Z,9.0,102.0,66.6,5.7,0.0,PT60M,82.6,110.0
2025-12-05T20:00:00Z,8.0,92.0,67.1,5.5,0.0,PT60M,83.9,121.0
2025-12-05T21:00:00Z,8.0,80.0,67.6,5.2,0.0,PT60M,83.1,131.0
2025-12-05T22:00:00Z,8.0,67.0,68.1,4.7,0.0,PT60M,80.5,141.0
2025-12-05T23:00:00Z,8.0,47.0,67.1,4.4,0.0,PT60M,79.6,150.0
2025-12-06,7.0,19.0,66.6,4.2,0.0,PT60M,80.7,156.0
2025-12-06T01:00:00Z,7.0,-15.0,66.1,4.0,0.0,PT60M,82.1,156.0
2025-12-06T02:00:00Z,7.0,-44.0,65.0,3.8,0.0,PT60M,82.6,151.0
2025-12-06T03:00:00Z,6.0,-65.0,64.4,3.6,0.0,PT60M,82.9,142.0
2025-12-06T04:00:00Z,6.0,-79.0,63.9,3.3,0.0,PT60M,82.2,132.0
2025-12-06T05:00:00Z,6.0,-90.0,65.5,2.9,0.0,PT60M,81.4,122.0
2025-12-06T06:00:00Z,6.0,-101.0,64.4,2.6,0.0,PT60M,80.7,111.0
2025-12-06T07:00:00Z,5.0,-110.0,61.7,2.3,0.0,PT60M,80.7,101.0
2025-12-06T08:00:00Z,5.0,-121.0,61.1,2.0,1.0,PT60M,80.7,92.0
2025-12-06T09:00:00Z,5.0,-132.0,61.2,1.7,22.0,PT60M,79.5,83.0
2025-12-06T10:00:00Z,5.0,-144.0,56.8,1.7,63.0,PT60M,76.8,76.0
2025-12-06T11:00:00Z,6.0,-157.0,62.1,1.6,86.0,PT60M,73.9,71.0
2025-12-06T12:00:00Z,6.0,-172.0,61.2,1.7,106.0,PT60M,71.9,68.0
2025-12-06T13:00:00Z,7.0,173.0,54.3,1.8,125.0,PT60M,70.5,68.0
2025-12-06T14:00:00Z,7.0,159.0,55.4,1.9,102.0,PT60M,71.7,70.0
2025-12-06T15:00:00Z,6.0,145.0,58.9,1.8,62.0,PT60M,73.7,75.0
2025-12-06T16:00:00Z,6.0,133.0,64.3,1.6,22.0,PT60M,73.6,82.0
2025-12-06T17:00:00Z,6.0,122.0,60.5,1.5,2.0,PT60M,73.4,91.0
2025-12-06T18:00:00Z,6.0,112.0,59.4,1.6,0.0,PT60M,74.7,100.0
2025-12-06T19:00:00Z,6.0,102.0,61.1,1.9,0.0,PT60M,77.6,110.0
2025-12-06T20:00:00Z,6.0,92.0,61.7,2.0,0.0,PT60M,78.2,121.0
2025-12-06T21:00:00Z,6.0,81.0,61.7,1.8,0.0,PT60M,76.3,131.0
2025-12-06T22:00:00Z,6.0,67.0,61.7,1.8,0.0,PT60M,76.5,141.0
2025-12-06T23:00:00Z,6.0,48.0,61.1,2.1,0.0,PT60M,76.8,150.0
2025-12-07,6.0,19.0,59.9,2.0,0.0,PT60M,75.5,156.0
2025-12-07T01:00:00Z,6.0,-15.0,59.9,2.1,0.0,PT60M,75.5,156.0
2025-12-07T02:00:00Z,6.0,-44.0,61.1,2.3,0.0,PT60M,76.3,151.0
2025-12-07T03:00:00Z,6.0,-65.0,60.5,2.4,0.0,PT60M,76.9,143.0
2025-12-07T04:00:00Z,6.0,-79.0,59.4,2.5,0.0,PT60M,78.3,133.0
2025-12-07T05:00:00Z,6.0,-90.0,58.8,2.6,0.0,PT60M,79.6,122.0
2025-12-07T06:00:00Z,6.0,-101.0,58.2,2.8,0.0,PT60M,80.8,112.0
2025-12-07T07:00:00Z,6.0,-110.0,57.6,2.8,0.0,PT60M,82.5,101.0
2025-12-07T08:00:00Z,5.0,-121.0,56.4,2.8,1.0,PT60M,83.3,92.0
2025-12-07T09:00:00Z,5.0,-132.0,55.5,2.8,24.0,PT60M,83.0,83.0
2025-12-07T10:00:00Z,6.0,-144.0,50.1,2.8,73.0,PT60M,81.6,76.0
2025-12-07T11:00:00Z,6.0,-157.0,48.7,2.8,120.0,PT60M,80.5,71.0
2025-12-07T12:00:00Z,6.0,-171.0,47.9,2.6,150.0,PT60M,78.6,68.0
2025-12-07T13:00:00Z,6.0,174.0,48.3,2.5,151.0,PT60M,75.9,68.0
2025-12-07T14:00:00Z,7.0,159.0,50.4,2.3,122.0,PT60M,74.5,70.0
2025-12-07T15:00:00Z,7.0,145.0,52.3,2.2,78.0,PT60M,74.0,75.0
2025-12-07T16:00:00Z,6.0,133.0,55.3,2.2,30.0,PT60M,75.6,82.0
2025-12-07T17:00:00Z,6.0,122.0,50.7,2.1,2.0,PT60M,77.9,91.0
2025-12-07T18:00:00Z,5.0,112.0,48.1,1.9,0.0,PT60M,78.7,100.0
2025-12-07T19:00:00Z,5.0,102.0,48.1,1.6,0.0,PT60M,78.9,110.0
2025-12-07T20:00:00Z,5.0,92.0,46.7,1.3,0.0,PT60M,80.0,121.0
2025-12-07T21:00:00Z,4.0,81.0,47.4,1.2,0.0,PT60M,81.4,131.0
2025-12-07T22:00:00Z,4.0,67.0,50.7,1.2,0.0,PT60M,82.0,141.0
2025-12-07T23:00:00Z,4.0,48.0,52.6,1.0,0.0,PT60M,82.2,150.0
2025-12-08,4.0,20.0,48.0,1.0,0.0,PT60M,82.8,156.0
2025-12-08T01:00:00Z,4.0,-15.0,36.8,0.9,0.0,PT60M,83.4,157.0
2025-12-08T02:00:00Z,3.0,-44.0,25.2,0.8,0.0,PT60M,83.7,151.0
2025-12-08T03:00:00Z,3.0,-65.0,18.7,0.6,0.0,PT60M,83.4,143.0
2025-12-08T04:00:00Z,3.0,-79.0,18.7,0.6,0.0,PT60M,82.8,133.0
2025-12-08T05:00:00Z,3.0,-90.0,19.5,0.6,0.0,PT60M,83.3,122.0
2025-12-08T06:00:00Z,3.0,-101.0,18.7,0.4,0.0,PT60M,84.8,112.0
2025-12-08T07:00:00Z,2.0,-110.0,14.4,0.4,0.0,PT60M,86.3,102.0
2025-12-08T08:00:00Z,2.0,-121.0,10.0,0.4,2.0,PT60M,87.3,92.0
2025-12-08T09:00:00Z,3.0,-132.0,9.8,0.4,52.0,PT60M,85.4,84.0
2025-12-08T10:00:00Z,4.0,-144.0,10.8,0.5,142.0,PT60M,80.5,76.0
2025-12-08T11:00:00Z,5.0,-157.0,11.3,0.5,223.0,PT60M,74.8,71.0
2025-12-08T12:00:00Z,5.0,-171.0,11.3,0.6,271.0,PT60M,71.0,68.0
2025-12-08T13:00:00Z,6.0,174.0,11.2,0.8,276.0,PT60M,68.8,68.0
2025-12-08T14:00:00Z,7.0,159.0,11.8,1.0,236.0,PT60M,67.7,71.0
2025-12-08T15:00:00Z,7.0,146.0,14.6,1.2,179.0,PT60M,68.0,75.0
2025-12-08T16:00:00Z,7.0,133.0,19.7,1.5,77.0,PT60M,70.2,82.0
2025-12-08T17:00:00Z,6.0,122.0,22.0,1.6,6.0,PT60M,73.6,91.0
2025-12-08T18:00:00Z,5.0,112.0,22.0,1.3,0.0,PT60M,75.7,100.0
2025-12-08T19:00:00Z,5.0,102.0,22.0,1.1,0.0,PT60M,76.2,110.0
2025-12-08T20:00:00Z,5.0,92.0,22.8,0.9,0.0,PT60M,76.9,121.0
2025-12-08T21:00:00Z,4.0,81.0,23.6,0.8,0.0,PT60M,77.4,131.0
2025-12-08T22:00:00Z,4.0,67.0,23.6,0.6,0.0,PT60M,78.0,141.0
2025-12-08T23:00:00Z,4.0,48.0,20.3,0.6,0.0,PT60M,80.2,150.0
2025-12-09,3.0,20.0,17.8,0.4,0.0,PT60M,82.7,156.0
2025-12-09T01:00:00Z,3.0,-15.0,19.5,0.4,0.0,PT60M,84.2,157.0
2025-12-09T02:00:00Z,3.0,-44.0,23.6,0.3,0.0,PT60M,85.4,151.0
2025-12-09T03:00:00Z,2.0,-65.0,26.1,0.3,0.0,PT60M,86.6,143.0
2025-12-09T04:00:00Z,2.0,-79.0,26.1,0.4,0.0,PT60M,87.9,133.0
2025-12-09T05:00:00Z,2.0,-90.0,26.1,0.4,0.0,PT60M,89.1,122.0
2025-12-09T06:00:00Z,2.0,-101.0,26.1,0.4,0.0,PT60M,90.1,112.0
2025-12-09T07:00:00Z,2.0,-110.0,26.1,0.5,0.0,PT60M,90.8,102.0
2025-12-09T08:00:00Z,2.0,-121.0,25.3,0.6,2.0,PT60M,91.4,92.0
2025-12-09T09:00:00Z,3.0,-132.0,24.9,1.0,56.0,PT60M,89.7,84.0
2025-12-09T10:00:00Z,4.0,-144.0,21.2,1.6,152.0,PT60M,85.9,77.0
2025-12-09T11:00:00Z,5.0,-157.0,19.3,2.2,235.0,PT60M,82.2,71.0
2025-12-09T12:00:00Z,6.0,-171.0,18.3,2.7,283.0,PT60M,79.0,68.0
2025-12-09T13:00:00Z,7.0,174.0,17.6,3.0,289.0,PT60M,76.2,68.0
2025-12-09T14:00:00Z,8.0,159.0,17.8,3.3,250.0,PT60M,73.5,71.0
2025-12-09T15:00:00Z,8.0,146.0,19.9,3.6,172.0,PT60M,73.9,76.0
2025-12-09T16:00:00Z,8.0,134.0,26.0,3.8,71.0,PT60M,77.4,82.0
2025-12-09T17:00:00Z,7.0,122.0,27.7,3.9,5.0,PT60M,81.0,91.0
2025-12-09T18:00:00Z,7.0,112.0,27.7,4.0,0.0,PT60M,82.9,100.0
2025-12-09T19:00:00Z,7.0,102.0,28.5,4.0,0.0,PT60M,82.9,110.0
2025-12-09T20:00:00Z,7.0,92.0,29.2,4.0,0.0,PT60M,82.9,121.0
2025-12-09T21:00:00Z,7.0,81.0,28.5,4.0,0.0,PT60M,83.1,131.0
2025-12-09T22:00:00Z,7.0,67.0,26.9,4.0,0.0,PT60M,83.5,141.0
2025-12-09T23:00:00Z,6.0,48.0,25.3,3.9,0.0,PT60M,83.9,150.0
2025-12-10,7.0,20.0,31.5,3.9,0.0,PT60M,83.2,156.0
2025-12-10T01:00:00Z,7.0,-15.0,44.6,4.0,0.0,PT60M,81.5,157.0
2025-12-10T02:00:00Z,7.0,-44.0,56.3,4.0,0.0,PT60M,79.8,152.0
2025-12-10T03:00:00Z,8.0,-65.0,62.2,4.1,0.0,PT60M,79.0,143.0
2025-12-10T04:00:00Z,8.0,-79.0,62.8,4.3,0.0,PT60M,79.1,133.0
2025-12-10T05:00:00Z,8.0,-91.0,63.3,4.5,0.0,PT60M,79.1,123.0
2025-12-10T06:00:00Z,8.0,-101.0,63.3,4.7,0.0,PT60M,78.5,112.0
2025-12-10T07:00:00Z,9.0,-110.0,61.7,4.9,0.0,PT60M,77.3,102.0
2025-12-10T08:00:00Z,9.0,-121.0,59.9,5.0,1.0,PT60M,76.1,92.0
2025-12-10T09:00:00Z,9.0,-132.0,58.1,5.2,29.0,PT60M,75.6,84.0
2025-12-10T10:00:00Z,10.0,-144.0,49.0,5.5,95.0,PT60M,75.9,77.0
2025-12-10T11:00:00Z,10.0,-157.0,43.2,5.8,159.0,PT60M,76.1,71.0
2025-12-10T12:00:00Z,10.0,-171.0,40.4,6.0,200.0,PT60M,75.8,69.0
