air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
19,940,-146,0,5,39.3,27,2025-06-20T09:30:00Z,PT15M
19,951,-153,0,5,38.9,25,2025-06-20T09:45:00Z,PT15M
20,954,-161,1,5,38.5,24,2025-06-20T10:00:00Z,PT15M
20,923,-169,4,5,38.3,24,2025-06-20T10:15:00Z,PT15M
20,898,-178,7,5.1,38.2,23,2025-06-20T10:30:00Z,PT15M
20,902,173,7,5.2,38.2,24,2025-06-20T10:45:00Z,PT15M
20,912,165,5,5.3,38.2,24,2025-06-20T11:00:00Z,PT15M
20,924,157,3,5.3,38.1,25,2025-06-20T11:15:00Z,PT15M
20,928,149,2,5.4,38.2,26,2025-06-20T11:30:00Z,PT15M
20,924,142,1,5.5,38.2,27,2025-06-20T11:45:00Z,PT15M
20,911,136,0,5.6,38.2,29,2025-06-20T12:00:00Z,PT15M
20,893,130,0,5.6,38.3,31,2025-06-20T12:15:00Z,PT15M
20,871,125,0,5.7,38.4,33,2025-06-20T12:30:00Z,PT15M
20,846,120,0,5.7,38.6,35,2025-06-20T12:45:00Z,PT15M
20,818,116,0,5.8,38.7,37,2025-06-20T13:00:00Z,PT15M
20,788,112,0,5.9,39,40,2025-06-20T13:15:00Z,PT15M
20,755,108,0,6,39.6,42,2025-06-20T13:30:00Z,PT15M
20,720,105,0,6.2,40.2,45,2025-06-20T13:45:00Z,PT15M
20,683,101,0,6.3,40.8,47,2025-06-20T14:00:00Z,PT15M
20,644,98,0,6.6,41.7,50,2025-06-20T14:15:00Z,PT15M
20,604,95,0,6.8,42.7,52,2025-06-20T14:30:00Z,PT15M
20,562,92,0,7.2,43.8,55,2025-06-20T14:45:00Z,PT15M
20,519,90,0,7.4,45,57,2025-06-20T15:00:00Z,PT15M
20,475,87,0,7.6,46,60,2025-06-20T15:15:00Z,PT15M
19,430,84,0,7.7,46.9,63,2025-06-20T15:30:00Z,PT15M
19,385,82,1,7.8,47.9,65,2025-06-20T15:45:00Z,PT15M
19,339,79,1,7.9,48.9,68,2025-06-20T16:00:00Z,PT15M
18,294,77,1,7.8,49.8,70,2025-06-20T16:15:00Z,PT15M
18,250,74,2,7.7,50.6,73,2025-06-20T16:30:00Z,PT15M
18,208,72,2,7.6,51.3,75,2025-06-20T16:45:00Z,PT15M
17,166,69,3,7.5,52.1,77,2025-06-20T17:00:00Z,PT15M
17,128,66,3,7.3,53.1,80,2025-06-20T17:15:00Z,PT15M
16,92,64,2,7,54.2,82,2025-06-20T17:30:00Z,PT15M
16,60,61,1,6.8,55.4,84,2025-06-20T17:45:00Z,PT15M
15,32,59,0,6.5,56.5,87,2025-06-20T18:00:00Z,PT15M
14,9,56,0,6.3,57.7,89,2025-06-20T18:15:00Z,PT15M
14,0,53,0,6,58.9,91,2025-06-20T18:30:00Z,PT15M
13,0,50,0,5.8,60.1,93,2025-06-20T18:45:00Z,PT15M
13,0,48,0,5.5,61.3,95,2025-06-20T19:00:00Z,PT15M
12,0,45,0,5.3,61.9,97,2025-06-20T19:15:00Z,PT15M
12,0,42,0,5.1,61.9,98,2025-06-20T19:30:00Z,PT15M
12,0,39,0,5,61.8,100,2025-06-20T19:45:00Z,PT15M
12,0,36,0,4.8,61.8,102,2025-06-20T20:00:00Z,PT15M
12,0,32,0,4.6,61.8,103,2025-06-20T20:15:00Z,PT15M
12,0,29,0,4.6,61.9,104,2025-06-20T20:30:00Z,PT15M
12,0,26,0,4.4,62,106,2025-06-20T20:45:00Z,PT15M
