air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
26,630,101,0,13,44,48,2025-06-02T14:00:00Z,PT15M
26,591,98,0,13.3,45.1,51,2025-06-02T14:15:00Z,PT15M
26,550,95,0,13.8,46.7,53,2025-06-02T14:30:00Z,PT15M
26,502,92,1,14.3,48.4,56,2025-06-02T14:45:00Z,PT15M
26,452,90,3,14.8,50.1,58,2025-06-02T15:00:00Z,PT15M
26,403,87,4,15.2,52.1,61,2025-06-02T15:15:00Z,PT15M
26,357,84,6,15.7,54.3,64,2025-06-02T15:30:00Z,PT15M
26,311,82,7,16.2,56.5,66,2025-06-02T15:45:00Z,PT15M
25,267,79,8,16.7,58.9,69,2025-06-02T16:00:00Z,PT15M
25,224,77,9,16.8,60.6,72,2025-06-02T16:15:00Z,PT15M
24,185,74,9,16.4,61.7,74,2025-06-02T16:30:00Z,PT15M
24,147,72,10,16.2,62.9,77,2025-06-02T16:45:00Z,PT15M
23,112,70,10,15.8,64.1,79,2025-06-02T17:00:00Z,PT15M
22,79,67,10,15.4,64.8,82,2025-06-02T17:15:00Z,PT15M
22,51,65,9,14.9,65.2,84,2025-06-02T17:30:00Z,PT15M
21,27,62,8,14.3,65.6,86,2025-06-02T17:45:00Z,PT15M
20,8,59,6,13.8,66,89,2025-06-02T18:00:00Z,PT15M
20,0,57,6,13.4,66.6,91,2025-06-02T18:15:00Z,PT15M
20,0,54,6,13.3,67.4,93,2025-06-02T18:30:00Z,PT15M
19,0,51,6,13.1,68.2,95,2025-06-02T18:45:00Z,PT15M
19,0,48,6,13,69,97,2025-06-02T19:00:00Z,PT15M
18,0,46,6,12.8,69.5,99,2025-06-02T19:15:00Z,PT15M
18,0,43,6,12.7,69.7,101,2025-06-02T19:30:00Z,PT15M
18,0,39,6,12.6,69.9,103,2025-06-02T19:45:00Z,PT15M
18,0,36,6,12.5,70.1,104,2025-06-02T20:00:00Z,PT15M
18,0,33,6,12.4,70.4,106,2025-06-02T20:15:00Z,PT15M
18,0,30,6,12.2,70.7,107,2025-06-02T20:30:00Z,PT15M
18,0,26,6,12.2,71,109,2025-06-02T20:45:00Z,PT15M
17,0,23,6,12,71.3,110,2025-06-02T21:00:00Z,PT15M
17,0,19,5,11.9,71.4,111,2025-06-02T21:15:00Z,PT15M
17,0,16,5,11.8,71.3,111,2025-06-02T21:30:00Z,PT15M
17,0,12,4,11.7,71.1,112,2025-06-02T21:45:00Z,PT15M
17,0,8,4,11.6,71,112,2025-06-02T22:00:00Z,PT15M
17,0,4,4,11.5,71,113,2025-06-02T22:15:00Z,PT15M
17,0,1,4,11.4,71.1,113,2025-06-02T22:30:00Z,PT15M
17,0,-3,4,11.3,71.2,113,2025-06-02T22:45:00Z,PT15M
16,0,-7,4,11.2,71.3,113,2025-06-02T23:00:00Z,PT15M
16,0,-11,4,11.2,71.5,112,2025-06-02T23:15:00Z,PT15M
16,0,-14,3,11.2,71.8,112,2025-06-02T23:30:00Z,PT15M
16,0,-18,3,11.1,72.2,111,2025-06-02T23:45:00Z,PT15M
16,0,-21,2,11.1,72.5,110,2025-06-03,PT15M
16,0,-25,2,11.1,72.7,109,2025-06-03T00:15:00Z,PT15M
16,0,-28,1,11,72.7,108,2025-06-03T00:30:00Z,PT15M
16,0,-32,1,11,72.7,106,2025-06-03T00:45:00Z,PT15M
16,0,-35,0,10.9,72.7,105,2025-06-03T01:00:00Z,PT15M
16,0,-38,0,10.9,72.8,103,2025-06-03T01:15:00Z,PT15M
16,0,-41,0,10.9,73.2,102,2025-06-03T01:30:00Z,PT15M
16,0,-44,0,10.8,73.5,100,2025-06-03T01:45:00Z,PT15M
16,0,-47,0,10.8,73.9,98,2025-06-03T02:00:00Z,PT15M
15,0,-50,0,10.8,74.2,96,2025-06-03T02:15:00Z,PT15M
15,0,-53,0,10.8,74.4,94,2025-06-03T02:30:00Z,PT15M
15,0,-56,0,10.8,74.7,92,2025-06-03T02:45:00Z,PT15M
15,3,-58,0,10.8,74.9,90,2025-06-03T03:00:00Z,PT15M
15,21,-61,0,11,75.1,87,2025-06-03T03:15:00Z,PT15M
16,46,-64,0,11.4,75.3,85,2025-06-03T03:30:00Z,PT15M
16,76,-66,0,11.8,75.5,83,2025-06-03T03:45:00Z,PT15M
16,112,-69,0,12.2,75.7,80,2025-06-03T04:00:00Z,PT15M
17,150,-71,0,12.5,74.8,78,2025-06-03T04:15:00Z,PT15M
18,191,-73,0,12.7,72.8,75,2025-06-03T04:30:00Z,PT15M
18,233,-76,0,12.9,70.9,73,2025-06-03T04:45:00Z,PT15M
19,277,-78,0,13.1,69.1,70,2025-06-03T05:00:00Z,PT15M
19,320,-81,0,13.3,67.8,67,2025-06-03T05:15:00Z,PT15M
20,363,-83,0,13.5,67,65,2025-06-03T05:30:00Z,PT15M
20,406,-86,1,13.6,66.2,62,2025-06-03T05:45:00Z,PT15M
20,448,-88,1,13.8,65.4,59,2025-06-03T06:00:00Z,PT15M
21,488,-91,1,14,64.6,57,2025-06-03T06:15:00Z,PT15M
21,525,-94,2,14.2,63.6,54,2025-06-03T06:30:00Z,PT15M
22,560,-97,3,14.4,62.7,51,2025-06-03T06:45:00Z,PT15M
22,593,-100,4,14.6,61.8,49,2025-06-03T07:00:00Z,PT15M
23,626,-103,4,14.8,61,46,2025-06-03T07:15:00Z,PT15M
23,658,-106,4,14.9,60.2,44,2025-06-03T07:30:00Z,PT15M
23,688,-110,5,15.1,59.4,41,2025-06-03T07:45:00Z,PT15M
24,716,-113,5,15.2,58.6,39,2025-06-03T08:00:00Z,PT15M
24,744,-118,5,15.4,57.9,36,2025-06-03T08:15:00Z,PT15M
24,773,-122,4,15.5,57.3,34,2025-06-03T08:30:00Z,PT15M
25,800,-127,4,15.6,56.6,32,2025-06-03T08:45:00Z,PT15M
25,823,-133,3,15.7,56,30,2025-06-03T09:00:00Z,PT15M
25,843,-139,3,15.8,55.3,28,2025-06-03T09:15:00Z,PT15M
26,857,-145,3,16,54.7,26,2025-06-03T09:30:00Z,PT15M
26,868,-153,3,16,54.1,25,2025-06-03T09:45:00Z,PT15M
26,876,-161,3,16.2,53.5,24,2025-06-03T10:00:00Z,PT15M
27,883,-169,3,16.3,53,23,2025-06-03T10:15:00Z,PT15M
27,890,-178,2,16.4,52.6,23,2025-06-03T10:30:00Z,PT15M
27,893,173,2,16.5,52.3,23,2025-06-03T10:45:00Z,PT15M
27,893,164,1,16.6,51.9,24,2025-06-03T11:00:00Z,PT15M
28,884,156,1,16.7,51.6,24,2025-06-03T11:15:00Z,PT15M
28,867,148,2,16.8,51.1,26,2025-06-03T11:30:00Z,PT15M
28,847,141,3,16.8,50.7,27,2025-06-03T11:45:00Z,PT15M
28,824,135,4,16.9,50.3,29,2025-06-03T12:00:00Z,PT15M
28,795,129,5,16.9,50,31,2025-06-03T12:15:00Z,PT15M
28,762,124,6,17,50,33,2025-06-03T12:30:00Z,PT15M
29,726,119,8,17.1,49.9,35,2025-06-03T12:45:00Z,PT15M
29,689,115,9,17.2,49.9,38,2025-06-03T13:00:00Z,PT15M
29,654,111,10,17.2,49.9,40,2025-06-03T13:15:00Z,PT15M
29,623,107,11,17.3,50.2,43,2025-06-03T13:30:00Z,PT15M
29,590,104,11,17.3,50.4,45,2025-06-03T13:45:00Z,PT15M
29,556,101,11,17.4,50.6,48,2025-06-03T14:00:00Z,PT15M
29,522,98,11,17.5,50.9,50,2025-06-03T14:15:00Z,PT15M
29,488,95,11,17.6,51.2,53,2025-06-03T14:30:00Z,PT15M
29,453,92,11,17.7,51.6,56,2025-06-03T14:45:00Z,PT15M
29,415,89,11,17.8,51.9,58,2025-06-03T15:00:00Z,PT15M
28,378,87,10,18,53.3,61,2025-06-03T15:15:00Z,PT15M
28,340,84,10,18.4,56,64,2025-06-03T15:30:00Z,PT15M
28,302,82,9,18.7,58.7,66,2025-06-03T15:45:00Z,PT15M
27,263,79,9,19.1,61.6,69,2025-06-03T16:00:00Z,PT15M
27,223,77,9,19.2,63.8,71,2025-06-03T16:15:00Z,PT15M
26,184,74,9,18.9,65.1,74,2025-06-03T16:30:00Z,PT15M
25,146,72,9,18.7,66.4,77,2025-06-03T16:45:00Z,PT15M
25,110,69,10,18.4,67.7,79,2025-06-03T17:00:00Z,PT15M
24,77,67,11,18,69.1,82,2025-06-03T17:15:00Z,PT15M
23,48,64,11,17.5,70.4,84,2025-06-03T17:30:00Z,PT15M
22,25,62,11,16.9,71.8,86,2025-06-03T17:45:00Z,PT15M
21,8,59,11,16.4,73.3,89,2025-06-03T18:00:00Z,PT15M
21,0,57,11,16,74.4,91,2025-06-03T18:15:00Z,PT15M
20,0,54,10,15.8,75,93,2025-06-03T18:30:00Z,PT15M
20,0,51,10,15.6,75.7,95,2025-06-03T18:45:00Z,PT15M
20,0,48,9,15.4,76.4,97,2025-06-03T19:00:00Z,PT15M
19,0,45,9,15.2,76.7,99,2025-06-03T19:15:00Z,PT15M
19,0,42,9,15,76.8,101,2025-06-03T19:30:00Z,PT15M
19,0,39,9,14.8,76.9,103,2025-06-03T19:45:00Z,PT15M
19,0,36,9,14.6,77,104,2025-06-03T20:00:00Z,PT15M
19,0,33,9,14.4,76.7,106,2025-06-03T20:15:00Z,PT15M
18,0,30,8,14.2,76.1,107,2025-06-03T20:30:00Z,PT15M
18,0,26,8,14,75.5,108,2025-06-03T20:45:00Z,PT15M
18,0,23,8,13.8,74.9,110,2025-06-03T21:00:00Z,PT15M
18,0,19,7,13.6,74.4,110,2025-06-03T21:15:00Z,PT15M
18,0,16,7,13.4,74.2,111,2025-06-03T21:30:00Z,PT15M
18,0,12,6,13.3,73.9,112,2025-06-03T21:45:00Z,PT15M
18,0,8,6,13.1,73.6,112,2025-06-03T22:00:00Z,PT15M
18,0,4,5,12.9,73.3,113,2025-06-03T22:15:00Z,PT15M
18,0,1,5,12.7,72.9,113,2025-06-03T22:30:00Z,PT15M
18,0,-3,4,12.5,72.5,113,2025-06-03T22:45:00Z,PT15M
17,0,-7,4,12.3,72.2,112,2025-06-03T23:00:00Z,PT15M
17,0,-11,4,12.1,71.8,112,2025-06-03T23:15:00Z,PT15M
17,0,-14,3,11.9,71.4,112,2025-06-03T23:30:00Z,PT15M
17,0,-18,3,11.8,71.1,111,2025-06-03T23:45:00Z,PT15M
17,0,-21,2,11.6,70.7,110,2025-06-04,PT15M
17,0,-25,2,11.4,70.3,109,2025-06-04T00:15:00Z,PT15M
17,0,-28,1,11.3,69.8,108,2025-06-04T00:30:00Z,PT15M
17,0,-32,1,11.1,69.3,106,2025-06-04T00:45:00Z,PT15M
17,0,-35,0,11,68.8,105,2025-06-04T01:00:00Z,PT15M
17,0,-38,0,10.8,68.4,103,2025-06-04T01:15:00Z,PT15M
17,0,-41,0,10.8,68.1,102,2025-06-04T01:30:00Z,PT15M
17,0,-44,0,10.6,67.8,100,2025-06-04T01:45:00Z,PT15M
17,0,-47,0,10.5,67.4,98,2025-06-04T02:00:00Z,PT15M
17,0,-50,0,10.5,67.3,96,2025-06-04T02:15:00Z,PT15M
17,0,-53,0,10.5,67.6,94,2025-06-04T02:30:00Z,PT15M
16,0,-56,0,10.6,67.8,92,2025-06-04T02:45:00Z,PT15M
16,4,-58,0,10.6,68,89,2025-06-04T03:00:00Z,PT15M
17,22,-61,0,10.9,68.7,87,2025-06-04T03:15:00Z,PT15M
17,47,-63,0,11.4,69.8,85,2025-06-04T03:30:00Z,PT15M
17,79,-66,0,12,70.9,82,2025-06-04T03:45:00Z,PT15M
18,115,-68,0,12.5,72,80,2025-06-04T04:00:00Z,PT15M
18,154,-71,0,13,71.9,78,2025-06-04T04:15:00Z,PT15M
19,195,-73,0,13.4,70.6,75,2025-06-04T04:30:00Z,PT15M
20,238,-76,0,13.9,69.4,72,2025-06-04T04:45:00Z,PT15M
20,282,-78,0,14.3,68.2,70,2025-06-04T05:00:00Z,PT15M
21,326,-81,0,14.6,66.8,67,2025-06-04T05:15:00Z,PT15M
22,371,-83,0,14.7,65.2,65,2025-06-04T05:30:00Z,PT15M
22,415,-86,0,14.8,63.7,62,2025-06-04T05:45:00Z,PT15M
22,458,-88,0,14.9,62.2,59,2025-06-04T06:00:00Z,PT15M
23,501,-91,0,15.1,61,57,2025-06-04T06:15:00Z,PT15M
23,543,-94,0,15.2,60,54,2025-06-04T06:30:00Z,PT15M
