period_end,air_temp,azimuth,cloud_opacity,dewpoint_temp,ghi,period,relative_humidity,zenith
2025-05-22T16:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-05-22T17:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-05-22T18:00:00Z,20.0,84.0,59.0,13.0,129.0,PT1H,62.9,66.0
2025-05-22T19:00:00Z,19.0,74.0,26.0,13.6,117.0,PT1H,69.9,77.0
2025-05-22T20:00:00Z,17.0,64.0,16.0,13.1,25.0,PT1H,78.1,87.0
2025-05-22T21:00:00Z,15.0,54.0,15.0,12.2,0.0,PT1H,82.5,96.0
2025-05-22T22:00:00Z,14.0,42.0,16.0,11.8,0.0,PT1H,85.5,104.0
2025-05-22T23:00:00Z,13.0,28.0,20.0,11.4,0.0,PT1H,87.7,110.0
2025-05-23,13.0,14.0,25.0,11.0,0.0,PT1H,87.9,114.0
2025-05-23T01:00:00Z,13.0,-2.0,29.0,10.6,0.0,PT1H,87.1,115.0
2025-05-23T02:00:00Z,12.0,-17.0,32.0,10.2,0.0,PT1H,86.7,113.0
2025-05-23T03:00:00Z,12.0,-31.0,36.0,10.0,0.0,PT1H,87.3,109.0
2025-05-23T04:00:00Z,12.0,-44.0,39.0,10.0,0.0,PT1H,87.6,102.0
2025-05-23T05:00:00Z,12.0,-56.0,43.0,10.0,0.0,PT1H,86.7,94.0
2025-05-23T06:00:00Z,13.0,-66.0,47.0,10.6,25.0,PT1H,85.6,85.0
2025-05-23T07:00:00Z,14.0,-76.0,54.0,11.6,85.0,PT1H,84.6,75.0
2025-05-23T08:00:00Z,15.0,-86.0,64.0,12.3,128.0,PT1H,83.4,64.0
2025-05-23T09:00:00Z,16.0,-97.0,62.0,13.0,204.0,PT1H,82.6,54.0
2025-05-23T10:00:00Z,17.0,-110.0,58.0,13.8,289.0,PT1H,81.7,43.0
2025-05-23T11:00:00Z,18.0,-127.0,55.0,14.4,362.0,PT1H,78.3,34.0
2025-05-23T12:00:00Z,20.0,-152.0,45.0,14.8,484.0,PT1H,72.5,27.0
2025-05-23T13:00:00Z,21.0,177.0,44.0,14.9,501.0,PT1H,67.3,25.0
2025-05-23T14:00:00Z,22.0,146.0,44.0,14.9,489.0,PT1H,64.7,28.0
2025-05-23T15:00:00Z,22.0,123.0,35.0,15.0,513.0,PT1H,64.9,36.0
2025-05-23T16:00:00Z,22.0,107.0,28.0,14.9,479.0,PT1H,65.3,45.0
2025-05-23T17:00:00Z,22.0,95.0,27.0,15.2,374.0,PT1H,67.8,56.0
2025-05-23T18:00:00Z,20.0,84.0,28.0,15.8,246.0,PT1H,74.7,66.0
2025-05-23T19:00:00Z,19.0,74.0,28.0,15.2,117.0,PT1H,79.6,77.0
2025-05-23T20:00:00Z,16.0,64.0,28.0,14.2,22.0,PT1H,87.8,87.0
2025-05-23T21:00:00Z,14.0,53.0,27.0,13.5,0.0,PT1H,94.9,96.0
2025-05-23T22:00:00Z,14.0,42.0,25.0,12.7,0.0,PT1H,93.1,103.0
2025-05-23T23:00:00Z,13.0,28.0,25.0,11.9,0.0,PT1H,91.5,110.0
2025-05-24,13.0,14.0,22.0,11.2,0.0,PT1H,90.6,113.0
2025-05-24T01:00:00Z,12.0,-2.0,15.0,10.7,0.0,PT1H,90.0,114.0
2025-05-24T02:00:00Z,12.0,-17.0,12.0,10.4,0.0,PT1H,90.2,113.0
2025-05-24T03:00:00Z,12.0,-31.0,12.0,10.0,0.0,PT1H,90.5,108.0
2025-05-24T04:00:00Z,11.0,-44.0,13.0,9.7,0.0,PT1H,90.8,102.0
2025-05-24T05:00:00Z,11.0,-56.0,16.0,9.5,0.0,PT1H,91.1,94.0
2025-05-24T06:00:00Z,12.0,-66.0,14.0,10.0,50.0,PT1H,90.5,85.0
2025-05-24T07:00:00Z,13.0,-76.0,6.0,11.1,200.0,PT1H,87.7,75.0
