air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
-2,69,133,0,-7.8,61.7,85,2025-12-29T14:00:00Z,PT15M
-2,40,130,0,-7.8,63.8,86,2025-12-29T14:15:00Z,PT15M
-2,13,127,13.1,-7.8,66,88,2025-12-29T14:30:00Z,PT15M
-3,0,125,25.6,-7.8,68.4,91,2025-12-29T14:45:00Z,PT15M
-3,0,122,15.2,-7.8,70.9,93,2025-12-29T15:00:00Z,PT15M
-4,0,119,5.7,-7.8,72.4,95,2025-12-29T15:15:00Z,PT15M
-4,0,117,4,-7.8,72.9,97,2025-12-29T15:30:00Z,PT15M
-4,0,114,5.4,-7.8,73.5,99,2025-12-29T15:45:00Z,PT15M
-4,0,111,6.8,-7.8,74,102,2025-12-29T16:00:00Z,PT15M
-4,0,109,8.1,-7.8,74.5,104,2025-12-29T16:15:00Z,PT15M
-4,0,106,9.2,-7.8,74.9,107,2025-12-29T16:30:00Z,PT15M
-4,0,104,9.7,-7.7,75.4,109,2025-12-29T16:45:00Z,PT15M
-4,0,101,10.1,-7.7,75.8,112,2025-12-29T17:00:00Z,PT15M
-4,0,99,10.9,-7.7,76,114,2025-12-29T17:15:00Z,PT15M
-4,0,96,11.9,-7.7,76,117,2025-12-29T17:30:00Z,PT15M
-4,0,94,12.1,-7.8,76,119,2025-12-29T17:45:00Z,PT15M
-4,0,91,12.5,-7.8,76,122,2025-12-29T18:00:00Z,PT15M
-4,0,88,12.9,-7.8,76.1,124,2025-12-29T18:15:00Z,PT15M
-4,0,85,13.3,-7.8,76.4,127,2025-12-29T18:30:00Z,PT15M
-4,0,82,13.8,-7.8,76.7,130,2025-12-29T18:45:00Z,PT15M
-4,0,79,14.2,-7.8,77,132,2025-12-29T19:00:00Z,PT15M
-4,0,76,14.4,-7.8,77.2,135,2025-12-29T19:15:00Z,PT15M
-5,0,73,14.4,-7.8,77.4,137,2025-12-29T19:30:00Z,PT15M
-5,0,69,14.4,-7.9,77.5,140,2025-12-29T19:45:00Z,PT15M
-5,0,65,14.4,-7.9,77.6,142,2025-12-29T20:00:00Z,PT15M
-5,0,61,15.1,-7.9,77.8,144,2025-12-29T20:15:00Z,PT15M
-5,0,56,16.3,-7.9,77.9,146,2025-12-29T20:30:00Z,PT15M
-5,0,51,17.6,-8,78.1,148,2025-12-29T20:45:00Z,PT15M
-5,0,45,18.9,-8,78.2,150,2025-12-29T21:00:00Z,PT15M
-5,0,39,21.2,-8,78.4,152,2025-12-29T21:15:00Z,PT15M
-5,0,32,24.5,-8,78.7,154,2025-12-29T21:30:00Z,PT15M
-5,0,25,27.7,-8.1,79,155,2025-12-29T21:45:00Z,PT15M
-5,0,17,30.8,-8.1,79.3,156,2025-12-29T22:00:00Z,PT15M
-5,0,9,32.7,-8.1,79.4,156,2025-12-29T22:15:00Z,PT15M
-5,0,0,33.5,-8.2,79.2,156,2025-12-29T22:30:00Z,PT15M
-5,0,-8,34.2,-8.3,79.1,156,2025-12-29T22:45:00Z,PT15M
-5,0,-17,35,-8.4,78.9,156,2025-12-29T23:00:00Z,PT15M
-5,0,-25,36.1,-8.4,78.8,155,2025-12-29T23:15:00Z,PT15M
