air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
9,566,-135,24.4,4.2,70.5,43,2026-04-21T08:30:00Z,PT15M
9,556,-140,28,4.1,69.5,42,2026-04-21T08:45:00Z,PT15M
10,527,-145,33.6,4.1,68.6,40,2026-04-21T09:00:00Z,PT15M
10,526,-151,35.2,4.1,67.8,39,2026-04-21T09:15:00Z,PT15M
10,545,-156,34,4,67.1,37,2026-04-21T09:30:00Z,PT15M
10,559,-162,33.2,4,66.4,37,2026-04-21T09:45:00Z,PT15M
10,582,-168,31.1,3.9,65.7,36,2026-04-21T10:00:00Z,PT15M
10,594,-175,30.2,3.9,65.3,35,2026-04-21T10:15:00Z,PT15M
10,602,179,29.3,3.8,65.2,35,2026-04-21T10:30:00Z,PT15M
10,608,173,28.5,3.8,65.1,36,2026-04-21T10:45:00Z,PT15M
10,608,166,28.1,3.7,65,36,2026-04-21T11:00:00Z,PT15M
10,602,160,28.1,3.7,64.6,37,2026-04-21T11:15:00Z,PT15M
10,590,154,28.4,3.6,64.1,38,2026-04-21T11:30:00Z,PT15M
10,576,149,28.8,3.6,63.5,39,2026-04-21T11:45:00Z,PT15M
10,560,144,29.2,3.5,63,40,2026-04-21T12:00:00Z,PT15M
10,540,139,29.8,3.5,62.6,42,2026-04-21T12:15:00Z,PT15M
10,516,134,30.6,3.5,62.4,44,2026-04-21T12:30:00Z,PT15M
10,491,129,31.4,3.4,62.2,46,2026-04-21T12:45:00Z,PT15M
10,464,125,32.2,3.4,62,48,2026-04-21T13:00:00Z,PT15M
10,438,121,32.8,3.4,62,50,2026-04-21T13:15:00Z,PT15M
10,412,117,33.2,3.4,62.3,52,2026-04-21T13:30:00Z,PT15M
10,385,114,33.5,3.4,62.7,54,2026-04-21T13:45:00Z,PT15M
10,355,110,34.2,3.4,63,57,2026-04-21T14:00:00Z,PT15M
10,325,107,34.8,3.4,63.3,59,2026-04-21T14:15:00Z,PT15M
10,295,104,35.1,3.4,63.6,62,2026-04-21T14:30:00Z,PT15M
10,265,101,35.4,3.4,63.9,64,2026-04-21T14:45:00Z,PT15M
10,232,98,36.3,3.4,64.2,67,2026-04-21T15:00:00Z,PT15M
10,201,95,37.1,3.5,65.3,69,2026-04-21T15:15:00Z,PT15M
10,171,93,37.4,3.7,67.1,72,2026-04-21T15:30:00Z,PT15M
9,141,90,37.7,3.8,69,74,2026-04-21T15:45:00Z,PT15M
9,111,87,39.1,4,70.9,77,2026-04-21T16:00:00Z,PT15M
9,81,84,41.4,4,73,80,2026-04-21T16:15:00Z,PT15M
8,54,82,44.1,3.8,75.2,82,2026-04-21T16:30:00Z,PT15M
7,33,79,44.7,3.5,77.5,85,2026-04-21T16:45:00Z,PT15M
7,15,76,44.7,3.3,79.9,87,2026-04-21T17:00:00Z,PT15M
6,2,74,45.2,3.2,81.7,90,2026-04-21T17:15:00Z,PT15M
6,0,71,46.2,3.2,83,92,2026-04-21T17:30:00Z,PT15M
6,0,68,47.2,3.1,84.3,94,2026-04-21T17:45:00Z,PT15M
5,0,65,48.2,3.1,85.6,97,2026-04-21T18:00:00Z,PT15M
5,0,62,48.8,3.2,86.5,99,2026-04-21T18:15:00Z,PT15M
5,0,59,49.1,3.3,86.8,101,2026-04-21T18:30:00Z,PT15M
5,0,56,49.5,3.4,87.1,103,2026-04-21T18:45:00Z,PT15M
6,0,53,49.8,3.5,87.4,106,2026-04-21T19:00:00Z,PT15M
6,0,50,49.8,3.6,87.6,108,2026-04-21T19:15:00Z,PT15M
6,0,47,49.5,3.8,87.8,110,2026-04-21T19:30:00Z,PT15M
6,0,43,49.1,3.8,88,111,2026-04-21T19:45:00Z,PT15M
6,0,40,48.8,4,88.1,113,2026-04-21T20:00:00Z,PT15M
6,0,36,49,4,88.5,115,2026-04-21T20:15:00Z,PT15M
6,0,32,49.6,4.1,89.1,116,2026-04-21T20:30:00Z,PT15M
6,0,29,50.2,4.1,89.8,117,2026-04-21T20:45:00Z,PT15M
6,0,25,50.9,4.2,90.4,118,2026-04-21T21:00:00Z,PT15M
6,0,21,50.7,4.2,91,119,2026-04-21T21:15:00Z,PT15M
5,0,16,49.8,4.2,91.7,120,2026-04-21T21:30:00Z,PT15M
5,0,12,48.8,4.2,92.3,121,2026-04-21T21:45:00Z,PT15M
5,0,8,47.8,4.2,92.9,121,2026-04-21T22:00:00Z,PT15M
5,0,4,47,4.1,93.6,122,2026-04-21T22:15:00Z,PT15M
5,0,-1,46.4,4,94.2,122,2026-04-21T22:30:00Z,PT15M
5,0,-5,45.7,3.9,94.9,122,2026-04-21T22:45:00Z,PT15M
4,0,-9,45,3.8,95.5,121,2026-04-21T23:00:00Z,PT15M
4,0,-14,44.5,3.6,95.8,121,2026-04-21T23:15:00Z,PT15M
4,0,-18,44.2,3.3,95.6,120,2026-04-21T23:30:00Z,PT15M
4,0,-22,43.9,3,95.4,119,2026-04-21T23:45:00Z,PT15M
3,0,-26,43.5,2.7,95.3,118,2026-04-22,PT15M
3,0,-30,43.2,2.6,95.1,117,2026-04-22T00:15:00Z,PT15M
3,0,-34,42.9,2.5,94.9,116,2026-04-22T00:30:00Z,PT15M
3,0,-37,42.5,2.4,94.7,114,2026-04-22T00:45:00Z,PT15M
3,0,-41,42.2,2.3,94.6,112,2026-04-22T01:00:00Z,PT15M
3,0,-44,42.2,2.3,94.6,111,2026-04-22T01:15:00Z,PT15M
3,0,-48,42.5,2.3,94.7,109,2026-04-22T01:30:00Z,PT15M
3,0,-51,42.9,2.4,94.9,107,2026-04-22T01:45:00Z,PT15M
3,0,-54,43.2,2.4,95.1,105,2026-04-22T02:00:00Z,PT15M
3,0,-57,43.2,2.4,95,103,2026-04-22T02:15:00Z,PT15M
3,0,-60,42.9,2.4,94.7,100,2026-04-22T02:30:00Z,PT15M
3,0,-63,42.5,2.3,94.3,98,2026-04-22T02:45:00Z,PT15M
3,0,-66,42.2,2.3,94,96,2026-04-22T03:00:00Z,PT15M
3,0,-69,41.8,2.3,93.6,94,2026-04-22T03:15:00Z,PT15M
3,0,-72,41.5,2.2,93.1,91,2026-04-22T03:30:00Z,PT15M
3,6,-74,41.1,2.2,92.6,89,2026-04-22T03:45:00Z,PT15M
3,22,-77,40.8,2.1,92.1,86,2026-04-22T04:00:00Z,PT15M
3,41,-80,41.5,2.1,91,84,2026-04-22T04:15:00Z,PT15M
4,64,-82,41.6,2,89.2,81,2026-04-22T04:30:00Z,PT15M
4,91,-85,40.4,1.9,87.5,79,2026-04-22T04:45:00Z,PT15M
4,120,-88,39,1.8,85.8,76,2026-04-22T05:00:00Z,PT15M
4,153,-91,37,1.7,84.4,73,2026-04-22T05:15:00Z,PT15M
4,190,-93,34.2,1.7,83.2,71,2026-04-22T05:30:00Z,PT15M
4,230,-96,31.5,1.6,82,68,2026-04-22T05:45:00Z,PT15M
