,pro ro spv ec00 mwh/h cet min15 f 2025-11-08T00:00:00+01:00
2025-11-08 00:00:00+01:00,0.0
2025-11-08 00:15:00+01:00,0.0
2025-11-08 00:30:00+01:00,0.0
2025-11-08 00:45:00+01:00,0.0
2025-11-08 01:00:00+01:00,0.0
2025-11-08 01:15:00+01:00,0.0
2025-11-08 01:30:00+01:00,0.0
2025-11-08 01:45:00+01:00,0.0
2025-11-08 02:00:00+01:00,0.0
2025-11-08 02:15:00+01:00,0.0
2025-11-08 02:30:00+01:00,0.0
2025-11-08 02:45:00+01:00,0.0
2025-11-08 03:00:00+01:00,0.0
2025-11-08 03:15:00+01:00,0.0
2025-11-08 03:30:00+01:00,0.0
2025-11-08 03:45:00+01:00,0.0
2025-11-08 04:00:00+01:00,0.0
2025-11-08 04:15:00+01:00,0.0
2025-11-08 04:30:00+01:00,0.0
2025-11-08 04:45:00+01:00,0.0
2025-11-08 05:00:00+01:00,0.0
2025-11-08 05:15:00+01:00,0.0
2025-11-08 05:30:00+01:00,0.0
2025-11-08 05:45:00+01:00,0.0
2025-11-08 06:00:00+01:00,0.0
2025-11-08 06:15:00+01:00,11.03350361442341
2025-11-08 06:30:00+01:00,48.06700074687963
2025-11-08 06:45:00+01:00,97.81949257685297
2025-11-08 07:00:00+01:00,159.25546879365135
2025-11-08 07:15:00+01:00,229.68187816755915
2025-11-08 07:30:00+01:00,304.8631982755114
2025-11-08 07:45:00+01:00,379.4552281153415
2025-11-08 08:00:00+01:00,447.96382389771
2025-11-08 08:15:00+01:00,508.09331973780377
2025-11-08 08:30:00+01:00,560.2636569387607
2025-11-08 08:45:00+01:00,606.6709661175054
2025-11-08 09:00:00+01:00,651.107119538867
2025-11-08 09:15:00+01:00,695.1554583141614
2025-11-08 09:30:00+01:00,735.3169570141649
2025-11-08 09:45:00+01:00,770.7471876401866
2025-11-08 10:00:00+01:00,801.0089099198967
2025-11-08 10:15:00+01:00,825.812630899472
2025-11-08 10:30:00+01:00,845.4521682750336
2025-11-08 10:45:00+01:00,859.7494132719428
2025-11-08 11:00:00+01:00,867.990871671081
2025-11-08 11:15:00+01:00,869.4794656220524
2025-11-08 11:30:00+01:00,862.9640207000398
2025-11-08 11:45:00+01:00,848.1104726275363
2025-11-08 12:00:00+01:00,825.5922455623692
2025-11-08 12:15:00+01:00,796.1005921918388
2025-11-08 12:30:00+01:00,761.018812230968
2025-11-08 12:45:00+01:00,721.0946447970716
2025-11-08 13:00:00+01:00,676.3118500415205
2025-11-08 13:15:00+01:00,626.4659735656768
2025-11-08 13:30:00+01:00,569.9937092888704
2025-11-08 13:45:00+01:00,506.73689520706114
2025-11-08 14:00:00+01:00,438.26572168457716
2025-11-08 14:15:00+01:00,366.765507482598
2025-11-08 14:30:00+01:00,295.6904419265237
2025-11-08 14:45:00+01:00,227.73411132260398
2025-11-08 15:00:00+01:00,164.57104044310563
2025-11-08 15:15:00+01:00,108.32273603530136
2025-11-08 15:30:00+01:00,61.09711831549461
2025-11-08 15:45:00+01:00,24.841173578850814
2025-11-08 16:00:00+01:00,0.9726145119205376
2025-11-08 16:15:00+01:00,0.0
2025-11-08 16:30:00+01:00,0.0
2025-11-08 16:45:00+01:00,0.0
2025-11-08 17:00:00+01:00,0.0
2025-11-08 17:15:00+01:00,0.0
2025-11-08 17:30:00+01:00,0.0
2025-11-08 17:45:00+01:00,0.0
2025-11-08 18:00:00+01:00,0.0
2025-11-08 18:15:00+01:00,0.0
2025-11-08 18:30:00+01:00,0.0
2025-11-08 18:45:00+01:00,0.0
2025-11-08 19:00:00+01:00,0.0
2025-11-08 19:15:00+01:00,0.0
2025-11-08 19:30:00+01:00,0.0
2025-11-08 19:45:00+01:00,0.0
2025-11-08 20:00:00+01:00,0.0
2025-11-08 20:15:00+01:00,0.0
2025-11-08 20:30:00+01:00,0.0
2025-11-08 20:45:00+01:00,0.0
2025-11-08 21:00:00+01:00,0.0
2025-11-08 21:15:00+01:00,0.0
2025-11-08 21:30:00+01:00,0.0
2025-11-08 21:45:00+01:00,0.0
2025-11-08 22:00:00+01:00,0.0
2025-11-08 22:15:00+01:00,0.0
2025-11-08 22:30:00+01:00,0.0
2025-11-08 22:45:00+01:00,0.0
2025-11-08 23:00:00+01:00,0.0
2025-11-08 23:15:00+01:00,0.0
2025-11-08 23:30:00+01:00,0.0
2025-11-08 23:45:00+01:00,0.0
2025-11-09 00:00:00+01:00,0.0
2025-11-09 00:15:00+01:00,0.0
2025-11-09 00:30:00+01:00,0.0
