air_temp,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,period_end,period
9,158,156,8.4,6,2025-04-15T06:00:00Z,PT15M
10,158,157,8.6,6.3,2025-04-15T06:15:00Z,PT15M
10,159,157,8.6,6.4,2025-04-15T06:30:00Z,PT15M
11,160,157,8.7,6.5,2025-04-15T06:45:00Z,PT15M
11,160,158,8.8,6.6,2025-04-15T07:00:00Z,PT15M
11,161,158,8.8,6.7,2025-04-15T07:15:00Z,PT15M
12,160,158,8.9,6.8,2025-04-15T07:30:00Z,PT15M
12,160,158,9,6.9,2025-04-15T07:45:00Z,PT15M
12,160,158,9,7,2025-04-15T08:00:00Z,PT15M
12,160,157,9.1,7.1,2025-04-15T08:15:00Z,PT15M
13,159,156,9.2,7.2,2025-04-15T08:30:00Z,PT15M
13,158,155,9.4,7.3,2025-04-15T08:45:00Z,PT15M
13,158,154,9.5,7.4,2025-04-15T09:00:00Z,PT15M
13,157,154,9.6,7.5,2025-04-15T09:15:00Z,PT15M
13,157,153,9.6,7.5,2025-04-15T09:30:00Z,PT15M
13,156,153,9.7,7.6,2025-04-15T09:45:00Z,PT15M
13,156,153,9.7,7.6,2025-04-15T10:00:00Z,PT15M
13,156,153,9.7,7.6,2025-04-15T10:15:00Z,PT15M
14,156,153,9.7,7.6,2025-04-15T10:30:00Z,PT15M
14,157,154,9.7,7.6,2025-04-15T10:45:00Z,PT15M
14,157,154,9.7,7.6,2025-04-15T11:00:00Z,PT15M
14,157,154,9.6,7.5,2025-04-15T11:15:00Z,PT15M
14,157,154,9.5,7.5,2025-04-15T11:30:00Z,PT15M
14,157,154,9.4,7.4,2025-04-15T11:45:00Z,PT15M
14,157,154,9.4,7.4,2025-04-15T12:00:00Z,PT15M
14,157,154,9.3,7.3,2025-04-15T12:15:00Z,PT15M
14,157,154,9.2,7.2,2025-04-15T12:30:00Z,PT15M
13,157,153,9.2,7.1,2025-04-15T12:45:00Z,PT15M
13,157,153,9.1,7,2025-04-15T13:00:00Z,PT15M
13,156,153,9,6.9,2025-04-15T13:15:00Z,PT15M
13,156,153,8.9,6.9,2025-04-15T13:30:00Z,PT15M
13,156,152,8.8,6.8,2025-04-15T13:45:00Z,PT15M
12,156,152,8.7,6.7,2025-04-15T14:00:00Z,PT15M
12,156,152,8.6,6.6,2025-04-15T14:15:00Z,PT15M
12,156,153,8.5,6.5,2025-04-15T14:30:00Z,PT15M
12,156,153,8.4,6.4,2025-04-15T14:45:00Z,PT15M
12,156,153,8.4,6.3,2025-04-15T15:00:00Z,PT15M
11,156,153,8.2,6.1,2025-04-15T15:15:00Z,PT15M
11,156,153,8,5.9,2025-04-15T15:30:00Z,PT15M
11,156,153,7.8,5.6,2025-04-15T15:45:00Z,PT15M
10,156,153,7.6,5.4,2025-04-15T16:00:00Z,PT15M
10,156,152,7.5,5.2,2025-04-15T16:15:00Z,PT15M
10,155,151,7.4,4.9,2025-04-15T16:30:00Z,PT15M
10,154,149,7.3,4.7,2025-04-15T16:45:00Z,PT15M
9,153,148,7.3,4.5,2025-04-15T17:00:00Z,PT15M
9,152,147,7.3,4.4,2025-04-15T17:15:00Z,PT15M
9,151,146,7.3,4.5,2025-04-15T17:30:00Z,PT15M
9,150,146,7.4,4.5,2025-04-15T17:45:00Z,PT15M
9,150,145,7.4,4.5,2025-04-15T18:00:00Z,PT15M
9,150,145,7.4,4.5,2025-04-15T18:15:00Z,PT15M
9,150,146,7.4,4.5,2025-04-15T18:30:00Z,PT15M
9,151,147,7.3,4.5,2025-04-15T18:45:00Z,PT15M
9,151,147,7.3,4.5,2025-04-15T19:00:00Z,PT15M
9,152,148,7.2,4.5,2025-04-15T19:15:00Z,PT15M
9,152,149,7.1,4.4,2025-04-15T19:30:00Z,PT15M
10,153,149,7,4.3,2025-04-15T19:45:00Z,PT15M
10,153,150,6.9,4.3,2025-04-15T20:00:00Z,PT15M
10,154,151,6.8,4.2,2025-04-15T20:15:00Z,PT15M
10,155,151,6.8,4.2,2025-04-15T20:30:00Z,PT15M
10,156,152,6.7,4.2,2025-04-15T20:45:00Z,PT15M
10,157,153,6.7,4.2,2025-04-15T21:00:00Z,PT15M
10,158,154,6.7,4.1,2025-04-15T21:15:00Z,PT15M
10,160,155,6.6,4,2025-04-15T21:30:00Z,PT15M
10,161,157,6.5,3.9,2025-04-15T21:45:00Z,PT15M
10,163,159,6.5,3.9,2025-04-15T22:00:00Z,PT15M
10,164,160,6.4,3.8,2025-04-15T22:15:00Z,PT15M
10,165,161,6.3,3.7,2025-04-15T22:30:00Z,PT15M
10,166,161,6.1,3.7,2025-04-15T22:45:00Z,PT15M
10,167,162,6,3.6,2025-04-15T23:00:00Z,PT15M
10,167,161,5.9,3.6,2025-04-15T23:15:00Z,PT15M
10,166,159,6,3.6,2025-04-15T23:30:00Z,PT15M
10,164,158,6,3.5,2025-04-15T23:45:00Z,PT15M
10,163,156,6,3.5,2025-04-16,PT15M
10,163,155,6,3.5,2025-04-16T00:15:00Z,PT15M
9,163,155,6.2,3.4,2025-04-16T00:30:00Z,PT15M
9,164,156,6.3,3.4,2025-04-16T00:45:00Z,PT15M
9,165,156,6.5,3.3,2025-04-16T01:00:00Z,PT15M
8,165,157,6.6,3.2,2025-04-16T01:15:00Z,PT15M
8,167,159,6.7,3.2,2025-04-16T01:30:00Z,PT15M
8,168,160,6.8,3.1,2025-04-16T01:45:00Z,PT15M
8,169,162,6.9,3.1,2025-04-16T02:00:00Z,PT15M
8,169,162,7,3,2025-04-16T02:15:00Z,PT15M
8,169,161,7,3.1,2025-04-16T02:30:00Z,PT15M
8,169,161,7.1,3.1,2025-04-16T02:45:00Z,PT15M
8,169,160,7.1,3.1,2025-04-16T03:00:00Z,PT15M
8,168,159,7.1,3.1,2025-04-16T03:15:00Z,PT15M
8,167,158,7.1,3.1,2025-04-16T03:30:00Z,PT15M
8,167,157,7.1,3.1,2025-04-16T03:45:00Z,PT15M
8,166,156,7.1,3.1,2025-04-16T04:00:00Z,PT15M
8,165,155,7,3.2,2025-04-16T04:15:00Z,PT15M
9,163,154,6.9,3.4,2025-04-16T04:30:00Z,PT15M
9,162,154,6.7,3.7,2025-04-16T04:45:00Z,PT15M
10,160,154,6.5,3.9,2025-04-16T05:00:00Z,PT15M
10,159,153,6.7,4.3,2025-04-16T05:15:00Z,PT15M
11,158,153,7.1,4.7,2025-04-16T05:30:00Z,PT15M
11,157,153,7.6,5.2,2025-04-16T05:45:00Z,PT15M
12,156,153,8,5.7,2025-04-16T06:00:00Z,PT15M
12,157,154,8.3,6,2025-04-16T06:15:00Z,PT15M
12,158,156,8.4,6.2,2025-04-16T06:30:00Z,PT15M
13,160,158,8.6,6.3,2025-04-16T06:45:00Z,PT15M
13,162,160,8.7,6.5,2025-04-16T07:00:00Z,PT15M
14,163,161,8.9,6.6,2025-04-16T07:15:00Z,PT15M
14,162,161,9.1,6.9,2025-04-16T07:30:00Z,PT15M
14,162,160,9.3,7.1,2025-04-16T07:45:00Z,PT15M
15,162,160,9.6,7.3,2025-04-16T08:00:00Z,PT15M
15,162,159,9.7,7.4,2025-04-16T08:15:00Z,PT15M
15,162,159,9.7,7.3,2025-04-16T08:30:00Z,PT15M
16,162,159,9.7,7.3,2025-04-16T08:45:00Z,PT15M
16,161,159,9.7,7.3,2025-04-16T09:00:00Z,PT15M
16,161,159,9.7,7.3,2025-04-16T09:15:00Z,PT15M
16,162,159,9.6,7.2,2025-04-16T09:30:00Z,PT15M
16,162,159,9.5,7.2,2025-04-16T09:45:00Z,PT15M
16,162,159,9.4,7.2,2025-04-16T10:00:00Z,PT15M
17,162,158,9.3,7.2,2025-04-16T10:15:00Z,PT15M
17,161,158,9.3,7.2,2025-04-16T10:30:00Z,PT15M
17,160,157,9.2,7.2,2025-04-16T10:45:00Z,PT15M
17,160,157,9.2,7.2,2025-04-16T11:00:00Z,PT15M
17,159,156,9.2,7.2,2025-04-16T11:15:00Z,PT15M
17,159,155,9.2,7.2,2025-04-16T11:30:00Z,PT15M
17,159,155,9.2,7.2,2025-04-16T11:45:00Z,PT15M
17,158,154,9.2,7.2,2025-04-16T12:00:00Z,PT15M
17,158,153,9.2,7.2,2025-04-16T12:15:00Z,PT15M
16,157,153,9.2,7.2,2025-04-16T12:30:00Z,PT15M
16,157,152,9.2,7.2,2025-04-16T12:45:00Z,PT15M
16,156,152,9.2,7.2,2025-04-16T13:00:00Z,PT15M
16,156,152,9.2,7.1,2025-04-16T13:15:00Z,PT15M
16,156,152,9.3,7.1,2025-04-16T13:30:00Z,PT15M
16,155,152,9.3,7.1,2025-04-16T13:45:00Z,PT15M
16,155,152,9.3,7,2025-04-16T14:00:00Z,PT15M
15,156,152,9.3,7,2025-04-16T14:15:00Z,PT15M
15,156,153,9.2,6.9,2025-04-16T14:30:00Z,PT15M
15,156,154,9.1,6.8,2025-04-16T14:45:00Z,PT15M
14,157,155,9,6.7,2025-04-16T15:00:00Z,PT15M
14,156,155,8.8,6.5,2025-04-16T15:15:00Z,PT15M
