air_temp,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,period_end,period
7,330,339,6.2,4.4,2025-04-11T10:15:00Z,PT15M
7,328,336,6.3,4.4,2025-04-11T10:30:00Z,PT15M
7,325,333,6.4,4.5,2025-04-11T10:45:00Z,PT15M
8,323,331,6.6,4.5,2025-04-11T11:00:00Z,PT15M
8,322,329,6.7,4.6,2025-04-11T11:15:00Z,PT15M
8,322,329,6.9,4.7,2025-04-11T11:30:00Z,PT15M
8,322,329,7,4.8,2025-04-11T11:45:00Z,PT15M
8,323,329,7.2,5,2025-04-11T12:00:00Z,PT15M
8,323,330,7.2,5,2025-04-11T12:15:00Z,PT15M
8,325,331,7.2,4.9,2025-04-11T12:30:00Z,PT15M
8,326,333,7.1,4.9,2025-04-11T12:45:00Z,PT15M
8,328,335,7.1,4.9,2025-04-11T13:00:00Z,PT15M
8,329,337,6.9,4.7,2025-04-11T13:15:00Z,PT15M
8,332,340,6.6,4.6,2025-04-11T13:30:00Z,PT15M
8,335,343,6.3,4.4,2025-04-11T13:45:00Z,PT15M
8,338,347,6,4.2,2025-04-11T14:00:00Z,PT15M
8,342,353,5.7,4,2025-04-11T14:15:00Z,PT15M
8,348,0,5.2,3.8,2025-04-11T14:30:00Z,PT15M
8,356,9,4.9,3.6,2025-04-11T14:45:00Z,PT15M
8,4,18,4.6,3.6,2025-04-11T15:00:00Z,PT15M
7,13,27,4.4,3.5,2025-04-11T15:15:00Z,PT15M
7,23,35,4.3,3.3,2025-04-11T15:30:00Z,PT15M
7,32,44,4.2,3.3,2025-04-11T15:45:00Z,PT15M
6,42,53,4.3,3.3,2025-04-11T16:00:00Z,PT15M
6,48,58,4.3,3.3,2025-04-11T16:15:00Z,PT15M
6,51,61,4.3,3.1,2025-04-11T16:30:00Z,PT15M
6,54,63,4.2,3,2025-04-11T16:45:00Z,PT15M
5,56,66,4.2,2.9,2025-04-11T17:00:00Z,PT15M
5,58,66,4.1,2.7,2025-04-11T17:15:00Z,PT15M
5,57,65,3.9,2.6,2025-04-11T17:30:00Z,PT15M
5,57,63,3.7,2.4,2025-04-11T17:45:00Z,PT15M
4,57,61,3.6,2.3,2025-04-11T18:00:00Z,PT15M
4,55,58,3.5,2.2,2025-04-11T18:15:00Z,PT15M
4,52,55,3.5,2.3,2025-04-11T18:30:00Z,PT15M
4,49,51,3.5,2.4,2025-04-11T18:45:00Z,PT15M
4,45,48,3.6,2.4,2025-04-11T19:00:00Z,PT15M
4,43,45,3.6,2.5,2025-04-11T19:15:00Z,PT15M
