air_temp,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,period_end,period
15,11,11,8.1,6.2,2025-04-02T10:00:00Z,PT15M
15,9,10,8,6.2,2025-04-02T10:15:00Z,PT15M
15,8,8,7.9,6.1,2025-04-02T10:30:00Z,PT15M
15,7,7,7.8,6,2025-04-02T10:45:00Z,PT15M
15,6,6,7.7,6,2025-04-02T11:00:00Z,PT15M
15,5,4,7.7,6,2025-04-02T11:15:00Z,PT15M
15,3,3,7.9,6.1,2025-04-02T11:30:00Z,PT15M
15,2,2,8,6.3,2025-04-02T11:45:00Z,PT15M
15,1,1,8.2,6.4,2025-04-02T12:00:00Z,PT15M
15,360,359,8.4,6.5,2025-04-02T12:15:00Z,PT15M
15,358,358,8.6,6.6,2025-04-02T12:30:00Z,PT15M
14,357,357,8.8,6.7,2025-04-02T12:45:00Z,PT15M
14,356,356,9,6.8,2025-04-02T13:00:00Z,PT15M
14,355,355,9.1,6.8,2025-04-02T13:15:00Z,PT15M
14,354,354,9.1,6.8,2025-04-02T13:30:00Z,PT15M
14,354,354,9.1,6.8,2025-04-02T13:45:00Z,PT15M
14,354,353,9.1,6.8,2025-04-02T14:00:00Z,PT15M
14,354,354,9,6.7,2025-04-02T14:15:00Z,PT15M
14,355,355,9,6.7,2025-04-02T14:30:00Z,PT15M
14,356,356,9,6.6,2025-04-02T14:45:00Z,PT15M
14,358,358,8.9,6.5,2025-04-02T15:00:00Z,PT15M
14,358,358,8.8,6.4,2025-04-02T15:15:00Z,PT15M
13,358,358,8.6,6.2,2025-04-02T15:30:00Z,PT15M
13,358,357,8.4,5.9,2025-04-02T15:45:00Z,PT15M
13,358,357,8.2,5.7,2025-04-02T16:00:00Z,PT15M
12,357,356,8,5.4,2025-04-02T16:15:00Z,PT15M
12,356,355,7.9,5.1,2025-04-02T16:30:00Z,PT15M
12,355,353,7.7,4.8,2025-04-02T16:45:00Z,PT15M
11,354,351,7.5,4.5,2025-04-02T17:00:00Z,PT15M
11,352,349,7.6,4.4,2025-04-02T17:15:00Z,PT15M
11,351,347,7.8,4.6,2025-04-02T17:30:00Z,PT15M
