air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
35,763,136,0,7.4,18.3,39,2026-08-11T12:15:00Z,PT15M
35,739,132,0,7.4,18.4,41,2026-08-11T12:30:00Z,PT15M
35,711,127,0.3,7.4,18.5,43,2026-08-11T12:45:00Z,PT15M
35,680,123,0.5,7.4,18.7,45,2026-08-11T13:00:00Z,PT15M
34,647,119,1,7.4,18.9,47,2026-08-11T13:15:00Z,PT15M
34,609,115,1.6,7.4,19.2,49,2026-08-11T13:30:00Z,PT15M
34,570,111,2.3,7.4,19.5,52,2026-08-11T13:45:00Z,PT15M
34,529,108,3.2,7.4,19.8,54,2026-08-11T14:00:00Z,PT15M
33,483,105,4.7,7.4,20,56,2026-08-11T14:15:00Z,PT15M
34,436,101,6.4,7.5,20,59,2026-08-11T14:30:00Z,PT15M
34,390,98,8.1,7.6,20.1,61,2026-08-11T14:45:00Z,PT15M
34,346,95,9.6,7.7,20.1,64,2026-08-11T15:00:00Z,PT15M
33,306,93,9.8,8,21,66,2026-08-11T15:15:00Z,PT15M
32,270,90,8.6,8.5,23,69,2026-08-11T15:30:00Z,PT15M
31,235,87,7,9.1,25.2,71,2026-08-11T15:45:00Z,PT15M
30,199,84,5.4,9.6,27.6,74,2026-08-11T16:00:00Z,PT15M
30,160,82,5.3,10.1,29.7,76,2026-08-11T16:15:00Z,PT15M
29,120,79,7,10.6,31.4,79,2026-08-11T16:30:00Z,PT15M
29,84,76,8.9,11.1,33.2,81,2026-08-11T16:45:00Z,PT15M
29,53,74,10.5,11.6,35,84,2026-08-11T17:00:00Z,PT15M
28,28,71,12,12,37.3,86,2026-08-11T17:15:00Z,PT15M
27,8,68,13.7,12.4,40.2,89,2026-08-11T17:30:00Z,PT15M
26,0,65,15.4,12.8,43.2,91,2026-08-11T17:45:00Z,PT15M
26,0,63,17.1,13.2,46.5,93,2026-08-11T18:00:00Z,PT15M
25,0,60,18.1,13.5,49.5,95,2026-08-11T18:15:00Z,PT15M
24,0,57,18.5,13.6,52,97,2026-08-11T18:30:00Z,PT15M
23,0,54,18.9,13.8,54.7,100,2026-08-11T18:45:00Z,PT15M
23,0,51,19.3,13.9,57.5,102,2026-08-11T19:00:00Z,PT15M
