air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
0,24,133,82.5,0.3,99.9,79,2026-01-22T14:00:00Z,PT15M
0,20,130,80.3,0.3,99.9,81,2026-01-22T14:15:00Z,PT15M
0,14,127,81.3,0.2,99.7,83,2026-01-22T14:30:00Z,PT15M
0,8,125,82.5,0.1,99.5,85,2026-01-22T14:45:00Z,PT15M
0,4,122,81.9,-0,99.4,88,2026-01-22T15:00:00Z,PT15M
-0,0,119,79.3,-0.1,99.4,90,2026-01-22T15:15:00Z,PT15M
-0,0,116,76.7,-0.1,99.5,92,2026-01-22T15:30:00Z,PT15M
-0,0,114,72.6,-0.2,99.7,95,2026-01-22T15:45:00Z,PT15M
-0,0,111,72.7,-0.2,99.9,97,2026-01-22T16:00:00Z,PT15M
-0,0,109,68.8,-0.2,99.9,99,2026-01-22T16:15:00Z,PT15M
-0,0,106,68,-0.3,99.7,102,2026-01-22T16:30:00Z,PT15M
-0,0,104,67.1,-0.3,99.5,105,2026-01-22T16:45:00Z,PT15M
-0,0,101,66.7,-0.4,99.4,107,2026-01-22T17:00:00Z,PT15M
-0,0,99,67.4,-0.4,99.3,110,2026-01-22T17:15:00Z,PT15M
-0,0,96,65.3,-0.4,99.3,112,2026-01-22T17:30:00Z,PT15M
-0,0,94,64.3,-0.4,99.3,115,2026-01-22T17:45:00Z,PT15M
-0,0,91,64,-0.4,99.3,118,2026-01-22T18:00:00Z,PT15M
-0,0,88,63.9,-0.4,99.2,120,2026-01-22T18:15:00Z,PT15M
-0,0,86,63.9,-0.4,99,123,2026-01-22T18:30:00Z,PT15M
-0,0,83,63.9,-0.4,98.8,126,2026-01-22T18:45:00Z,PT15M
-0,0,80,63.9,-0.4,98.6,128,2026-01-22T19:00:00Z,PT15M
-0,0,77,63.8,-0.4,98.7,131,2026-01-22T19:15:00Z,PT15M
-0,0,74,63.5,-0.4,99.1,133,2026-01-22T19:30:00Z,PT15M
-0,0,70,63.2,-0.3,99.5,136,2026-01-22T19:45:00Z,PT15M
-0,0,66,62.9,-0.3,99.8,138,2026-01-22T20:00:00Z,PT15M
-0,0,62,62.8,-0.3,100,141,2026-01-22T20:15:00Z,PT15M
-0,0,58,62.8,-0.3,100,143,2026-01-22T20:30:00Z,PT15M
-0,0,53,62.8,-0.3,100,145,2026-01-22T20:45:00Z,PT15M
-0,0,48,62.8,-0.3,100,147,2026-01-22T21:00:00Z,PT15M
-0,0,42,62.7,-0.3,99.9,149,2026-01-22T21:15:00Z,PT15M
-0,0,36,62.4,-0.3,99.7,151,2026-01-22T21:30:00Z,PT15M
-0,0,30,62.1,-0.4,99.5,152,2026-01-22T21:45:00Z,PT15M
-0,0,22,61.8,-0.4,99.4,153,2026-01-22T22:00:00Z,PT15M
-0,0,14,61.8,-0.4,99.4,154,2026-01-22T22:15:00Z,PT15M
-0,0,6,62.1,-0.4,99.5,155,2026-01-22T22:30:00Z,PT15M
-0,0,-2,62.4,-0.3,99.7,155,2026-01-22T22:45:00Z,PT15M
-0,0,-10,62.7,-0.3,99.9,155,2026-01-22T23:00:00Z,PT15M
-0,0,-18,62.8,-0.3,99.8,154,2026-01-22T23:15:00Z,PT15M
-0,0,-26,62.8,-0.4,99.5,153,2026-01-22T23:30:00Z,PT15M
-0,0,-33,62.8,-0.4,99.1,152,2026-01-22T23:45:00Z,PT15M
-0,0,-39,62.8,-0.5,98.7,150,2026-01-23,PT15M
-0,0,-45,62.8,-0.5,98.5,148,2026-01-23T00:15:00Z,PT15M
-0,0,-51,62.8,-0.6,98.3,146,2026-01-23T00:30:00Z,PT15M
-0,0,-55,62.8,-0.7,98.1,144,2026-01-23T00:45:00Z,PT15M
-1,0,-60,62.8,-0.8,97.9,142,2026-01-23T01:00:00Z,PT15M
-1,0,-64,62.8,-0.8,98,140,2026-01-23T01:15:00Z,PT15M
-1,0,-68,62.8,-0.8,98.4,137,2026-01-23T01:30:00Z,PT15M
-1,0,-72,62.8,-0.9,98.7,135,2026-01-23T01:45:00Z,PT15M
-1,0,-75,62.8,-0.9,99.1,132,2026-01-23T02:00:00Z,PT15M
-1,0,-78,62.7,-0.9,99.2,130,2026-01-23T02:15:00Z,PT15M
-1,0,-81,62.4,-1,99,127,2026-01-23T02:30:00Z,PT15M
-1,0,-84,62.1,-1,98.8,124,2026-01-23T02:45:00Z,PT15M
-1,0,-87,61.8,-1.1,98.6,122,2026-01-23T03:00:00Z,PT15M
-1,0,-90,61.7,-1.1,98.5,119,2026-01-23T03:15:00Z,PT15M
-1,0,-92,61.7,-1.2,98.3,116,2026-01-23T03:30:00Z,PT15M
-1,0,-95,61.7,-1.2,98.1,114,2026-01-23T03:45:00Z,PT15M
-1,0,-97,61.7,-1.3,97.9,111,2026-01-23T04:00:00Z,PT15M
-1,0,-100,61.7,-1.3,98,109,2026-01-23T04:15:00Z,PT15M
-1,0,-102,61.7,-1.3,98.4,106,2026-01-23T04:30:00Z,PT15M
-1,0,-105,61.7,-1.3,98.7,103,2026-01-23T04:45:00Z,PT15M
-1,0,-107,61.7,-1.3,99.1,101,2026-01-23T05:00:00Z,PT15M
