air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
6,0,54,72.1,4.4,91.6,116,2026-03-30T19:30:00Z,PT15M
6,0,51,71.5,4.4,91.7,118,2026-03-30T19:45:00Z,PT15M
6,0,47,70,4.3,91.9,120,2026-03-30T20:00:00Z,PT15M
6,0,43,68.8,4.3,91.9,122,2026-03-30T20:15:00Z,PT15M
6,0,39,67.5,4.3,91.7,124,2026-03-30T20:30:00Z,PT15M
6,0,35,66,4.2,91.6,125,2026-03-30T20:45:00Z,PT15M
6,0,31,65.6,4.2,91.4,127,2026-03-30T21:00:00Z,PT15M
6,0,26,65.6,4.2,91.4,128,2026-03-30T21:15:00Z,PT15M
5,0,22,64.9,4.2,91.6,129,2026-03-30T21:30:00Z,PT15M
5,0,17,64.2,4.1,91.7,130,2026-03-30T21:45:00Z,PT15M
5,0,12,63.8,4.1,91.9,131,2026-03-30T22:00:00Z,PT15M
5,0,7,63.7,4.1,91.8,131,2026-03-30T22:15:00Z,PT15M
5,0,2,63.7,4,91.5,131,2026-03-30T22:30:00Z,PT15M
5,0,-3,63.7,3.9,91.2,131,2026-03-30T22:45:00Z,PT15M
5,0,-8,63.8,3.8,90.8,131,2026-03-30T23:00:00Z,PT15M
5,0,-13,64,3.8,90.9,131,2026-03-30T23:15:00Z,PT15M
5,0,-17,64.3,3.7,91.4,130,2026-03-30T23:30:00Z,PT15M
5,0,-22,64.6,3.7,91.9,129,2026-03-30T23:45:00Z,PT15M
5,0,-27,64.9,3.6,92.3,128,2026-03-31,PT15M
5,0,-31,65.1,3.6,92.7,127,2026-03-31T00:15:00Z,PT15M
5,0,-35,65.4,3.5,92.8,125,2026-03-31T00:30:00Z,PT15M
5,0,-40,65.7,3.5,93,124,2026-03-31T00:45:00Z,PT15M
4,0,-43,65.9,3.4,93.1,122,2026-03-31T01:00:00Z,PT15M
4,0,-47,66.2,3.4,93.4,120,2026-03-31T01:15:00Z,PT15M
4,0,-51,66.5,3.4,93.7,118,2026-03-31T01:30:00Z,PT15M
4,0,-54,66.7,3.4,94,116,2026-03-31T01:45:00Z,PT15M
4,0,-58,67,3.4,94.4,114,2026-03-31T02:00:00Z,PT15M
4,0,-61,67.1,3.4,94.5,111,2026-03-31T02:15:00Z,PT15M
4,0,-64,67.1,3.3,94.5,109,2026-03-31T02:30:00Z,PT15M
4,0,-67,67.1,3.3,94.5,107,2026-03-31T02:45:00Z,PT15M
4,0,-70,67.1,3.2,94.5,104,2026-03-31T03:00:00Z,PT15M
4,0,-73,67.2,3.2,94.5,102,2026-03-31T03:15:00Z,PT15M
