air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
28,0,48,17,15.5,47.2,100,2025-07-22T19:00:00Z,PT15M
27,0,45,15,15.5,48.2,102,2025-07-22T19:15:00Z,PT15M
27,0,42,14,15.5,49.3,104,2025-07-22T19:30:00Z,PT15M
27,0,39,23,15.5,50.4,106,2025-07-22T19:45:00Z,PT15M
26,0,36,22,15.5,51.5,107,2025-07-22T20:00:00Z,PT15M
26,0,33,21,15.5,52.2,109,2025-07-22T20:15:00Z,PT15M
26,0,29,20,15.4,52.5,110,2025-07-22T20:30:00Z,PT15M
26,0,26,19,15.3,52.8,111,2025-07-22T20:45:00Z,PT15M
26,0,22,17,15.2,53.1,112,2025-07-22T21:00:00Z,PT15M
25,0,18,16,15.2,53.4,113,2025-07-22T21:15:00Z,PT15M
25,0,15,16,15.1,53.6,114,2025-07-22T21:30:00Z,PT15M
25,0,11,16,15,53.8,115,2025-07-22T21:45:00Z,PT15M
25,0,7,16,14.9,54,115,2025-07-22T22:00:00Z,PT15M
25,0,3,16,14.8,54,115,2025-07-22T22:15:00Z,PT15M
25,0,-1,12,14.6,53.7,115,2025-07-22T22:30:00Z,PT15M
24,0,-5,10,14.4,53.4,115,2025-07-22T22:45:00Z,PT15M
24,0,-8,9,14.2,53.1,115,2025-07-22T23:00:00Z,PT15M
24,0,-12,9,14,53.5,115,2025-07-22T23:15:00Z,PT15M
24,0,-16,8,14,54.5,114,2025-07-22T23:30:00Z,PT15M
23,0,-20,8,13.8,55.6,113,2025-07-22T23:45:00Z,PT15M
23,0,-23,8,13.8,56.6,112,2025-07-23,PT15M
23,0,-27,8,13.8,57.2,111,2025-07-23T00:15:00Z,PT15M
23,0,-30,8,13.8,57.2,110,2025-07-23T00:30:00Z,PT15M
23,0,-34,8,14,57.2,108,2025-07-23T00:45:00Z,PT15M
23,0,-37,9,14.1,57.3,107,2025-07-23T01:00:00Z,PT15M
23,0,-40,9,14.2,57.6,105,2025-07-23T01:15:00Z,PT15M
23,0,-43,9,14.4,58.4,103,2025-07-23T01:30:00Z,PT15M
23,0,-47,9,14.5,59.1,101,2025-07-23T01:45:00Z,PT15M
23,0,-49,9,14.7,59.9,99,2025-07-23T02:00:00Z,PT15M
23,0,-52,9,14.9,60.5,97,2025-07-23T02:15:00Z,PT15M
23,0,-55,9,15,60.9,95,2025-07-23T02:30:00Z,PT15M
23,0,-58,9,15.2,61.3,93,2025-07-23T02:45:00Z,PT15M
23,0,-60,9,15.3,61.7,90,2025-07-23T03:00:00Z,PT15M
23,12,-63,9,15.4,61.9,88,2025-07-23T03:15:00Z,PT15M
23,32,-66,8,15.6,61.8,86,2025-07-23T03:30:00Z,PT15M
23,58,-68,8,15.6,61.7,83,2025-07-23T03:45:00Z,PT15M
24,90,-71,7,15.8,61.7,81,2025-07-23T04:00:00Z,PT15M
24,127,-73,6,15.8,61.2,78,2025-07-23T04:15:00Z,PT15M
24,166,-75,5,15.9,60.3,75,2025-07-23T04:30:00Z,PT15M
24,208,-78,4,15.9,59.4,73,2025-07-23T04:45:00Z,PT15M
25,251,-80,4,16,58.5,70,2025-07-23T05:00:00Z,PT15M
25,295,-83,3,16,57.2,68,2025-07-23T05:15:00Z,PT15M
26,340,-85,3,15.9,55.4,65,2025-07-23T05:30:00Z,PT15M
26,385,-88,3,15.8,53.7,62,2025-07-23T05:45:00Z,PT15M
26,429,-90,2,15.7,52,60,2025-07-23T06:00:00Z,PT15M
27,473,-93,2,15.7,50.5,57,2025-07-23T06:15:00Z,PT15M
27,514,-96,2,15.8,49.1,54,2025-07-23T06:30:00Z,PT15M
28,554,-99,2,15.8,47.8,51,2025-07-23T06:45:00Z,PT15M
28,592,-102,2,15.9,46.5,49,2025-07-23T07:00:00Z,PT15M
29,628,-105,2,15.8,44.8,46,2025-07-23T07:15:00Z,PT15M
30,661,-108,2,15.6,42.6,44,2025-07-23T07:30:00Z,PT15M
30,692,-112,3,15.5,40.6,41,2025-07-23T07:45:00Z,PT15M
31,721,-116,3,15.3,38.7,39,2025-07-23T08:00:00Z,PT15M
32,749,-120,3,15.1,37,36,2025-07-23T08:15:00Z,PT15M
