period_end,air_temp,azimuth,cloud_opacity,dewpoint_temp,ghi,period,relative_humidity,zenith
2026-02-16T17:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-02-16T18:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-02-16T19:00:00Z,7.0,99.0,25.5,0.5,0.0,PT60M,63.1,99.0
2026-02-16T20:00:00Z,7.0,88.0,27.0,0.7,0.0,PT60M,65.3,110.0
2026-02-16T21:00:00Z,6.0,77.0,32.7,0.8,0.0,PT60M,68.8,121.0
2026-02-16T22:00:00Z,5.0,64.0,36.1,1.0,0.0,PT60M,73.0,131.0
2026-02-16T23:00:00Z,5.0,48.0,37.6,1.2,0.0,PT60M,77.0,140.0
2026-02-17,4.0,26.0,41.2,1.3,0.0,PT60M,81.4,146.0
2026-02-17T01:00:00Z,4.0,-1.0,45.4,1.6,0.0,PT60M,85.6,148.0
2026-02-17T02:00:00Z,4.0,-28.0,49.4,1.8,0.0,PT60M,88.3,146.0
2026-02-17T03:00:00Z,4.0,-49.0,54.5,2.2,0.0,PT60M,90.9,139.0
2026-02-17T04:00:00Z,4.0,-65.0,58.2,2.6,0.0,PT60M,93.2,130.0
2026-02-17T05:00:00Z,4.0,-78.0,61.1,2.9,0.0,PT60M,93.5,120.0
2026-02-17T06:00:00Z,4.0,-89.0,63.9,3.2,0.0,PT60M,92.9,109.0
2026-02-17T07:00:00Z,4.0,-99.0,66.1,3.3,0.0,PT60M,92.2,98.0
2026-02-17T08:00:00Z,5.0,-110.0,68.7,3.4,8.0,PT60M,91.9,88.0
2026-02-17T09:00:00Z,5.0,-121.0,71.5,3.5,47.0,PT60M,92.2,78.0
2026-02-17T10:00:00Z,4.0,-133.0,75.2,3.2,78.0,PT60M,91.6,70.0
2026-02-17T11:00:00Z,4.0,-147.0,77.7,3.0,99.0,PT60M,90.3,63.0
2026-02-17T12:00:00Z,5.0,-163.0,79.4,3.0,108.0,PT60M,90.0,58.0
2026-02-17T13:00:00Z,5.0,179.0,82.0,3.0,99.0,PT60M,90.0,57.0
2026-02-17T14:00:00Z,5.0,162.0,83.2,3.1,88.0,PT60M,90.0,58.0
2026-02-17T15:00:00Z,5.0,146.0,82.4,3.2,77.0,PT60M,90.0,63.0
2026-02-17T16:00:00Z,5.0,132.0,82.0,3.1,56.0,PT60M,90.3,70.0
2026-02-17T17:00:00Z,4.0,120.0,84.5,3.0,25.0,PT60M,90.9,79.0
