air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
1,0,105,6.7,0.6,99.3,92,2026-02-18T16:00:00Z,PT15M
1,0,103,7.3,0.5,99.3,94,2026-02-18T16:15:00Z,PT15M
1,0,100,10,0.4,99.3,97,2026-02-18T16:30:00Z,PT15M
0,0,98,13.3,0.3,99.3,100,2026-02-18T16:45:00Z,PT15M
0,0,95,13.5,0.2,99.3,102,2026-02-18T17:00:00Z,PT15M
0,0,92,15,0.2,99.2,105,2026-02-18T17:15:00Z,PT15M
0,0,90,16.2,0.1,99,107,2026-02-18T17:30:00Z,PT15M
0,0,87,17.3,0.1,98.8,110,2026-02-18T17:45:00Z,PT15M
0,0,84,18.3,0,98.7,113,2026-02-18T18:00:00Z,PT15M
0,0,82,19.5,-0.1,98.1,115,2026-02-18T18:15:00Z,PT15M
-0,0,79,20.1,-0.4,97.2,118,2026-02-18T18:30:00Z,PT15M
-0,0,76,20.7,-0.7,96.3,121,2026-02-18T18:45:00Z,PT15M
-0,0,73,20.9,-1,95.5,123,2026-02-18T19:00:00Z,PT15M
-1,0,69,20.9,-1.4,94.8,126,2026-02-18T19:15:00Z,PT15M
-1,0,66,22.5,-2,94.5,128,2026-02-18T19:30:00Z,PT15M
-2,0,62,20.1,-2.6,94.1,131,2026-02-18T19:45:00Z,PT15M
-2,0,59,19.7,-3.2,93.7,133,2026-02-18T20:00:00Z,PT15M
-3,0,55,19.1,-3.8,93.3,135,2026-02-18T20:15:00Z,PT15M
-3,0,50,18.3,-4.4,93,137,2026-02-18T20:30:00Z,PT15M
-4,0,46,17.4,-4.9,92.6,139,2026-02-18T20:45:00Z,PT15M
-4,0,41,16.6,-5.5,92.2,141,2026-02-18T21:00:00Z,PT15M
-5,0,35,16.1,-5.9,91.9,143,2026-02-18T21:15:00Z,PT15M
-5,0,30,16.1,-6.2,91.7,144,2026-02-18T21:30:00Z,PT15M
-5,0,24,16.1,-6.5,91.5,145,2026-02-18T21:45:00Z,PT15M
-6,0,17,16.1,-6.8,91.3,146,2026-02-18T22:00:00Z,PT15M
-6,0,11,16.1,-7,91.2,147,2026-02-18T22:15:00Z,PT15M
-6,0,4,16.1,-7.1,91.2,147,2026-02-18T22:30:00Z,PT15M
-6,0,-3,16.1,-7.2,91.2,147,2026-02-18T22:45:00Z,PT15M
-6,0,-10,16.1,-7.3,91.2,147,2026-02-18T23:00:00Z,PT15M
-6,0,-16,15.7,-7.4,91.1,146,2026-02-18T23:15:00Z,PT15M
-6,0,-23,14.8,-7.4,90.9,145,2026-02-18T23:30:00Z,PT15M
-6,0,-29,14,-7.4,90.8,144,2026-02-18T23:45:00Z,PT15M
-6,0,-34,13.1,-7.4,90.6,143,2026-02-19,PT15M
-6,0,-40,12,-7.4,90.4,141,2026-02-19T00:15:00Z,PT15M
-6,0,-45,10.7,-7.5,90.2,140,2026-02-19T00:30:00Z,PT15M
-6,0,-49,9.4,-7.5,90.1,138,2026-02-19T00:45:00Z,PT15M
-6,0,-54,8,-7.6,89.9,135,2026-02-19T01:00:00Z,PT15M
-6,0,-58,6.9,-7.8,89.8,133,2026-02-19T01:15:00Z,PT15M
-7,0,-62,6,-8,89.8,131,2026-02-19T01:30:00Z,PT15M
-7,0,-65,5.1,-8.4,89.7,129,2026-02-19T01:45:00Z,PT15M
-7,0,-69,4.2,-8.6,89.7,126,2026-02-19T02:00:00Z,PT15M
-8,0,-72,3.3,-8.9,89.7,124,2026-02-19T02:15:00Z,PT15M
-8,0,-75,2.3,-9,89.7,121,2026-02-19T02:30:00Z,PT15M
-8,0,-78,1.4,-9.1,89.7,118,2026-02-19T02:45:00Z,PT15M
-8,0,-81,0.5,-9.2,89.7,116,2026-02-19T03:00:00Z,PT15M
-8,0,-84,0,-9.4,89.7,113,2026-02-19T03:15:00Z,PT15M
-8,0,-87,0,-9.5,89.9,110,2026-02-19T03:30:00Z,PT15M
-8,0,-89,0,-9.6,90.1,108,2026-02-19T03:45:00Z,PT15M
-8,0,-92,0,-9.7,90.2,105,2026-02-19T04:00:00Z,PT15M
-9,0,-94,0,-9.9,90.2,102,2026-02-19T04:15:00Z,PT15M
-9,0,-97,0,-10,90,100,2026-02-19T04:30:00Z,PT15M
-9,0,-100,0,-10.2,89.9,97,2026-02-19T04:45:00Z,PT15M
-9,0,-102,0,-10.3,89.7,95,2026-02-19T05:00:00Z,PT15M
-9,0,-105,0,-10.3,89.7,92,2026-02-19T05:15:00Z,PT15M
-9,6,-107,0,-10.1,89.9,89,2026-02-19T05:30:00Z,PT15M
-9,35,-110,0,-9.9,90,87,2026-02-19T05:45:00Z,PT15M
-8,73,-113,0,-9.7,90.2,84,2026-02-19T06:00:00Z,PT15M
