air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
0,15,132,88,0.3,99.3,79,2026-01-22T14:00:00Z,PT15M
0,11,130,88.1,0.2,99.2,81,2026-01-22T14:15:00Z,PT15M
0,4,127,93.7,0.1,99,83,2026-01-22T14:30:00Z,PT15M
0,5,124,85.8,-0,98.8,85,2026-01-22T14:45:00Z,PT15M
0,4,121,78.2,-0.1,98.6,88,2026-01-22T15:00:00Z,PT15M
-0,0,119,77.6,-0.2,98.6,90,2026-01-22T15:15:00Z,PT15M
-0,0,116,74.4,-0.2,98.8,92,2026-01-22T15:30:00Z,PT15M
-0,0,113,73.1,-0.3,99,95,2026-01-22T15:45:00Z,PT15M
-0,0,111,74.3,-0.3,99.2,97,2026-01-22T16:00:00Z,PT15M
-0,0,108,72.6,-0.3,99.1,100,2026-01-22T16:15:00Z,PT15M
-0,0,106,71.2,-0.4,98.7,102,2026-01-22T16:30:00Z,PT15M
-0,0,104,69.4,-0.4,98.4,105,2026-01-22T16:45:00Z,PT15M
-0,0,101,68.4,-0.5,98,107,2026-01-22T17:00:00Z,PT15M
-0,0,99,68.5,-0.5,97.9,110,2026-01-22T17:15:00Z,PT15M
-0,0,96,67.2,-0.5,98.1,113,2026-01-22T17:30:00Z,PT15M
-0,0,94,65.1,-0.5,98.3,115,2026-01-22T17:45:00Z,PT15M
-0,0,91,64,-0.5,98.5,118,2026-01-22T18:00:00Z,PT15M
-0,0,88,64,-0.5,98.5,121,2026-01-22T18:15:00Z,PT15M
-0,0,86,64.3,-0.5,98.3,124,2026-01-22T18:30:00Z,PT15M
-0,0,83,64.6,-0.6,98.1,126,2026-01-22T18:45:00Z,PT15M
-0,0,80,64.9,-0.6,97.9,129,2026-01-22T19:00:00Z,PT15M
-0,0,77,65,-0.6,97.8,132,2026-01-22T19:15:00Z,PT15M
-0,0,74,65,-0.6,97.8,134,2026-01-22T19:30:00Z,PT15M
-0,0,70,65,-0.6,97.8,137,2026-01-22T19:45:00Z,PT15M
-0,0,67,65,-0.6,97.8,139,2026-01-22T20:00:00Z,PT15M
-0,0,63,65,-0.6,97.8,142,2026-01-22T20:15:00Z,PT15M
-0,0,58,65,-0.6,97.8,144,2026-01-22T20:30:00Z,PT15M
-0,0,53,65,-0.6,97.8,146,2026-01-22T20:45:00Z,PT15M
-0,0,48,65,-0.6,97.8,148,2026-01-22T21:00:00Z,PT15M
-0,0,42,65,-0.6,97.8,150,2026-01-22T21:15:00Z,PT15M
-0,0,36,65,-0.6,97.8,152,2026-01-22T21:30:00Z,PT15M
-0,0,29,65,-0.6,97.8,153,2026-01-22T21:45:00Z,PT15M
-0,0,21,65,-0.6,97.8,154,2026-01-22T22:00:00Z,PT15M
-0,0,13,65.1,-0.6,97.7,155,2026-01-22T22:15:00Z,PT15M
-0,0,5,65.4,-0.6,97.3,156,2026-01-22T22:30:00Z,PT15M
-0,0,-4,65.7,-0.7,97,156,2026-01-22T22:45:00Z,PT15M
-0,0,-12,65.9,-0.7,96.6,155,2026-01-22T23:00:00Z,PT15M
-0,0,-20,65.9,-0.7,96.4,155,2026-01-22T23:15:00Z,PT15M
-0,0,-28,65.7,-0.7,96.4,153,2026-01-22T23:30:00Z,PT15M
-0,0,-35,65.4,-0.7,96.4,152,2026-01-22T23:45:00Z,PT15M
-0,0,-42,65.1,-0.7,96.4,150,2026-01-23,PT15M
-0,0,-47,65,-0.7,96.4,149,2026-01-23T00:15:00Z,PT15M
-0,0,-53,65,-0.7,96.4,146,2026-01-23T00:30:00Z,PT15M
-0,0,-57,65,-0.8,96.4,144,2026-01-23T00:45:00Z,PT15M
-0,0,-62,65,-0.8,96.4,142,2026-01-23T01:00:00Z,PT15M
-0,0,-66,65,-0.8,96.4,140,2026-01-23T01:15:00Z,PT15M
-0,0,-70,65,-0.8,96.4,137,2026-01-23T01:30:00Z,PT15M
-0,0,-73,65,-0.8,96.4,134,2026-01-23T01:45:00Z,PT15M
-0,0,-76,65,-0.8,96.4,132,2026-01-23T02:00:00Z,PT15M
-0,0,-80,65.1,-0.8,96.3,129,2026-01-23T02:15:00Z,PT15M
-0,0,-82,65.4,-0.8,96.2,127,2026-01-23T02:30:00Z,PT15M
-0,0,-85,65.7,-0.9,96,124,2026-01-23T02:45:00Z,PT15M
-0,0,-88,65.9,-0.9,95.8,121,2026-01-23T03:00:00Z,PT15M
-0,0,-91,66.1,-0.9,95.7,119,2026-01-23T03:15:00Z,PT15M
-0,0,-93,66.1,-0.9,95.7,116,2026-01-23T03:30:00Z,PT15M
-0,0,-96,66.1,-1,95.7,113,2026-01-23T03:45:00Z,PT15M
-0,0,-98,66.1,-1,95.7,110,2026-01-23T04:00:00Z,PT15M
-0,0,-101,66.1,-1,95.6,108,2026-01-23T04:15:00Z,PT15M
-0,0,-103,66.1,-1,95.5,105,2026-01-23T04:30:00Z,PT15M
-0,0,-106,66.1,-1,95.3,103,2026-01-23T04:45:00Z,PT15M
-0,0,-108,66.1,-1,95.1,100,2026-01-23T05:00:00Z,PT15M
-0,0,-110,66.1,-1,95.1,97,2026-01-23T05:15:00Z,PT15M
-0,0,-113,66.1,-1,95.3,95,2026-01-23T05:30:00Z,PT15M
-0,0,-115,66.1,-1,95.5,92,2026-01-23T05:45:00Z,PT15M
-0,0,-118,66.1,-1,95.6,90,2026-01-23T06:00:00Z,PT15M
-0,6,-121,66.6,-1,95.6,88,2026-01-23T06:15:00Z,PT15M
-0,14,-123,67.6,-0.9,95.5,85,2026-01-23T06:30:00Z,PT15M
-0,24,-126,68.7,-0.8,95.3,83,2026-01-23T06:45:00Z,PT15M
-0,36,-129,67.5,-0.7,95.1,81,2026-01-23T07:00:00Z,PT15M
0,50,-132,65.7,-0.6,95,79,2026-01-23T07:15:00Z,PT15M
0,64,-135,64.6,-0.5,95,77,2026-01-23T07:30:00Z,PT15M
0,78,-138,63.7,-0.4,95,75,2026-01-23T07:45:00Z,PT15M
0,88,-141,64.2,-0.4,95.1,73,2026-01-23T08:00:00Z,PT15M
1,99,-144,64.4,-0.2,95.1,72,2026-01-23T08:15:00Z,PT15M
1,111,-148,63.9,-0.1,95.3,70,2026-01-23T08:30:00Z,PT15M
1,121,-151,63.6,0.1,95.5,69,2026-01-23T08:45:00Z,PT15M
1,131,-155,63.3,0.2,95.7,68,2026-01-23T09:00:00Z,PT15M
1,138,-159,63.3,0.3,95.7,67,2026-01-23T09:15:00Z,PT15M
1,144,-162,63.4,0.4,95.5,66,2026-01-23T09:30:00Z,PT15M
1,148,-166,63.7,0.5,95.3,65,2026-01-23T09:45:00Z,PT15M
1,150,-170,64.3,0.6,95.2,65,2026-01-23T10:00:00Z,PT15M
1,150,-174,64.7,0.6,95.1,64,2026-01-23T10:15:00Z,PT15M
1,151,-178,64.9,0.7,95.1,64,2026-01-23T10:30:00Z,PT15M
2,150,178,65.1,0.8,95.1,64,2026-01-23T10:45:00Z,PT15M
2,147,174,65.4,0.9,95.1,64,2026-01-23T11:00:00Z,PT15M
2,144,171,65.5,0.9,95,64,2026-01-23T11:15:00Z,PT15M
2,141,167,65.4,1,94.8,65,2026-01-23T11:30:00Z,PT15M
2,136,163,65.5,1,94.7,66,2026-01-23T11:45:00Z,PT15M
2,129,159,65.8,1.1,94.5,67,2026-01-23T12:00:00Z,PT15M
2,124,155,65.4,1.1,94.7,68,2026-01-23T12:15:00Z,PT15M
2,119,152,64.5,1.2,95.2,69,2026-01-23T12:30:00Z,PT15M
2,112,148,63.6,1.3,95.7,70,2026-01-23T12:45:00Z,PT15M
2,104,145,62.9,1.4,96.2,72,2026-01-23T13:00:00Z,PT15M
2,94,142,62.3,1.4,96.7,73,2026-01-23T13:15:00Z,PT15M
2,82,139,62.1,1.4,97.3,75,2026-01-23T13:30:00Z,PT15M
2,67,135,63.3,1.3,97.8,77,2026-01-23T13:45:00Z,PT15M
2,52,132,64.9,1.3,98.3,79,2026-01-23T14:00:00Z,PT15M
1,38,129,66.3,1.2,98.5,81,2026-01-23T14:15:00Z,PT15M
1,26,127,66.9,1,98.3,83,2026-01-23T14:30:00Z,PT15M
1,17,124,65,0.8,98.1,85,2026-01-23T14:45:00Z,PT15M
1,8,121,62.8,0.6,97.9,87,2026-01-23T15:00:00Z,PT15M
1,1,118,58,0.5,97.9,90,2026-01-23T15:15:00Z,PT15M
1,0,116,50.2,0.4,97.9,92,2026-01-23T15:30:00Z,PT15M
1,0,113,41.7,0.3,97.9,94,2026-01-23T15:45:00Z,PT15M
1,0,111,32.5,0.2,97.9,97,2026-01-23T16:00:00Z,PT15M
1,0,108,27.5,0.2,97.8,99,2026-01-23T16:15:00Z,PT15M
1,0,106,27.1,0.2,97.6,102,2026-01-23T16:30:00Z,PT15M
1,0,103,26.7,0.1,97.4,105,2026-01-23T16:45:00Z,PT15M
1,0,101,26.3,0.1,97.2,107,2026-01-23T17:00:00Z,PT15M
1,0,98,26.1,0.1,97.1,110,2026-01-23T17:15:00Z,PT15M
1,0,96,26.1,0.1,96.9,113,2026-01-23T17:30:00Z,PT15M
1,0,93,26.1,0,96.7,115,2026-01-23T17:45:00Z,PT15M
1,0,91,26.1,0,96.5,118,2026-01-23T18:00:00Z,PT15M
1,0,88,26.1,0,96.4,121,2026-01-23T18:15:00Z,PT15M
1,0,86,26.1,0,96.2,123,2026-01-23T18:30:00Z,PT15M
1,0,83,26.1,0,96,126,2026-01-23T18:45:00Z,PT15M
1,0,80,26.1,0,95.8,129,2026-01-23T19:00:00Z,PT15M
1,0,77,26.1,0,95.8,131,2026-01-23T19:15:00Z,PT15M
1,0,74,26.1,0,95.8,134,2026-01-23T19:30:00Z,PT15M
1,0,70,26.1,0,95.8,136,2026-01-23T19:45:00Z,PT15M
1,0,66,26.1,0,95.8,139,2026-01-23T20:00:00Z,PT15M
1,0,62,26.1,0,95.8,141,2026-01-23T20:15:00Z,PT15M
1,0,58,26.1,0,96,144,2026-01-23T20:30:00Z,PT15M
1,0,53,26.1,0,96.2,146,2026-01-23T20:45:00Z,PT15M
1,0,48,26.1,0,96.4,148,2026-01-23T21:00:00Z,PT15M
1,0,42,26.3,-0,96.4,150,2026-01-23T21:15:00Z,PT15M
1,0,36,26.7,-0,96.4,152,2026-01-23T21:30:00Z,PT15M
0,0,29,27.1,-0.1,96.4,153,2026-01-23T21:45:00Z,PT15M
0,0,21,27.5,-0.1,96.4,154,2026-01-23T22:00:00Z,PT15M
0,0,13,27.9,-0.1,96.4,155,2026-01-23T22:15:00Z,PT15M
0,0,5,28.3,-0.1,96.4,155,2026-01-23T22:30:00Z,PT15M
0,0,-4,28.7,-0.2,96.4,155,2026-01-23T22:45:00Z,PT15M
0,0,-12,29,-0.2,96.4,155,2026-01-23T23:00:00Z,PT15M
0,0,-20,29.4,-0.2,96.4,154,2026-01-23T23:15:00Z,PT15M
0,0,-28,29.8,-0.2,96.4,153,2026-01-23T23:30:00Z,PT15M
0,0,-35,30.2,-0.2,96.4,152,2026-01-23T23:45:00Z,PT15M
0,0,-41,30.6,-0.2,96.4,150,2026-01-24,PT15M
0,0,-47,31,-0.2,96.4,148,2026-01-24T00:15:00Z,PT15M
0,0,-52,31.4,-0.2,96.4,146,2026-01-24T00:30:00Z,PT15M
0,0,-57,31.8,-0.2,96.4,144,2026-01-24T00:45:00Z,PT15M
0,0,-62,32.1,-0.2,96.4,142,2026-01-24T01:00:00Z,PT15M
0,0,-66,32.3,-0.2,96.4,139,2026-01-24T01:15:00Z,PT15M
0,0,-69,32.3,-0.2,96.4,137,2026-01-24T01:30:00Z,PT15M
0,0,-73,32.3,-0.2,96.4,134,2026-01-24T01:45:00Z,PT15M
