air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
28,512,97,13,14.3,44.1,50,2025-06-02T14:00:00Z,PT15M
28,483,94,11,14.4,44.3,53,2025-06-02T14:15:00Z,PT15M
28,454,92,10,14.4,44.8,56,2025-06-02T14:30:00Z,PT15M
28,423,89,8,14.6,45.2,58,2025-06-02T14:45:00Z,PT15M
27,385,87,7,14.6,45.6,61,2025-06-02T15:00:00Z,PT15M
27,346,84,6,15,47,64,2025-06-02T15:15:00Z,PT15M
27,310,82,5,15.7,49.4,66,2025-06-02T15:30:00Z,PT15M
27,273,79,3,16.3,52,69,2025-06-02T15:45:00Z,PT15M
27,234,77,1,17,54.7,72,2025-06-02T16:00:00Z,PT15M
26,192,74,1,17.1,56.6,74,2025-06-02T16:15:00Z,PT15M
26,151,72,1,16.8,57.7,77,2025-06-02T16:30:00Z,PT15M
25,113,70,1,16.5,58.8,79,2025-06-02T16:45:00Z,PT15M
24,78,67,2,16.2,60,82,2025-06-02T17:00:00Z,PT15M
24,48,65,2,15.8,60.7,84,2025-06-02T17:15:00Z,PT15M
23,24,62,1,15.4,61,87,2025-06-02T17:30:00Z,PT15M
23,5,60,1,15,61.3,89,2025-06-02T17:45:00Z,PT15M
22,0,57,0,14.6,61.5,91,2025-06-02T18:00:00Z,PT15M
22,0,54,0,14.4,61.9,94,2025-06-02T18:15:00Z,PT15M
22,0,51,0,14.2,62.2,96,2025-06-02T18:30:00Z,PT15M
22,0,49,0,14.2,62.6,98,2025-06-02T18:45:00Z,PT15M
21,0,46,0,14,62.9,100,2025-06-02T19:00:00Z,PT15M
21,0,43,0,14,63.3,102,2025-06-02T19:15:00Z,PT15M
21,0,40,0,13.8,63.7,103,2025-06-02T19:30:00Z,PT15M
21,0,37,0,13.8,64,105,2025-06-02T19:45:00Z,PT15M
21,0,33,0,13.6,64.4,107,2025-06-02T20:00:00Z,PT15M
20,0,30,0,13.6,64.7,108,2025-06-02T20:15:00Z,PT15M
20,0,27,0,13.5,64.9,109,2025-06-02T20:30:00Z,PT15M
20,0,23,0,13.4,65.1,110,2025-06-02T20:45:00Z,PT15M
20,0,20,0,13.3,65.2,111,2025-06-02T21:00:00Z,PT15M
20,0,16,0,13.3,65.4,112,2025-06-02T21:15:00Z,PT15M
20,0,12,0,13.2,65.6,113,2025-06-02T21:30:00Z,PT15M
20,0,8,0,13.2,65.8,113,2025-06-02T21:45:00Z,PT15M
20,0,5,0,13.1,66,114,2025-06-02T22:00:00Z,PT15M
20,0,1,0,13.1,66.3,114,2025-06-02T22:15:00Z,PT15M
19,0,-3,0,13.1,66.7,114,2025-06-02T22:30:00Z,PT15M
19,0,-7,0,13,67.1,114,2025-06-02T22:45:00Z,PT15M
19,0,-10,0,13,67.5,113,2025-06-02T23:00:00Z,PT15M
19,0,-14,0,13,68,113,2025-06-02T23:15:00Z,PT15M
19,0,-18,0,13,68.6,112,2025-06-02T23:30:00Z,PT15M
19,0,-21,0,13.1,69.1,111,2025-06-02T23:45:00Z,PT15M
19,0,-25,0,13.1,69.6,110,2025-06-03,PT15M
19,0,-28,0,13.1,70,109,2025-06-03T00:15:00Z,PT15M
