period_end,air_temp,azimuth,cloud_opacity,dewpoint_temp,ghi,period,relative_humidity,zenith
2025-12-02T12:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-12-02T13:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-12-02T14:00:00Z,9.0,158.0,57.8,4.0,136.0,PT60M,71.1,69.0
2025-12-02T15:00:00Z,9.0,145.0,47.2,4.2,121.0,PT60M,70.7,74.0
2025-12-02T16:00:00Z,9.0,132.0,44.7,4.4,59.0,PT60M,73.2,81.0
2025-12-02T17:00:00Z,8.0,121.0,41.9,4.4,6.0,PT60M,77.2,90.0
2025-12-02T18:00:00Z,8.0,111.0,42.6,4.4,0.0,PT60M,79.9,99.0
2025-12-02T19:00:00Z,7.0,102.0,42.6,4.4,0.0,PT60M,81.3,110.0
2025-12-02T20:00:00Z,7.0,92.0,41.9,4.5,0.0,PT60M,81.8,120.0
2025-12-02T21:00:00Z,7.0,81.0,41.2,4.5,0.0,PT60M,82.1,131.0
2025-12-02T22:00:00Z,7.0,67.0,40.5,4.6,0.0,PT60M,83.0,141.0
2025-12-02T23:00:00Z,7.0,48.0,39.0,4.7,0.0,PT60M,84.4,150.0
2025-12-03,7.0,19.0,38.3,5.0,0.0,PT60M,86.2,156.0
2025-12-03T01:00:00Z,7.0,-16.0,37.6,5.1,0.0,PT60M,87.4,157.0
2025-12-03T02:00:00Z,7.0,-46.0,36.9,5.2,0.0,PT60M,88.0,151.0
2025-12-03T03:00:00Z,7.0,-65.0,35.4,5.1,0.0,PT60M,88.0,142.0
2025-12-03T04:00:00Z,7.0,-80.0,33.1,5.0,0.0,PT60M,87.7,132.0
2025-12-03T05:00:00Z,7.0,-91.0,30.8,5.0,0.0,PT60M,88.0,122.0
2025-12-03T06:00:00Z,7.0,-101.0,28.5,5.2,0.0,PT60M,88.9,111.0
2025-12-03T07:00:00Z,7.0,-110.0,27.7,5.4,0.0,PT60M,90.2,101.0
2025-12-03T08:00:00Z,7.0,-120.0,27.7,5.6,4.0,PT60M,90.8,91.0
2025-12-03T09:00:00Z,7.0,-131.0,26.6,5.9,68.0,PT60M,89.9,82.0
2025-12-03T10:00:00Z,9.0,-143.0,26.4,6.4,158.0,PT60M,85.2,75.0
2025-12-03T11:00:00Z,11.0,-157.0,32.8,6.8,211.0,PT60M,76.9,69.0
2025-12-03T12:00:00Z,12.0,-172.0,33.9,6.6,245.0,PT60M,68.9,67.0
2025-12-03T13:00:00Z,13.0,173.0,31.7,6.1,257.0,PT60M,62.9,66.0
2025-12-03T14:00:00Z,13.0,159.0,28.1,5.7,235.0,PT60M,59.6,69.0
2025-12-03T15:00:00Z,13.0,145.0,30.3,5.7,164.0,PT60M,60.2,74.0
2025-12-03T16:00:00Z,12.0,133.0,48.3,5.8,59.0,PT60M,64.1,81.0
2025-12-03T17:00:00Z,12.0,122.0,54.5,5.8,5.0,PT60M,68.2,90.0
