air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
11,720,172,0,-7,27,49,2026-03-13T11:00:00Z,PT15M
12,712,167,0,-7.1,26.6,50,2026-03-13T11:15:00Z,PT15M
12,700,162,0,-7.2,26.3,51,2026-03-13T11:30:00Z,PT15M
12,684,158,0,-7.2,26,51,2026-03-13T11:45:00Z,PT15M
12,665,153,0,-7.3,25.8,52,2026-03-13T12:00:00Z,PT15M
12,643,149,0,-7.3,25.6,54,2026-03-13T12:15:00Z,PT15M
12,617,145,0,-7.4,25.5,55,2026-03-13T12:30:00Z,PT15M
12,588,140,0,-7.4,25.4,57,2026-03-13T12:45:00Z,PT15M
12,557,137,0,-7.5,25.3,59,2026-03-13T13:00:00Z,PT15M
12,522,133,0,-7.5,25.4,60,2026-03-13T13:15:00Z,PT15M
12,485,129,0,-7.4,25.6,62,2026-03-13T13:30:00Z,PT15M
12,445,126,0,-7.4,25.9,64,2026-03-13T13:45:00Z,PT15M
12,404,122,0,-7.3,26.2,67,2026-03-13T14:00:00Z,PT15M
11,360,119,0,-7.1,27,69,2026-03-13T14:15:00Z,PT15M
11,315,116,0,-6.7,28.4,71,2026-03-13T14:30:00Z,PT15M
11,269,113,0,-6.2,29.9,74,2026-03-13T14:45:00Z,PT15M
10,222,110,0,-5.8,31.4,76,2026-03-13T15:00:00Z,PT15M
10,175,107,0,-5.4,33.5,78,2026-03-13T15:15:00Z,PT15M
9,129,104,0,-4.9,36.3,81,2026-03-13T15:30:00Z,PT15M
9,85,102,0,-4.5,39.3,84,2026-03-13T15:45:00Z,PT15M
8,45,99,0,-4,42.6,86,2026-03-13T16:00:00Z,PT15M
7,12,96,0,-3.7,45.4,89,2026-03-13T16:15:00Z,PT15M
7,0,93,0,-3.6,47.8,91,2026-03-13T16:30:00Z,PT15M
6,0,91,0,-3.5,50.3,94,2026-03-13T16:45:00Z,PT15M
6,0,88,0,-3.4,52.9,97,2026-03-13T17:00:00Z,PT15M
5,0,85,0,-3.3,54.9,99,2026-03-13T17:15:00Z,PT15M
5,0,83,0,-3.2,56.1,102,2026-03-13T17:30:00Z,PT15M
5,0,80,0,-3.1,57.4,104,2026-03-13T17:45:00Z,PT15M
4,0,77,0,-3,58.8,107,2026-03-13T18:00:00Z,PT15M
4,0,74,0,-3,60,109,2026-03-13T18:15:00Z,PT15M
4,0,71,0,-3,61.1,112,2026-03-13T18:30:00Z,PT15M
4,0,68,0,-2.9,62.2,114,2026-03-13T18:45:00Z,PT15M
3,0,65,0,-2.9,63.3,117,2026-03-13T19:00:00Z,PT15M
3,0,62,0,-2.9,64.2,119,2026-03-13T19:15:00Z,PT15M
3,0,58,0,-2.9,65,121,2026-03-13T19:30:00Z,PT15M
3,0,54,0,-2.9,65.8,124,2026-03-13T19:45:00Z,PT15M
3,0,51,0,-2.9,66.7,126,2026-03-13T20:00:00Z,PT15M
3,0,47,0,-2.9,67.3,128,2026-03-13T20:15:00Z,PT15M
2,0,43,0,-2.9,67.8,129,2026-03-13T20:30:00Z,PT15M
2,0,38,0,-3,68.3,131,2026-03-13T20:45:00Z,PT15M
2,0,34,0,-3,68.7,133,2026-03-13T21:00:00Z,PT15M
2,0,29,0,-3,69.3,134,2026-03-13T21:15:00Z,PT15M
2,0,24,0,-3,69.9,135,2026-03-13T21:30:00Z,PT15M
2,0,19,0,-3,70.5,136,2026-03-13T21:45:00Z,PT15M
2,0,13,0,-3,71.2,137,2026-03-13T22:00:00Z,PT15M
2,0,8,0,-3,71.6,137,2026-03-13T22:15:00Z,PT15M
2,0,2,0,-3.1,71.9,138,2026-03-13T22:30:00Z,PT15M
1,0,-3,0,-3.1,72.1,138,2026-03-13T22:45:00Z,PT15M
1,0,-9,0,-3.2,72.4,137,2026-03-13T23:00:00Z,PT15M
1,0,-14,0,-3.2,72.6,137,2026-03-13T23:15:00Z,PT15M
1,0,-20,0,-3.3,72.9,136,2026-03-13T23:30:00Z,PT15M
1,0,-25,0,-3.3,73.1,135,2026-03-13T23:45:00Z,PT15M
1,0,-30,0,-3.4,73.4,134,2026-03-14,PT15M
1,0,-35,0,-3.5,73.3,132,2026-03-14T00:15:00Z,PT15M
1,0,-39,0,-3.6,72.9,131,2026-03-14T00:30:00Z,PT15M
1,0,-43,0,-3.7,72.5,129,2026-03-14T00:45:00Z,PT15M
1,0,-48,0,-3.8,72,127,2026-03-14T01:00:00Z,PT15M
1,0,-51,0,-4,71.6,125,2026-03-14T01:15:00Z,PT15M
1,0,-55,0,-4.1,71.2,123,2026-03-14T01:30:00Z,PT15M
0,0,-59,0,-4.3,70.8,121,2026-03-14T01:45:00Z,PT15M
0,0,-62,0,-4.4,70.4,119,2026-03-14T02:00:00Z,PT15M
0,0,-65,0,-4.6,69.8,116,2026-03-14T02:15:00Z,PT15M
0,0,-69,0,-4.8,69.2,114,2026-03-14T02:30:00Z,PT15M
