air_temp,cloud_opacity,ghi,period_end,period
19,1,109,2025-04-25T17:00:00Z,PT1H
17,10,6,2025-04-25T18:00:00Z,PT1H
16,10,0,2025-04-25T19:00:00Z,PT1H
15,13,0,2025-04-25T20:00:00Z,PT1H
14,15,0,2025-04-25T21:00:00Z,PT1H
14,17,0,2025-04-25T22:00:00Z,PT1H
13,19,0,2025-04-25T23:00:00Z,PT1H
12,21,0,2025-04-26,PT1H
12,24,0,2025-04-26T01:00:00Z,PT1H
12,28,0,2025-04-26T02:00:00Z,PT1H
12,32,0,2025-04-26T03:00:00Z,PT1H
12,34,3,2025-04-26T04:00:00Z,PT1H
12,36,56,2025-04-26T05:00:00Z,PT1H
12,35,160,2025-04-26T06:00:00Z,PT1H
13,29,302,2025-04-26T07:00:00Z,PT1H
14,20,464,2025-04-26T08:00:00Z,PT1H
15,14,611,2025-04-26T09:00:00Z,PT1H
16,10,715,2025-04-26T10:00:00Z,PT1H
16,11,725,2025-04-26T11:00:00Z,PT1H
16,15,667,2025-04-26T12:00:00Z,PT1H
17,22,547,2025-04-26T13:00:00Z,PT1H
17,30,403,2025-04-26T14:00:00Z,PT1H
17,40,249,2025-04-26T15:00:00Z,PT1H
17,48,129,2025-04-26T16:00:00Z,PT1H
17,47,48,2025-04-26T17:00:00Z,PT1H
15,49,3,2025-04-26T18:00:00Z,PT1H
14,49,0,2025-04-26T19:00:00Z,PT1H
12,46,0,2025-04-26T20:00:00Z,PT1H
11,45,0,2025-04-26T21:00:00Z,PT1H
11,42,0,2025-04-26T22:00:00Z,PT1H
10,36,0,2025-04-26T23:00:00Z,PT1H
10,32,0,2025-04-27,PT1H
10,33,0,2025-04-27T01:00:00Z,PT1H
9,36,0,2025-04-27T02:00:00Z,PT1H
9,40,0,2025-04-27T03:00:00Z,PT1H
9,42,3,2025-04-27T04:00:00Z,PT1H
10,44,53,2025-04-27T05:00:00Z,PT1H
11,50,133,2025-04-27T06:00:00Z,PT1H
12,49,229,2025-04-27T07:00:00Z,PT1H
12,50,306,2025-04-27T08:00:00Z,PT1H
14,52,358,2025-04-27T09:00:00Z,PT1H
14,53,387,2025-04-27T10:00:00Z,PT1H
14,54,396,2025-04-27T11:00:00Z,PT1H
14,58,351,2025-04-27T12:00:00Z,PT1H
13,58,317,2025-04-27T13:00:00Z,PT1H
13,54,291,2025-04-27T14:00:00Z,PT1H
12,51,230,2025-04-27T15:00:00Z,PT1H
12,49,149,2025-04-27T16:00:00Z,PT1H
12,43,66,2025-04-27T17:00:00Z,PT1H
12,38,5,2025-04-27T18:00:00Z,PT1H
11,36,0,2025-04-27T19:00:00Z,PT1H
11,37,0,2025-04-27T20:00:00Z,PT1H
11,38,0,2025-04-27T21:00:00Z,PT1H
11,37,0,2025-04-27T22:00:00Z,PT1H
10,36,0,2025-04-27T23:00:00Z,PT1H
10,34,0,2025-04-28,PT1H
10,31,0,2025-04-28T01:00:00Z,PT1H
10,29,0,2025-04-28T02:00:00Z,PT1H
10,26,0,2025-04-28T03:00:00Z,PT1H
10,23,7,2025-04-28T04:00:00Z,PT1H
10,18,101,2025-04-28T05:00:00Z,PT1H
11,13,262,2025-04-28T06:00:00Z,PT1H
13,12,425,2025-04-28T07:00:00Z,PT1H
15,12,574,2025-04-28T08:00:00Z,PT1H
16,10,704,2025-04-28T09:00:00Z,PT1H
