air_temp,cloud_opacity,ghi,period_end,period
13,20,54,2025-04-25T17:00:00Z,PT1H
12,11,1,2025-04-25T18:00:00Z,PT1H
11,11,0,2025-04-25T19:00:00Z,PT1H
10,9,0,2025-04-25T20:00:00Z,PT1H
10,8,0,2025-04-25T21:00:00Z,PT1H
9,8,0,2025-04-25T22:00:00Z,PT1H
9,7,0,2025-04-25T23:00:00Z,PT1H
8,0,0,2025-04-26,PT1H
8,0,0,2025-04-26T01:00:00Z,PT1H
8,0,0,2025-04-26T02:00:00Z,PT1H
8,0,0,2025-04-26T03:00:00Z,PT1H
8,0,19,2025-04-26T04:00:00Z,PT1H
9,2,146,2025-04-26T05:00:00Z,PT1H
12,0,329,2025-04-26T06:00:00Z,PT1H
14,0,508,2025-04-26T07:00:00Z,PT1H
16,0,661,2025-04-26T08:00:00Z,PT1H
17,0,772,2025-04-26T09:00:00Z,PT1H
17,12,742,2025-04-26T10:00:00Z,PT1H
17,30,594,2025-04-26T11:00:00Z,PT1H
16,44,450,2025-04-26T12:00:00Z,PT1H
14,50,357,2025-04-26T13:00:00Z,PT1H
12,53,278,2025-04-26T14:00:00Z,PT1H
11,55,189,2025-04-26T15:00:00Z,PT1H
10,57,102,2025-04-26T16:00:00Z,PT1H
9,52,34,2025-04-26T17:00:00Z,PT1H
8,50,1,2025-04-26T18:00:00Z,PT1H
8,50,0,2025-04-26T19:00:00Z,PT1H
8,48,0,2025-04-26T20:00:00Z,PT1H
7,49,0,2025-04-26T21:00:00Z,PT1H
7,49,0,2025-04-26T22:00:00Z,PT1H
7,47,0,2025-04-26T23:00:00Z,PT1H
7,48,0,2025-04-27,PT1H
6,49,0,2025-04-27T01:00:00Z,PT1H
6,51,0,2025-04-27T02:00:00Z,PT1H
6,54,0,2025-04-27T03:00:00Z,PT1H
6,54,11,2025-04-27T04:00:00Z,PT1H
5,61,63,2025-04-27T05:00:00Z,PT1H
5,68,111,2025-04-27T06:00:00Z,PT1H
6,67,179,2025-04-27T07:00:00Z,PT1H
6,64,249,2025-04-27T08:00:00Z,PT1H
7,62,304,2025-04-27T09:00:00Z,PT1H
7,60,357,2025-04-27T10:00:00Z,PT1H
7,55,402,2025-04-27T11:00:00Z,PT1H
8,52,408,2025-04-27T12:00:00Z,PT1H
9,47,406,2025-04-27T13:00:00Z,PT1H
10,39,376,2025-04-27T14:00:00Z,PT1H
10,31,312,2025-04-27T15:00:00Z,PT1H
9,25,199,2025-04-27T16:00:00Z,PT1H
8,22,69,2025-04-27T17:00:00Z,PT1H
6,18,1,2025-04-27T18:00:00Z,PT1H
5,15,0,2025-04-27T19:00:00Z,PT1H
4,12,0,2025-04-27T20:00:00Z,PT1H
4,14,0,2025-04-27T21:00:00Z,PT1H
3,15,0,2025-04-27T22:00:00Z,PT1H
3,12,0,2025-04-27T23:00:00Z,PT1H
2,10,0,2025-04-28,PT1H
2,13,0,2025-04-28T01:00:00Z,PT1H
2,14,0,2025-04-28T02:00:00Z,PT1H
2,13,0,2025-04-28T03:00:00Z,PT1H
2,12,24,2025-04-28T04:00:00Z,PT1H
3,10,161,2025-04-28T05:00:00Z,PT1H
5,8,339,2025-04-28T06:00:00Z,PT1H
8,6,519,2025-04-28T07:00:00Z,PT1H
10,2,694,2025-04-28T08:00:00Z,PT1H
12,0,827,2025-04-28T09:00:00Z,PT1H
13,3,870,2025-04-28T10:00:00Z,PT1H
14,9,828,2025-04-28T11:00:00Z,PT1H
15,7,807,2025-04-28T12:00:00Z,PT1H
15,8,712,2025-04-28T13:00:00Z,PT1H
15,16,531,2025-04-28T14:00:00Z,PT1H
14,24,350,2025-04-28T15:00:00Z,PT1H
13,24,207,2025-04-28T16:00:00Z,PT1H
11,15,78,2025-04-28T17:00:00Z,PT1H
8,0,2,2025-04-28T18:00:00Z,PT1H
6,0,0,2025-04-28T19:00:00Z,PT1H
5,0,0,2025-04-28T20:00:00Z,PT1H
4,0,0,2025-04-28T21:00:00Z,PT1H
4,0,0,2025-04-28T22:00:00Z,PT1H
3,0,0,2025-04-28T23:00:00Z,PT1H
3,0,0,2025-04-29,PT1H
3,0,0,2025-04-29T01:00:00Z,PT1H
3,0,0,2025-04-29T02:00:00Z,PT1H
3,0,0,2025-04-29T03:00:00Z,PT1H
4,0,30,2025-04-29T04:00:00Z,PT1H
6,0,182,2025-04-29T05:00:00Z,PT1H
8,0,371,2025-04-29T06:00:00Z,PT1H
10,0,554,2025-04-29T07:00:00Z,PT1H
12,0,711,2025-04-29T08:00:00Z,PT1H
14,0,829,2025-04-29T09:00:00Z,PT1H
15,0,897,2025-04-29T10:00:00Z,PT1H
16,0,910,2025-04-29T11:00:00Z,PT1H
16,0,867,2025-04-29T12:00:00Z,PT1H
16,0,755,2025-04-29T13:00:00Z,PT1H
16,0,610,2025-04-29T14:00:00Z,PT1H
16,0,438,2025-04-29T15:00:00Z,PT1H
14,4,245,2025-04-29T16:00:00Z,PT1H
12,13,75,2025-04-29T17:00:00Z,PT1H
10,14,2,2025-04-29T18:00:00Z,PT1H
8,13,0,2025-04-29T19:00:00Z,PT1H
8,14,0,2025-04-29T20:00:00Z,PT1H
8,15,0,2025-04-29T21:00:00Z,PT1H
8,16,0,2025-04-29T22:00:00Z,PT1H
9,17,0,2025-04-29T23:00:00Z,PT1H
9,18,0,2025-04-30,PT1H
9,18,0,2025-04-30T01:00:00Z,PT1H
9,19,0,2025-04-30T02:00:00Z,PT1H
8,20,0,2025-04-30T03:00:00Z,PT1H
8,20,23,2025-04-30T04:00:00Z,PT1H
9,19,141,2025-04-30T05:00:00Z,PT1H
11,20,285,2025-04-30T06:00:00Z,PT1H
12,20,429,2025-04-30T07:00:00Z,PT1H
13,16,579,2025-04-30T08:00:00Z,PT1H
14,13,701,2025-04-30T09:00:00Z,PT1H
14,18,713,2025-04-30T10:00:00Z,PT1H
14,26,650,2025-04-30T11:00:00Z,PT1H
14,35,547,2025-04-30T12:00:00Z,PT1H
14,38,459,2025-04-30T13:00:00Z,PT1H
14,35,389,2025-04-30T14:00:00Z,PT1H
14,33,291,2025-04-30T15:00:00Z,PT1H
14,28,180,2025-04-30T16:00:00Z,PT1H
12,25,65,2025-04-30T17:00:00Z,PT1H
11,22,2,2025-04-30T18:00:00Z,PT1H
10,20,0,2025-04-30T19:00:00Z,PT1H
10,21,0,2025-04-30T20:00:00Z,PT1H
10,21,0,2025-04-30T21:00:00Z,PT1H
10,22,0,2025-04-30T22:00:00Z,PT1H
10,23,0,2025-04-30T23:00:00Z,PT1H
10,23,0,2025-05-01,PT1H
10,23,0,2025-05-01T01:00:00Z,PT1H
9,23,0,2025-05-01T02:00:00Z,PT1H
9,22,0,2025-05-01T03:00:00Z,PT1H
9,22,24,2025-05-01T04:00:00Z,PT1H
10,20,142,2025-05-01T05:00:00Z,PT1H
11,18,295,2025-05-01T06:00:00Z,PT1H
12,17,452,2025-05-01T07:00:00Z,PT1H
14,12,611,2025-05-01T08:00:00Z,PT1H
16,7,757,2025-05-01T09:00:00Z,PT1H
17,7,814,2025-05-01T10:00:00Z,PT1H
17,10,805,2025-05-01T11:00:00Z,PT1H
17,9,775,2025-05-01T12:00:00Z,PT1H
17,11,673,2025-05-01T13:00:00Z,PT1H
16,13,535,2025-05-01T14:00:00Z,PT1H
16,14,381,2025-05-01T15:00:00Z,PT1H
16,15,214,2025-05-01T16:00:00Z,PT1H
14,19,68,2025-05-01T17:00:00Z,PT1H
13,20,2,2025-05-01T18:00:00Z,PT1H
12,20,0,2025-05-01T19:00:00Z,PT1H
11,19,0,2025-05-01T20:00:00Z,PT1H
10,19,0,2025-05-01T21:00:00Z,PT1H
9,18,0,2025-05-01T22:00:00Z,PT1H
8,16,0,2025-05-01T23:00:00Z,PT1H
8,14,0,2025-05-02,PT1H
7,12,0,2025-05-02T01:00:00Z,PT1H
