air_temp,cloud_opacity,ghi,period_end,period
16,33,50,2025-04-25T17:00:00Z,PT1H
14,18,1,2025-04-25T18:00:00Z,PT1H
13,19,0,2025-04-25T19:00:00Z,PT1H
12,14,0,2025-04-25T20:00:00Z,PT1H
12,11,0,2025-04-25T21:00:00Z,PT1H
12,9,0,2025-04-25T22:00:00Z,PT1H
11,8,0,2025-04-25T23:00:00Z,PT1H
10,7,0,2025-04-26,PT1H
10,0,0,2025-04-26T01:00:00Z,PT1H
10,0,0,2025-04-26T02:00:00Z,PT1H
9,0,0,2025-04-26T03:00:00Z,PT1H
9,0,16,2025-04-26T04:00:00Z,PT1H
11,3,134,2025-04-26T05:00:00Z,PT1H
13,0,312,2025-04-26T06:00:00Z,PT1H
15,0,487,2025-04-26T07:00:00Z,PT1H
17,3,621,2025-04-26T08:00:00Z,PT1H
19,8,693,2025-04-26T09:00:00Z,PT1H
20,11,732,2025-04-26T10:00:00Z,PT1H
19,17,695,2025-04-26T11:00:00Z,PT1H
18,31,553,2025-04-26T12:00:00Z,PT1H
16,45,394,2025-04-26T13:00:00Z,PT1H
16,53,273,2025-04-26T14:00:00Z,PT1H
14,57,181,2025-04-26T15:00:00Z,PT1H
13,56,105,2025-04-26T16:00:00Z,PT1H
12,50,38,2025-04-26T17:00:00Z,PT1H
11,48,1,2025-04-26T18:00:00Z,PT1H
11,47,0,2025-04-26T19:00:00Z,PT1H
10,47,0,2025-04-26T20:00:00Z,PT1H
10,50,0,2025-04-26T21:00:00Z,PT1H
10,51,0,2025-04-26T22:00:00Z,PT1H
10,50,0,2025-04-26T23:00:00Z,PT1H
10,52,0,2025-04-27,PT1H
9,54,0,2025-04-27T01:00:00Z,PT1H
9,54,0,2025-04-27T02:00:00Z,PT1H
8,55,0,2025-04-27T03:00:00Z,PT1H
8,55,10,2025-04-27T04:00:00Z,PT1H
8,62,58,2025-04-27T05:00:00Z,PT1H
8,69,104,2025-04-27T06:00:00Z,PT1H
9,66,179,2025-04-27T07:00:00Z,PT1H
10,58,288,2025-04-27T08:00:00Z,PT1H
11,52,379,2025-04-27T09:00:00Z,PT1H
12,44,482,2025-04-27T10:00:00Z,PT1H
12,35,571,2025-04-27T11:00:00Z,PT1H
14,30,593,2025-04-27T12:00:00Z,PT1H
14,24,574,2025-04-27T13:00:00Z,PT1H
15,16,516,2025-04-27T14:00:00Z,PT1H
14,10,404,2025-04-27T15:00:00Z,PT1H
13,13,232,2025-04-27T16:00:00Z,PT1H
12,19,76,2025-04-27T17:00:00Z,PT1H
10,22,2,2025-04-27T18:00:00Z,PT1H
9,22,0,2025-04-27T19:00:00Z,PT1H
7,20,0,2025-04-27T20:00:00Z,PT1H
7,19,0,2025-04-27T21:00:00Z,PT1H
6,18,0,2025-04-27T22:00:00Z,PT1H
6,15,0,2025-04-27T23:00:00Z,PT1H
5,11,0,2025-04-28,PT1H
4,8,0,2025-04-28T01:00:00Z,PT1H
3,0,0,2025-04-28T02:00:00Z,PT1H
3,0,0,2025-04-28T03:00:00Z,PT1H
3,0,24,2025-04-28T04:00:00Z,PT1H
5,0,166,2025-04-28T05:00:00Z,PT1H
8,0,350,2025-04-28T06:00:00Z,PT1H
10,0,531,2025-04-28T07:00:00Z,PT1H
12,0,688,2025-04-28T08:00:00Z,PT1H
13,0,806,2025-04-28T09:00:00Z,PT1H
14,0,875,2025-04-28T10:00:00Z,PT1H
15,0,891,2025-04-28T11:00:00Z,PT1H
16,0,851,2025-04-28T12:00:00Z,PT1H
17,0,760,2025-04-28T13:00:00Z,PT1H
17,0,625,2025-04-28T14:00:00Z,PT1H
17,0,457,2025-04-28T15:00:00Z,PT1H
16,0,274,2025-04-28T16:00:00Z,PT1H
14,0,99,2025-04-28T17:00:00Z,PT1H
11,0,3,2025-04-28T18:00:00Z,PT1H
9,0,0,2025-04-28T19:00:00Z,PT1H
8,0,0,2025-04-28T20:00:00Z,PT1H
8,0,0,2025-04-28T21:00:00Z,PT1H
7,0,0,2025-04-28T22:00:00Z,PT1H
7,0,0,2025-04-28T23:00:00Z,PT1H
6,0,0,2025-04-29,PT1H
6,0,0,2025-04-29T01:00:00Z,PT1H
5,0,0,2025-04-29T02:00:00Z,PT1H
5,0,0,2025-04-29T03:00:00Z,PT1H
5,0,27,2025-04-29T04:00:00Z,PT1H
7,0,171,2025-04-29T05:00:00Z,PT1H
9,0,356,2025-04-29T06:00:00Z,PT1H
12,0,536,2025-04-29T07:00:00Z,PT1H
14,0,690,2025-04-29T08:00:00Z,PT1H
15,0,807,2025-04-29T09:00:00Z,PT1H
16,0,875,2025-04-29T10:00:00Z,PT1H
17,0,890,2025-04-29T11:00:00Z,PT1H
18,0,849,2025-04-29T12:00:00Z,PT1H
18,0,745,2025-04-29T13:00:00Z,PT1H
18,0,603,2025-04-29T14:00:00Z,PT1H
17,0,436,2025-04-29T15:00:00Z,PT1H
17,0,255,2025-04-29T16:00:00Z,PT1H
15,7,83,2025-04-29T17:00:00Z,PT1H
12,8,3,2025-04-29T18:00:00Z,PT1H
10,8,0,2025-04-29T19:00:00Z,PT1H
10,8,0,2025-04-29T20:00:00Z,PT1H
9,11,0,2025-04-29T21:00:00Z,PT1H
9,16,0,2025-04-29T22:00:00Z,PT1H
10,18,0,2025-04-29T23:00:00Z,PT1H
10,19,0,2025-04-30,PT1H
10,21,0,2025-04-30T01:00:00Z,PT1H
10,22,0,2025-04-30T02:00:00Z,PT1H
10,22,0,2025-04-30T03:00:00Z,PT1H
10,22,19,2025-04-30T04:00:00Z,PT1H
11,22,121,2025-04-30T05:00:00Z,PT1H
12,23,258,2025-04-30T06:00:00Z,PT1H
13,22,398,2025-04-30T07:00:00Z,PT1H
14,20,528,2025-04-30T08:00:00Z,PT1H
15,19,633,2025-04-30T09:00:00Z,PT1H
16,17,697,2025-04-30T10:00:00Z,PT1H
17,16,723,2025-04-30T11:00:00Z,PT1H
18,12,718,2025-04-30T12:00:00Z,PT1H
18,11,647,2025-04-30T13:00:00Z,PT1H
18,10,535,2025-04-30T14:00:00Z,PT1H
18,9,398,2025-04-30T15:00:00Z,PT1H
17,10,234,2025-04-30T16:00:00Z,PT1H
15,18,79,2025-04-30T17:00:00Z,PT1H
14,22,3,2025-04-30T18:00:00Z,PT1H
13,24,0,2025-04-30T19:00:00Z,PT1H
12,24,0,2025-04-30T20:00:00Z,PT1H
12,25,0,2025-04-30T21:00:00Z,PT1H
12,25,0,2025-04-30T22:00:00Z,PT1H
12,25,0,2025-04-30T23:00:00Z,PT1H
12,26,0,2025-05-01,PT1H
12,26,0,2025-05-01T01:00:00Z,PT1H
12,26,0,2025-05-01T02:00:00Z,PT1H
11,25,0,2025-05-01T03:00:00Z,PT1H
12,25,21,2025-05-01T04:00:00Z,PT1H
12,24,126,2025-05-01T05:00:00Z,PT1H
13,24,263,2025-05-01T06:00:00Z,PT1H
14,23,402,2025-05-01T07:00:00Z,PT1H
16,20,541,2025-05-01T08:00:00Z,PT1H
17,17,652,2025-05-01T09:00:00Z,PT1H
18,14,731,2025-05-01T10:00:00Z,PT1H
19,11,778,2025-05-01T11:00:00Z,PT1H
20,4,800,2025-05-01T12:00:00Z,PT1H
21,4,711,2025-05-01T13:00:00Z,PT1H
20,9,551,2025-05-01T14:00:00Z,PT1H
19,12,385,2025-05-01T15:00:00Z,PT1H
18,15,220,2025-05-01T16:00:00Z,PT1H
17,18,75,2025-05-01T17:00:00Z,PT1H
16,18,3,2025-05-01T18:00:00Z,PT1H
14,18,0,2025-05-01T19:00:00Z,PT1H
14,18,0,2025-05-01T20:00:00Z,PT1H
13,18,0,2025-05-01T21:00:00Z,PT1H
12,17,0,2025-05-01T22:00:00Z,PT1H
11,13,0,2025-05-01T23:00:00Z,PT1H
10,10,0,2025-05-02,PT1H
10,8,0,2025-05-02T01:00:00Z,PT1H
9,8,0,2025-05-02T02:00:00Z,PT1H
9,8,0,2025-05-02T03:00:00Z,PT1H
10,8,26,2025-05-02T04:00:00Z,PT1H
12,3,165,2025-05-02T05:00:00Z,PT1H
14,0,353,2025-05-02T06:00:00Z,PT1H
16,0,536,2025-05-02T07:00:00Z,PT1H
17,0,692,2025-05-02T08:00:00Z,PT1H
18,0,809,2025-05-02T09:00:00Z,PT1H
20,0,873,2025-05-02T10:00:00Z,PT1H
20,0,889,2025-05-02T11:00:00Z,PT1H
21,0,850,2025-05-02T12:00:00Z,PT1H
21,0,759,2025-05-02T13:00:00Z,PT1H
20,1,619,2025-05-02T14:00:00Z,PT1H
20,2,448,2025-05-02T15:00:00Z,PT1H
19,6,262,2025-05-02T16:00:00Z,PT1H
16,14,92,2025-05-02T17:00:00Z,PT1H
