air_temp,cloud_opacity,ghi,period_end,period
21,2,102,2025-04-25T17:00:00Z,PT1H
19,9,6,2025-04-25T18:00:00Z,PT1H
17,11,0,2025-04-25T19:00:00Z,PT1H
16,11,0,2025-04-25T20:00:00Z,PT1H
16,13,0,2025-04-25T21:00:00Z,PT1H
15,14,0,2025-04-25T22:00:00Z,PT1H
14,12,0,2025-04-25T23:00:00Z,PT1H
13,12,0,2025-04-26,PT1H
12,13,0,2025-04-26T01:00:00Z,PT1H
12,14,0,2025-04-26T02:00:00Z,PT1H
12,17,0,2025-04-26T03:00:00Z,PT1H
12,19,3,2025-04-26T04:00:00Z,PT1H
12,20,68,2025-04-26T05:00:00Z,PT1H
13,21,189,2025-04-26T06:00:00Z,PT1H
13,23,319,2025-04-26T07:00:00Z,PT1H
14,19,465,2025-04-26T08:00:00Z,PT1H
15,12,619,2025-04-26T09:00:00Z,PT1H
16,7,726,2025-04-26T10:00:00Z,PT1H
17,7,754,2025-04-26T11:00:00Z,PT1H
18,6,743,2025-04-26T12:00:00Z,PT1H
19,12,629,2025-04-26T13:00:00Z,PT1H
19,21,461,2025-04-26T14:00:00Z,PT1H
20,30,293,2025-04-26T15:00:00Z,PT1H
19,38,153,2025-04-26T16:00:00Z,PT1H
18,43,56,2025-04-26T17:00:00Z,PT1H
15,44,4,2025-04-26T18:00:00Z,PT1H
13,43,0,2025-04-26T19:00:00Z,PT1H
12,42,0,2025-04-26T20:00:00Z,PT1H
12,42,0,2025-04-26T21:00:00Z,PT1H
11,42,0,2025-04-26T22:00:00Z,PT1H
10,41,0,2025-04-26T23:00:00Z,PT1H
10,40,0,2025-04-27,PT1H
8,39,0,2025-04-27T01:00:00Z,PT1H
8,39,0,2025-04-27T02:00:00Z,PT1H
7,38,0,2025-04-27T03:00:00Z,PT1H
7,39,3,2025-04-27T04:00:00Z,PT1H
8,44,48,2025-04-27T05:00:00Z,PT1H
9,51,120,2025-04-27T06:00:00Z,PT1H
10,52,206,2025-04-27T07:00:00Z,PT1H
11,48,309,2025-04-27T08:00:00Z,PT1H
12,44,410,2025-04-27T09:00:00Z,PT1H
13,45,443,2025-04-27T10:00:00Z,PT1H
14,49,428,2025-04-27T11:00:00Z,PT1H
15,53,387,2025-04-27T12:00:00Z,PT1H
16,52,356,2025-04-27T13:00:00Z,PT1H
16,48,323,2025-04-27T14:00:00Z,PT1H
16,46,252,2025-04-27T15:00:00Z,PT1H
15,44,161,2025-04-27T16:00:00Z,PT1H
14,39,70,2025-04-27T17:00:00Z,PT1H
13,35,6,2025-04-27T18:00:00Z,PT1H
12,34,0,2025-04-27T19:00:00Z,PT1H
12,36,0,2025-04-27T20:00:00Z,PT1H
12,35,0,2025-04-27T21:00:00Z,PT1H
12,33,0,2025-04-27T22:00:00Z,PT1H
12,32,0,2025-04-27T23:00:00Z,PT1H
12,34,0,2025-04-28,PT1H
12,36,0,2025-04-28T01:00:00Z,PT1H
12,37,0,2025-04-28T02:00:00Z,PT1H
11,39,0,2025-04-28T03:00:00Z,PT1H
11,38,4,2025-04-28T04:00:00Z,PT1H
11,36,75,2025-04-28T05:00:00Z,PT1H
12,31,203,2025-04-28T06:00:00Z,PT1H
13,23,367,2025-04-28T07:00:00Z,PT1H
15,12,561,2025-04-28T08:00:00Z,PT1H
16,2,753,2025-04-28T09:00:00Z,PT1H
18,0,849,2025-04-28T10:00:00Z,PT1H
18,5,843,2025-04-28T11:00:00Z,PT1H
19,5,817,2025-04-28T12:00:00Z,PT1H
19,7,721,2025-04-28T13:00:00Z,PT1H
19,12,573,2025-04-28T14:00:00Z,PT1H
19,15,418,2025-04-28T15:00:00Z,PT1H
18,14,267,2025-04-28T16:00:00Z,PT1H
16,15,113,2025-04-28T17:00:00Z,PT1H
14,14,10,2025-04-28T18:00:00Z,PT1H
12,13,0,2025-04-28T19:00:00Z,PT1H
11,12,0,2025-04-28T20:00:00Z,PT1H
11,10,0,2025-04-28T21:00:00Z,PT1H
10,9,0,2025-04-28T22:00:00Z,PT1H
10,9,0,2025-04-28T23:00:00Z,PT1H
11,8,0,2025-04-29,PT1H
11,8,0,2025-04-29T01:00:00Z,PT1H
10,8,0,2025-04-29T02:00:00Z,PT1H
9,8,0,2025-04-29T03:00:00Z,PT1H
9,8,7,2025-04-29T04:00:00Z,PT1H
10,5,113,2025-04-29T05:00:00Z,PT1H
12,0,295,2025-04-29T06:00:00Z,PT1H
14,0,478,2025-04-29T07:00:00Z,PT1H
16,0,643,2025-04-29T08:00:00Z,PT1H
17,0,772,2025-04-29T09:00:00Z,PT1H
18,0,855,2025-04-29T10:00:00Z,PT1H
19,0,884,2025-04-29T11:00:00Z,PT1H
20,0,857,2025-04-29T12:00:00Z,PT1H
21,0,772,2025-04-29T13:00:00Z,PT1H
21,0,646,2025-04-29T14:00:00Z,PT1H
21,0,488,2025-04-29T15:00:00Z,PT1H
