air_temp,cloud_opacity,ghi,period_end,period
19,42,50,2025-04-25T17:00:00Z,PT1H
16,18,3,2025-04-25T18:00:00Z,PT1H
15,16,0,2025-04-25T19:00:00Z,PT1H
15,12,0,2025-04-25T20:00:00Z,PT1H
14,11,0,2025-04-25T21:00:00Z,PT1H
13,10,0,2025-04-25T22:00:00Z,PT1H
13,10,0,2025-04-25T23:00:00Z,PT1H
12,9,0,2025-04-26,PT1H
12,8,0,2025-04-26T01:00:00Z,PT1H
11,8,0,2025-04-26T02:00:00Z,PT1H
11,8,0,2025-04-26T03:00:00Z,PT1H
11,8,11,2025-04-26T04:00:00Z,PT1H
12,4,118,2025-04-26T05:00:00Z,PT1H
14,1,288,2025-04-26T06:00:00Z,PT1H
15,4,443,2025-04-26T07:00:00Z,PT1H
17,6,581,2025-04-26T08:00:00Z,PT1H
18,4,702,2025-04-26T09:00:00Z,PT1H
19,13,701,2025-04-26T10:00:00Z,PT1H
20,23,635,2025-04-26T11:00:00Z,PT1H
21,26,581,2025-04-26T12:00:00Z,PT1H
20,36,448,2025-04-26T13:00:00Z,PT1H
19,48,295,2025-04-26T14:00:00Z,PT1H
18,56,175,2025-04-26T15:00:00Z,PT1H
16,60,89,2025-04-26T16:00:00Z,PT1H
13,57,33,2025-04-26T17:00:00Z,PT1H
12,56,1,2025-04-26T18:00:00Z,PT1H
12,56,0,2025-04-26T19:00:00Z,PT1H
12,55,0,2025-04-26T20:00:00Z,PT1H
12,52,0,2025-04-26T21:00:00Z,PT1H
12,51,0,2025-04-26T22:00:00Z,PT1H
12,53,0,2025-04-26T23:00:00Z,PT1H
11,52,0,2025-04-27,PT1H
11,48,0,2025-04-27T01:00:00Z,PT1H
10,44,0,2025-04-27T02:00:00Z,PT1H
10,39,0,2025-04-27T03:00:00Z,PT1H
10,39,9,2025-04-27T04:00:00Z,PT1H
10,45,75,2025-04-27T05:00:00Z,PT1H
10,49,162,2025-04-27T06:00:00Z,PT1H
11,48,260,2025-04-27T07:00:00Z,PT1H
12,45,358,2025-04-27T08:00:00Z,PT1H
12,36,493,2025-04-27T09:00:00Z,PT1H
12,32,572,2025-04-27T10:00:00Z,PT1H
12,35,557,2025-04-27T11:00:00Z,PT1H
12,34,545,2025-04-27T12:00:00Z,PT1H
12,30,519,2025-04-27T13:00:00Z,PT1H
12,26,455,2025-04-27T14:00:00Z,PT1H
12,23,351,2025-04-27T15:00:00Z,PT1H
12,19,220,2025-04-27T16:00:00Z,PT1H
12,18,83,2025-04-27T17:00:00Z,PT1H
10,17,4,2025-04-27T18:00:00Z,PT1H
9,16,0,2025-04-27T19:00:00Z,PT1H
8,16,0,2025-04-27T20:00:00Z,PT1H
8,15,0,2025-04-27T21:00:00Z,PT1H
7,14,0,2025-04-27T22:00:00Z,PT1H
