air_temp,cloud_opacity,ghi,period_end,period
19,36,46,2025-04-25T17:00:00Z,PT1H
16,14,2,2025-04-25T18:00:00Z,PT1H
15,14,0,2025-04-25T19:00:00Z,PT1H
15,11,0,2025-04-25T20:00:00Z,PT1H
14,10,0,2025-04-25T21:00:00Z,PT1H
13,9,0,2025-04-25T22:00:00Z,PT1H
12,8,0,2025-04-25T23:00:00Z,PT1H
11,7,0,2025-04-26,PT1H
11,0,0,2025-04-26T01:00:00Z,PT1H
10,0,0,2025-04-26T02:00:00Z,PT1H
10,0,0,2025-04-26T03:00:00Z,PT1H
10,0,13,2025-04-26T04:00:00Z,PT1H
11,3,124,2025-04-26T05:00:00Z,PT1H
13,0,299,2025-04-26T06:00:00Z,PT1H
15,1,467,2025-04-26T07:00:00Z,PT1H
16,4,601,2025-04-26T08:00:00Z,PT1H
18,6,694,2025-04-26T09:00:00Z,PT1H
19,14,695,2025-04-26T10:00:00Z,PT1H
20,24,630,2025-04-26T11:00:00Z,PT1H
20,32,537,2025-04-26T12:00:00Z,PT1H
20,45,387,2025-04-26T13:00:00Z,PT1H
18,55,255,2025-04-26T14:00:00Z,PT1H
15,56,176,2025-04-26T15:00:00Z,PT1H
12,56,100,2025-04-26T16:00:00Z,PT1H
12,54,35,2025-04-26T17:00:00Z,PT1H
11,52,1,2025-04-26T18:00:00Z,PT1H
11,51,0,2025-04-26T19:00:00Z,PT1H
11,51,0,2025-04-26T20:00:00Z,PT1H
11,51,0,2025-04-26T21:00:00Z,PT1H
11,50,0,2025-04-26T22:00:00Z,PT1H
11,52,0,2025-04-26T23:00:00Z,PT1H
10,53,0,2025-04-27,PT1H
10,52,0,2025-04-27T01:00:00Z,PT1H
10,52,0,2025-04-27T02:00:00Z,PT1H
9,47,0,2025-04-27T03:00:00Z,PT1H
9,46,9,2025-04-27T04:00:00Z,PT1H
9,56,62,2025-04-27T05:00:00Z,PT1H
9,62,123,2025-04-27T06:00:00Z,PT1H
10,59,208,2025-04-27T07:00:00Z,PT1H
10,54,305,2025-04-27T08:00:00Z,PT1H
11,42,452,2025-04-27T09:00:00Z,PT1H
12,38,531,2025-04-27T10:00:00Z,PT1H
12,43,497,2025-04-27T11:00:00Z,PT1H
12,43,476,2025-04-27T12:00:00Z,PT1H
12,40,447,2025-04-27T13:00:00Z,PT1H
12,33,411,2025-04-27T14:00:00Z,PT1H
12,22,352,2025-04-27T15:00:00Z,PT1H
12,13,235,2025-04-27T16:00:00Z,PT1H
11,14,86,2025-04-27T17:00:00Z,PT1H
9,13,3,2025-04-27T18:00:00Z,PT1H
8,11,0,2025-04-27T19:00:00Z,PT1H
7,10,0,2025-04-27T20:00:00Z,PT1H
7,10,0,2025-04-27T21:00:00Z,PT1H
6,9,0,2025-04-27T22:00:00Z,PT1H
6,8,0,2025-04-27T23:00:00Z,PT1H
6,7,0,2025-04-28,PT1H
5,8,0,2025-04-28T01:00:00Z,PT1H
5,8,0,2025-04-28T02:00:00Z,PT1H
4,8,0,2025-04-28T03:00:00Z,PT1H
4,8,18,2025-04-28T04:00:00Z,PT1H
6,3,151,2025-04-28T05:00:00Z,PT1H
8,0,338,2025-04-28T06:00:00Z,PT1H
