air_temp,cloud_opacity,ghi,period_end,period
16,14,77,2025-04-25T17:00:00Z,PT1H
14,17,2,2025-04-25T18:00:00Z,PT1H
14,18,0,2025-04-25T19:00:00Z,PT1H
13,13,0,2025-04-25T20:00:00Z,PT1H
12,11,0,2025-04-25T21:00:00Z,PT1H
11,10,0,2025-04-25T22:00:00Z,PT1H
11,10,0,2025-04-25T23:00:00Z,PT1H
10,8,0,2025-04-26,PT1H
10,0,0,2025-04-26T01:00:00Z,PT1H
10,0,0,2025-04-26T02:00:00Z,PT1H
10,0,0,2025-04-26T03:00:00Z,PT1H
10,0,11,2025-04-26T04:00:00Z,PT1H
11,3,121,2025-04-26T05:00:00Z,PT1H
13,0,298,2025-04-26T06:00:00Z,PT1H
15,1,469,2025-04-26T07:00:00Z,PT1H
16,2,619,2025-04-26T08:00:00Z,PT1H
17,3,728,2025-04-26T09:00:00Z,PT1H
18,9,744,2025-04-26T10:00:00Z,PT1H
18,20,671,2025-04-26T11:00:00Z,PT1H
18,32,552,2025-04-26T12:00:00Z,PT1H
18,41,422,2025-04-26T13:00:00Z,PT1H
17,47,307,2025-04-26T14:00:00Z,PT1H
15,57,178,2025-04-26T15:00:00Z,PT1H
12,62,86,2025-04-26T16:00:00Z,PT1H
11,54,35,2025-04-26T17:00:00Z,PT1H
10,51,1,2025-04-26T18:00:00Z,PT1H
10,50,0,2025-04-26T19:00:00Z,PT1H
10,49,0,2025-04-26T20:00:00Z,PT1H
10,51,0,2025-04-26T21:00:00Z,PT1H
10,51,0,2025-04-26T22:00:00Z,PT1H
9,50,0,2025-04-26T23:00:00Z,PT1H
9,51,0,2025-04-27,PT1H
9,50,0,2025-04-27T01:00:00Z,PT1H
9,48,0,2025-04-27T02:00:00Z,PT1H
9,48,0,2025-04-27T03:00:00Z,PT1H
8,49,7,2025-04-27T04:00:00Z,PT1H
8,52,64,2025-04-27T05:00:00Z,PT1H
8,56,140,2025-04-27T06:00:00Z,PT1H
8,54,229,2025-04-27T07:00:00Z,PT1H
9,53,309,2025-04-27T08:00:00Z,PT1H
10,52,375,2025-04-27T09:00:00Z,PT1H
10,52,405,2025-04-27T10:00:00Z,PT1H
10,54,399,2025-04-27T11:00:00Z,PT1H
11,59,345,2025-04-27T12:00:00Z,PT1H
11,60,299,2025-04-27T13:00:00Z,PT1H
10,60,250,2025-04-27T14:00:00Z,PT1H
10,60,183,2025-04-27T15:00:00Z,PT1H
10,56,120,2025-04-27T16:00:00Z,PT1H
9,42,58,2025-04-27T17:00:00Z,PT1H
9,31,3,2025-04-27T18:00:00Z,PT1H
8,27,0,2025-04-27T19:00:00Z,PT1H
8,25,0,2025-04-27T20:00:00Z,PT1H
7,21,0,2025-04-27T21:00:00Z,PT1H
6,19,0,2025-04-27T22:00:00Z,PT1H
6,18,0,2025-04-27T23:00:00Z,PT1H
6,18,0,2025-04-28,PT1H
5,16,0,2025-04-28T01:00:00Z,PT1H
5,12,0,2025-04-28T02:00:00Z,PT1H
4,12,0,2025-04-28T03:00:00Z,PT1H
4,11,15,2025-04-28T04:00:00Z,PT1H
5,10,133,2025-04-28T05:00:00Z,PT1H
8,10,298,2025-04-28T06:00:00Z,PT1H
10,9,469,2025-04-28T07:00:00Z,PT1H
12,6,634,2025-04-28T08:00:00Z,PT1H
13,7,743,2025-04-28T09:00:00Z,PT1H
14,4,840,2025-04-28T10:00:00Z,PT1H
