air_temp,cloud_opacity,ghi,period_end,period
19,11,80,2025-04-25T17:00:00Z,PT1H
16,12,3,2025-04-25T18:00:00Z,PT1H
15,17,0,2025-04-25T19:00:00Z,PT1H
14,17,0,2025-04-25T20:00:00Z,PT1H
13,16,0,2025-04-25T21:00:00Z,PT1H
12,15,0,2025-04-25T22:00:00Z,PT1H
12,14,0,2025-04-25T23:00:00Z,PT1H
12,12,0,2025-04-26,PT1H
11,9,0,2025-04-26T01:00:00Z,PT1H
11,8,0,2025-04-26T02:00:00Z,PT1H
11,8,0,2025-04-26T03:00:00Z,PT1H
11,8,10,2025-04-26T04:00:00Z,PT1H
12,5,115,2025-04-26T05:00:00Z,PT1H
14,2,286,2025-04-26T06:00:00Z,PT1H
15,4,446,2025-04-26T07:00:00Z,PT1H
17,7,576,2025-04-26T08:00:00Z,PT1H
18,8,680,2025-04-26T09:00:00Z,PT1H
19,13,707,2025-04-26T10:00:00Z,PT1H
20,22,647,2025-04-26T11:00:00Z,PT1H
20,33,535,2025-04-26T12:00:00Z,PT1H
20,42,413,2025-04-26T13:00:00Z,PT1H
19,49,292,2025-04-26T14:00:00Z,PT1H
18,56,176,2025-04-26T15:00:00Z,PT1H
15,62,85,2025-04-26T16:00:00Z,PT1H
13,59,31,2025-04-26T17:00:00Z,PT1H
12,56,1,2025-04-26T18:00:00Z,PT1H
12,55,0,2025-04-26T19:00:00Z,PT1H
11,53,0,2025-04-26T20:00:00Z,PT1H
11,53,0,2025-04-26T21:00:00Z,PT1H
11,52,0,2025-04-26T22:00:00Z,PT1H
11,51,0,2025-04-26T23:00:00Z,PT1H
11,50,0,2025-04-27,PT1H
10,44,0,2025-04-27T01:00:00Z,PT1H
10,38,0,2025-04-27T02:00:00Z,PT1H
10,39,0,2025-04-27T03:00:00Z,PT1H
9,38,9,2025-04-27T04:00:00Z,PT1H
10,36,87,2025-04-27T05:00:00Z,PT1H
10,35,206,2025-04-27T06:00:00Z,PT1H
10,34,325,2025-04-27T07:00:00Z,PT1H
11,38,403,2025-04-27T08:00:00Z,PT1H
12,39,473,2025-04-27T09:00:00Z,PT1H
13,36,542,2025-04-27T10:00:00Z,PT1H
13,36,551,2025-04-27T11:00:00Z,PT1H
13,40,496,2025-04-27T12:00:00Z,PT1H
12,41,443,2025-04-27T13:00:00Z,PT1H
12,40,372,2025-04-27T14:00:00Z,PT1H
12,42,265,2025-04-27T15:00:00Z,PT1H
11,40,164,2025-04-27T16:00:00Z,PT1H
11,31,71,2025-04-27T17:00:00Z,PT1H
10,24,4,2025-04-27T18:00:00Z,PT1H
10,22,0,2025-04-27T19:00:00Z,PT1H
9,20,0,2025-04-27T20:00:00Z,PT1H
8,17,0,2025-04-27T21:00:00Z,PT1H
8,16,0,2025-04-27T22:00:00Z,PT1H
8,19,0,2025-04-27T23:00:00Z,PT1H
8,17,0,2025-04-28,PT1H
7,12,0,2025-04-28T01:00:00Z,PT1H
6,11,0,2025-04-28T02:00:00Z,PT1H
5,12,0,2025-04-28T03:00:00Z,PT1H
5,14,14,2025-04-28T04:00:00Z,PT1H
6,13,127,2025-04-28T05:00:00Z,PT1H
8,11,291,2025-04-28T06:00:00Z,PT1H
10,11,452,2025-04-28T07:00:00Z,PT1H
12,8,612,2025-04-28T08:00:00Z,PT1H
13,3,764,2025-04-28T09:00:00Z,PT1H
15,0,860,2025-04-28T10:00:00Z,PT1H
16,0,881,2025-04-28T11:00:00Z,PT1H
17,0,849,2025-04-28T12:00:00Z,PT1H
17,0,764,2025-04-28T13:00:00Z,PT1H
17,0,632,2025-04-28T14:00:00Z,PT1H
17,0,468,2025-04-28T15:00:00Z,PT1H
17,0,284,2025-04-28T16:00:00Z,PT1H
15,5,105,2025-04-28T17:00:00Z,PT1H
12,7,5,2025-04-28T18:00:00Z,PT1H
11,0,0,2025-04-28T19:00:00Z,PT1H
10,0,0,2025-04-28T20:00:00Z,PT1H
10,0,0,2025-04-28T21:00:00Z,PT1H
9,0,0,2025-04-28T22:00:00Z,PT1H
8,0,0,2025-04-28T23:00:00Z,PT1H
8,0,0,2025-04-29,PT1H
8,0,0,2025-04-29T01:00:00Z,PT1H
7,0,0,2025-04-29T02:00:00Z,PT1H
7,0,0,2025-04-29T03:00:00Z,PT1H
7,0,17,2025-04-29T04:00:00Z,PT1H
8,0,146,2025-04-29T05:00:00Z,PT1H
